%	Date:	2010-12-16	Time:	14:48:04
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.3879E+1	4.5794E+1	1.1709E-2	-7.8833E+1	-1.0148E+2	-1.1872E+2	-9.2561E+1
1.0966E+1	1.4382E+1	4.4219E+1	1.2517E-2	-7.8148E+1	-9.4636E+1	-1.2146E+2	-1.1569E+2
1.2025E+1	1.4856E+1	4.2515E+1	1.3209E-2	-7.7806E+1	-9.2708E+1	-9.4923E+1	-1.0787E+2
1.3186E+1	1.5300E+1	4.0703E+1	1.4130E-2	-7.7313E+1	-8.9172E+1	-9.8009E+1	-1.0455E+2
1.4459E+1	1.5713E+1	3.8807E+1	1.4970E-2	-7.6910E+1	-8.7144E+1	-1.0871E+2	-1.0029E+2
1.5856E+1	1.6093E+1	3.6851E+1	1.5798E-2	-7.6367E+1	-8.8035E+1	-1.0291E+2	-9.6038E+1
1.7387E+1	1.6440E+1	3.4858E+1	1.7892E-2	-7.6188E+1	-8.1160E+1	-1.0027E+2	-9.6908E+1
1.9066E+1	1.6755E+1	3.2852E+1	1.7750E-2	-7.6207E+1	-8.1520E+1	-1.0046E+2	-9.3786E+1
2.0908E+1	1.7038E+1	3.0855E+1	1.9118E-2	-7.5939E+1	-7.9862E+1	-1.0002E+2	-9.1820E+1
2.2927E+1	1.7291E+1	2.8888E+1	2.0810E-2	-7.5401E+1	-7.8665E+1	-1.0051E+2	-9.1039E+1
2.5141E+1	1.7515E+1	2.6967E+1	2.0022E-2	-7.6570E+1	-7.7759E+1	-9.6951E+1	-8.9586E+1
2.7569E+1	1.7712E+1	2.5107E+1	2.3104E-2	-7.5099E+1	-7.6784E+1	-9.8054E+1	-8.8724E+1
3.0231E+1	1.7885E+1	2.3320E+1	2.3581E-2	-7.5321E+1	-7.5998E+1	-9.8397E+1	-9.0158E+1
3.3151E+1	1.8036E+1	2.1616E+1	2.4664E-2	-7.5205E+1	-7.5421E+1	-1.0082E+2	-8.7247E+1
3.6353E+1	1.8166E+1	2.0001E+1	2.5600E-2	-7.5198E+1	-7.4831E+1	-9.4859E+1	-8.6740E+1
3.9863E+1	1.8278E+1	1.8478E+1	2.6178E-2	-7.5104E+1	-7.4547E+1	-9.7300E+1	-8.6254E+1
4.3713E+1	1.8375E+1	1.7048E+1	2.6909E-2	-7.4847E+1	-7.4311E+1	-1.0111E+2	-8.5999E+1
4.7935E+1	1.8458E+1	1.5713E+1	2.7230E-2	-7.4949E+1	-7.4070E+1	-9.8233E+1	-8.5493E+1
5.2564E+1	1.8530E+1	1.4470E+1	2.7956E-2	-7.4693E+1	-7.3809E+1	-9.9505E+1	-8.6010E+1
5.7640E+1	1.8590E+1	1.3318E+1	2.8983E-2	-7.4607E+1	-7.3334E+1	-9.8410E+1	-8.5493E+1
6.3207E+1	1.8643E+1	1.2251E+1	2.9175E-2	-7.4671E+1	-7.3218E+1	-9.6078E+1	-8.5087E+1
6.9311E+1	1.8687E+1	1.1268E+1	2.8954E-2	-7.4758E+1	-7.3224E+1	-1.0003E+2	-8.5695E+1
7.6005E+1	1.8726E+1	1.0362E+1	2.9034E-2	-7.4917E+1	-7.3089E+1	-9.8828E+1	-8.5478E+1
8.3345E+1	1.8759E+1	9.5293E+0	2.9721E-2	-7.4652E+1	-7.2916E+1	-9.5523E+1	-8.5692E+1
9.1394E+1	1.8787E+1	8.7656E+0	3.0132E-2	-7.4417E+1	-7.2874E+1	-9.6587E+1	-8.5503E+1
1.0022E+2	1.8812E+1	8.0667E+0	2.9775E-2	-7.4457E+1	-7.2983E+1	-9.7796E+1	-8.6314E+1
1.0990E+2	1.8834E+1	7.4269E+0	2.9930E-2	-7.4613E+1	-7.2893E+1	-1.0073E+2	-8.4482E+1
1.2051E+2	1.8853E+1	6.8410E+0	2.9592E-2	-7.4576E+1	-7.3027E+1	-9.4910E+1	-8.5896E+1
1.3215E+2	1.8870E+1	6.3058E+0	3.1306E-2	-7.3976E+1	-7.2617E+1	-1.0049E+2	-8.5017E+1
1.4491E+2	1.8886E+1	5.8175E+0	3.0656E-2	-7.4249E+1	-7.2713E+1	-9.5602E+1	-8.5899E+1
1.5891E+2	1.8900E+1	5.3699E+0	3.0898E-2	-7.4159E+1	-7.2640E+1	-9.9346E+1	-8.5976E+1
1.7426E+2	1.8914E+1	4.9610E+0	3.1379E-2	-7.4013E+1	-7.2560E+1	-9.7326E+1	-8.5056E+1
1.9108E+2	1.8926E+1	4.5866E+0	3.1196E-2	-7.3812E+1	-7.2803E+1	-9.6431E+1	-8.5121E+1
2.0954E+2	1.8938E+1	4.2432E+0	3.1523E-2	-7.3859E+1	-7.2544E+1	-9.7781E+1	-8.6193E+1
2.2977E+2	1.8949E+1	3.9271E+0	3.0742E-2	-7.4012E+1	-7.2841E+1	-9.5390E+1	-8.5963E+1
2.5196E+2	1.8959E+1	3.6364E+0	3.1357E-2	-7.4008E+1	-7.2519E+1	-9.6571E+1	-8.6229E+1
2.7630E+2	1.8969E+1	3.3679E+0	3.1629E-2	-7.3824E+1	-7.2541E+1	-9.6827E+1	-8.5738E+1
3.0298E+2	1.8979E+1	3.1194E+0	3.2347E-2	-7.3353E+1	-7.2523E+1	-9.6486E+1	-8.6449E+1
3.3224E+2	1.8988E+1	2.8888E+0	3.2203E-2	-7.3390E+1	-7.2601E+1	-1.0123E+2	-8.5426E+1
3.6433E+2	1.8997E+1	2.6742E+0	3.2218E-2	-7.3298E+1	-7.2651E+1	-9.5808E+1	-8.6128E+1
3.9951E+2	1.9005E+1	2.4744E+0	3.2532E-2	-7.3302E+1	-7.2525E+1	-9.7372E+1	-8.5245E+1
4.3810E+2	1.9012E+1	2.2886E+0	3.3539E-2	-7.3031E+1	-7.2237E+1	-9.7169E+1	-8.5561E+1
4.8040E+2	1.9019E+1	2.1150E+0	3.2858E-2	-7.3179E+1	-7.2444E+1	-9.9797E+1	-8.5513E+1
5.2680E+2	1.9026E+1	1.9539E+0	3.3182E-2	-7.3089E+1	-7.2363E+1	-9.9806E+1	-8.5437E+1
5.7767E+2	1.9031E+1	1.8034E+0	3.3232E-2	-7.3159E+1	-7.2282E+1	-9.9356E+1	-8.5417E+1
6.3346E+2	1.9037E+1	1.6634E+0	3.3567E-2	-7.3136E+1	-7.2143E+1	-1.0083E+2	-8.5271E+1
6.9464E+2	1.9041E+1	1.5334E+0	3.3184E-2	-7.3188E+1	-7.2256E+1	-9.4663E+1	-8.6391E+1
7.6173E+2	1.9045E+1	1.4132E+0	3.3840E-2	-7.2854E+1	-7.2208E+1	-1.0014E+2	-8.6129E+1
8.3529E+2	1.9049E+1	1.3022E+0	3.3185E-2	-7.2817E+1	-7.2630E+1	-9.6425E+1	-8.5164E+1
9.1596E+2	1.9052E+1	1.1992E+0	3.3436E-2	-7.2983E+1	-7.2357E+1	-9.6599E+1	-8.5031E+1
1.0044E+3	1.9055E+1	1.1047E+0	3.3575E-2	-7.2892E+1	-7.2351E+1	-9.3697E+1	-8.5661E+1
1.1014E+3	1.9057E+1	1.0177E+0	3.3666E-2	-7.2737E+1	-7.2478E+1	-9.5736E+1	-8.4803E+1
1.2078E+3	1.9059E+1	9.3792E-1	3.3267E-2	-7.2843E+1	-7.2549E+1	-9.7106E+1	-8.5354E+1
1.3244E+3	1.9061E+1	8.6511E-1	3.3535E-2	-7.2722E+1	-7.2487E+1	-9.6368E+1	-8.6211E+1
1.4523E+3	1.9063E+1	7.9843E-1	3.3395E-2	-7.2900E+1	-7.2409E+1	-9.3938E+1	-8.6192E+1
1.5926E+3	1.9064E+1	7.3786E-1	3.2739E-2	-7.3112E+1	-7.2516E+1	-9.4440E+1	-8.7094E+1
1.7464E+3	1.9065E+1	6.8268E-1	3.3116E-2	-7.2999E+1	-7.2461E+1	-9.7293E+1	-8.5827E+1
1.9151E+3	1.9066E+1	6.3239E-1	3.3211E-2	-7.3084E+1	-7.2370E+1	-9.5592E+1	-8.5348E+1
2.1000E+3	1.9067E+1	5.8812E-1	3.2387E-2	-7.3512E+1	-7.2369E+1	-9.6476E+1	-8.6656E+1
2.3028E+3	1.9068E+1	5.4791E-1	3.2251E-2	-7.3346E+1	-7.2638E+1	-9.6550E+1	-8.5171E+1
2.5252E+3	1.9069E+1	5.1222E-1	3.2672E-2	-7.3455E+1	-7.2348E+1	-9.4095E+1	-8.5248E+1
2.7691E+3	1.9069E+1	4.8050E-1	3.2476E-2	-7.3729E+1	-7.2271E+1	-9.3762E+1	-8.4691E+1
3.0365E+3	1.9070E+1	4.5299E-1	3.2439E-2	-7.3532E+1	-7.2382E+1	-9.4334E+1	-8.5619E+1
3.3297E+3	1.9070E+1	4.2897E-1	3.1958E-2	-7.3647E+1	-7.2546E+1	-9.5752E+1	-8.5171E+1
3.6513E+3	1.9071E+1	4.0850E-1	3.2132E-2	-7.3913E+1	-7.2287E+1	-9.4384E+1	-8.4936E+1
4.0039E+3	1.9071E+1	3.9161E-1	3.1322E-2	-7.3926E+1	-7.2615E+1	-9.3821E+1	-8.6142E+1
4.3906E+3	1.9072E+1	3.7862E-1	3.1094E-2	-7.4076E+1	-7.2602E+1	-9.4839E+1	-8.6374E+1
4.8146E+3	1.9072E+1	3.6846E-1	3.1565E-2	-7.4274E+1	-7.2291E+1	-9.3623E+1	-8.5496E+1
5.2796E+3	1.9073E+1	3.6195E-1	3.0774E-2	-7.4425E+1	-7.2557E+1	-9.5620E+1	-8.5487E+1
5.7895E+3	1.9073E+1	3.5906E-1	3.0917E-2	-7.4548E+1	-7.2385E+1	-9.2980E+1	-8.6469E+1
6.3486E+3	1.9074E+1	3.5965E-1	3.0864E-2	-7.4974E+1	-7.2267E+1	-9.1079E+1	-8.4770E+1
6.9617E+3	1.9075E+1	3.6376E-1	3.0335E-2	-7.4817E+1	-7.2520E+1	-9.4119E+1	-8.5731E+1
7.6340E+3	1.9077E+1	3.7091E-1	3.0260E-2	-7.5207E+1	-7.2304E+1	-9.5447E+1	-8.6394E+1
8.3713E+3	1.9078E+1	3.8191E-1	3.0256E-2	-7.5016E+1	-7.2488E+1	-9.0409E+1	-8.5622E+1
9.1798E+3	1.9080E+1	3.9651E-1	3.0518E-2	-7.5463E+1	-7.2157E+1	-9.3695E+1	-8.4645E+1
1.0066E+4	1.9083E+1	4.1513E-1	3.0898E-2	-7.5653E+1	-7.1876E+1	-9.1742E+1	-8.5742E+1
1.1038E+4	1.9086E+1	4.3658E-1	3.1770E-2	-7.5687E+1	-7.1548E+1	-9.1128E+1	-8.5026E+1
1.2104E+4	1.9090E+1	4.6198E-1	3.2128E-2	-7.6092E+1	-7.1256E+1	-9.1069E+1	-8.5276E+1
1.3273E+4	1.9095E+1	4.9029E-1	3.2892E-2	-7.6887E+1	-7.0791E+1	-8.8471E+1	-8.5307E+1
1.4555E+4	1.9101E+1	5.2125E-1	3.3607E-2	-7.7464E+1	-7.0408E+1	-8.9466E+1	-8.5439E+1
1.5961E+4	1.9109E+1	5.5379E-1	3.3043E-2	-7.9305E+1	-7.0354E+1	-8.8210E+1	-8.4241E+1
1.7502E+4	1.9118E+1	5.8777E-1	3.1375E-2	-8.2017E+1	-7.0583E+1	-8.9534E+1	-8.4427E+1
1.9193E+4	1.9129E+1	6.2133E-1	2.8239E-2	-8.6739E+1	-7.1399E+1	-8.9503E+1	-8.3928E+1
2.1046E+4	1.9142E+1	6.5307E-1	2.3882E-2	-8.2163E+1	-7.3033E+1	-8.9128E+1	NaN
2.3079E+4	1.9158E+1	6.8161E-1	2.4181E-2	-7.5619E+1	-7.5306E+1	-8.8026E+1	NaN
2.5308E+4	1.9177E+1	7.0349E-1	2.9280E-2	-7.1924E+1	-7.6965E+1	-8.8507E+1	NaN
2.7752E+4	1.9200E+1	7.1372E-1	3.9371E-2	-6.9089E+1	-7.4993E+1	NaN	NaN
