%	Date:	2010-12-16	Time:	15:04:19
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.3883E+1	4.5806E+1	2.0581E-2	-7.4299E+1	-8.3313E+1	-1.1393E+2	-9.2765E+1
1.0966E+1	1.4385E+1	4.4232E+1	2.2405E-2	-7.3782E+1	-8.0819E+1	-1.1094E+2	-1.0336E+2
1.2025E+1	1.4860E+1	4.2529E+1	2.4332E-2	-7.3281E+1	-7.9311E+1	-9.5846E+1	-9.6121E+1
1.3186E+1	1.5304E+1	4.0718E+1	2.6712E-2	-7.2816E+1	-7.7289E+1	-1.0294E+2	-9.4623E+1
1.4459E+1	1.5717E+1	3.8823E+1	2.9552E-2	-7.2144E+1	-7.5903E+1	-1.1002E+2	-9.2229E+1
1.5856E+1	1.6098E+1	3.6868E+1	3.1400E-2	-7.1836E+1	-7.4923E+1	-1.1816E+2	-9.0545E+1
1.7387E+1	1.6446E+1	3.4876E+1	3.5149E-2	-7.1372E+1	-7.3066E+1	-1.0780E+2	-8.9016E+1
1.9066E+1	1.6761E+1	3.2871E+1	3.8037E-2	-7.0848E+1	-7.2177E+1	-1.0346E+2	-8.7469E+1
2.0908E+1	1.7045E+1	3.0875E+1	4.1885E-2	-7.0292E+1	-7.1004E+1	-1.0197E+2	-8.6008E+1
2.2927E+1	1.7298E+1	2.8907E+1	4.5709E-2	-6.9597E+1	-7.0164E+1	-9.9149E+1	-8.5540E+1
2.5141E+1	1.7522E+1	2.6986E+1	4.7495E-2	-6.9670E+1	-6.9399E+1	-9.9849E+1	-8.5597E+1
2.7569E+1	1.7720E+1	2.5126E+1	5.0842E-2	-6.9074E+1	-6.8826E+1	-9.4684E+1	-8.4762E+1
3.0231E+1	1.7893E+1	2.3339E+1	5.3081E-2	-6.8820E+1	-6.8350E+1	-9.5437E+1	-8.3931E+1
