%	Date:	2010-12-16	Time:	14:46:52
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.3881E+1	4.5788E+1	3.3214E-2	-7.1551E+1	-7.4754E+1	-8.2055E+1	-9.1847E+1
1.0966E+1	1.4383E+1	4.4213E+1	3.1621E-2	-7.1821E+1	-7.5863E+1	-8.0988E+1	-9.4518E+1
1.2025E+1	1.4857E+1	4.2507E+1	2.9923E-2	-7.2461E+1	-7.6671E+1	-7.9617E+1	-9.4495E+1
1.3186E+1	1.5301E+1	4.0694E+1	2.8036E-2	-7.3342E+1	-7.7209E+1	-7.8868E+1	-9.5468E+1
1.4459E+1	1.5713E+1	3.8797E+1	2.7077E-2	-7.4153E+1	-7.6890E+1	-7.8434E+1	-1.0112E+2
1.5856E+1	1.6093E+1	3.6838E+1	2.7260E-2	-7.4576E+1	-7.5729E+1	-7.9032E+1	-9.6716E+1
1.7387E+1	1.6440E+1	3.4843E+1	2.9719E-2	-7.3902E+1	-7.4057E+1	-8.1807E+1	-8.7673E+1
1.9066E+1	1.6754E+1	3.2834E+1	3.6238E-2	-7.2273E+1	-7.1874E+1	-8.9676E+1	-8.2197E+1
2.0908E+1	1.7036E+1	3.0834E+1	4.6747E-2	-7.0049E+1	-6.9819E+1	-8.8588E+1	-7.8535E+1
2.2927E+1	1.7287E+1	2.8863E+1	6.0421E-2	-6.7841E+1	-6.7918E+1	-7.8688E+1	-7.5916E+1
2.5141E+1	1.7510E+1	2.6939E+1	7.6598E-2	-6.5780E+1	-6.6188E+1	-7.3996E+1	-7.3761E+1
2.7569E+1	1.7705E+1	2.5076E+1	9.4154E-2	-6.4016E+1	-6.4628E+1	-7.0883E+1	-7.1954E+1
3.0231E+1	1.7876E+1	2.3287E+1	1.1295E-1	-6.2484E+1	-6.3169E+1	-6.8688E+1	-7.0270E+1
3.3151E+1	1.8025E+1	2.1581E+1	1.3199E-1	-6.1344E+1	-6.1706E+1	-6.7195E+1	-6.8468E+1
3.6353E+1	1.8153E+1	1.9962E+1	1.5195E-1	-6.0821E+1	-5.9899E+1	-6.6974E+1	-6.5901E+1
3.9863E+1	1.8262E+1	1.8436E+1	1.7324E-1	-6.0602E+1	-5.8216E+1	-6.7166E+1	-6.3662E+1
4.3713E+1	1.8357E+1	1.7005E+1	1.9552E-1	-6.0342E+1	-5.6833E+1	-6.7192E+1	-6.1978E+1
4.7935E+1	1.8437E+1	1.5669E+1	2.1690E-1	-6.0086E+1	-5.5720E+1	-6.7094E+1	-6.0708E+1
5.2564E+1	1.8506E+1	1.4426E+1	2.3669E-1	-5.9849E+1	-5.4815E+1	-6.6980E+1	-5.9719E+1
5.7640E+1	1.8565E+1	1.3273E+1	2.5523E-1	-5.9712E+1	-5.4035E+1	-6.7001E+1	-5.8869E+1
6.3207E+1	1.8615E+1	1.2208E+1	2.7291E-1	-5.9651E+1	-5.3347E+1	-6.7123E+1	-5.8117E+1
6.9311E+1	1.8657E+1	1.1225E+1	2.8845E-1	-5.9635E+1	-5.2781E+1	-6.7242E+1	-5.7514E+1
7.6005E+1	1.8694E+1	1.0322E+1	3.0003E-1	-5.9397E+1	-5.2423E+1	-6.6689E+1	-5.7181E+1
8.3345E+1	1.8726E+1	9.4915E+0	3.1139E-1	-5.9538E+1	-5.2023E+1	-6.7243E+1	-5.6738E+1
9.1394E+1	1.8753E+1	8.7287E+0	3.2468E-1	-5.9676E+1	-5.1595E+1	-6.7760E+1	-5.6252E+1
1.0022E+2	1.8776E+1	8.0301E+0	3.3737E-1	-5.9726E+1	-5.1221E+1	-6.8013E+1	-5.5833E+1
1.0990E+2	1.8797E+1	7.3912E+0	3.4765E-1	-5.9652E+1	-5.0941E+1	-6.7967E+1	-5.5541E+1
1.2051E+2	1.8815E+1	6.8074E+0	3.5518E-1	-5.9499E+1	-5.0747E+1	-6.7673E+1	-5.5372E+1
1.3215E+2	1.8832E+1	6.2739E+0	3.6196E-1	-5.9266E+1	-5.0586E+1	-6.7304E+1	-5.5240E+1
1.4491E+2	1.8846E+1	5.7866E+0	3.6709E-1	-5.9111E+1	-5.0457E+1	-6.6923E+1	-5.5166E+1
1.5891E+2	1.8860E+1	5.3410E+0	3.7165E-1	-5.8907E+1	-5.0353E+1	-6.6502E+1	-5.5110E+1
1.7426E+2	1.8873E+1	4.9337E+0	3.7578E-1	-5.8663E+1	-5.0268E+1	-6.6043E+1	-5.5071E+1
1.9108E+2	1.8885E+1	4.5607E+0	3.7925E-1	-5.8413E+1	-5.0202E+1	-6.5620E+1	-5.5057E+1
2.0954E+2	1.8896E+1	4.2188E+0	3.8253E-1	-5.8204E+1	-5.0137E+1	-6.5204E+1	-5.5046E+1
2.2977E+2	1.8906E+1	3.9045E+0	3.8558E-1	-5.7927E+1	-5.0087E+1	-6.4785E+1	-5.5055E+1
2.5196E+2	1.8917E+1	3.6152E+0	3.8804E-1	-5.7726E+1	-5.0048E+1	-6.4368E+1	-5.5068E+1
2.7630E+2	1.8926E+1	3.3481E+0	3.9040E-1	-5.7501E+1	-5.0013E+1	-6.3996E+1	-5.5093E+1
3.0298E+2	1.8936E+1	3.1008E+0	3.9264E-1	-5.7235E+1	-4.9993E+1	-6.3626E+1	-5.5121E+1
3.3224E+2	1.8945E+1	2.8714E+0	3.9448E-1	-5.7052E+1	-4.9970E+1	-6.3298E+1	-5.5152E+1
3.6433E+2	1.8953E+1	2.6581E+0	3.9641E-1	-5.6810E+1	-4.9957E+1	-6.2945E+1	-5.5195E+1
3.9951E+2	1.8961E+1	2.4597E+0	3.9834E-1	-5.6640E+1	-4.9937E+1	-6.2678E+1	-5.5209E+1
4.3810E+2	1.8968E+1	2.2746E+0	3.9980E-1	-5.6438E+1	-4.9934E+1	-6.2360E+1	-5.5260E+1
4.8040E+2	1.8975E+1	2.1021E+0	4.0128E-1	-5.6300E+1	-4.9920E+1	-6.2122E+1	-5.5286E+1
5.2680E+2	1.8981E+1	1.9412E+0	4.0296E-1	-5.6126E+1	-4.9910E+1	-6.1883E+1	-5.5318E+1
5.7767E+2	1.8987E+1	1.7913E+0	4.0393E-1	-5.5995E+1	-4.9911E+1	-6.1651E+1	-5.5361E+1
6.3346E+2	1.8992E+1	1.6519E+0	4.0507E-1	-5.5875E+1	-4.9906E+1	-6.1463E+1	-5.5391E+1
6.9464E+2	1.8997E+1	1.5223E+0	4.0620E-1	-5.5757E+1	-4.9902E+1	-6.1294E+1	-5.5418E+1
7.6173E+2	1.9001E+1	1.4021E+0	4.0717E-1	-5.5671E+1	-4.9897E+1	-6.1139E+1	-5.5437E+1
8.3529E+2	1.9004E+1	1.2908E+0	4.0804E-1	-5.5593E+1	-4.9892E+1	-6.1007E+1	-5.5456E+1
9.1596E+2	1.9007E+1	1.1879E+0	4.0887E-1	-5.5529E+1	-4.9886E+1	-6.0916E+1	-5.5462E+1
1.0044E+3	1.9010E+1	1.0930E+0	4.0948E-1	-5.5486E+1	-4.9879E+1	-6.0832E+1	-5.5480E+1
1.1014E+3	1.9013E+1	1.0056E+0	4.1002E-1	-5.5442E+1	-4.9877E+1	-6.0742E+1	-5.5489E+1
1.2078E+3	1.9015E+1	9.2527E-1	4.1087E-1	-5.5402E+1	-4.9864E+1	-6.0682E+1	-5.5488E+1
1.3244E+3	1.9016E+1	8.5161E-1	4.1140E-1	-5.5392E+1	-4.9854E+1	-6.0630E+1	-5.5483E+1
1.4523E+3	1.9018E+1	7.8422E-1	4.1185E-1	-5.5384E+1	-4.9844E+1	-6.0601E+1	-5.5480E+1
1.5926E+3	1.9019E+1	7.2266E-1	4.1245E-1	-5.5380E+1	-4.9830E+1	-6.0561E+1	-5.5472E+1
1.7464E+3	1.9020E+1	6.6662E-1	4.1303E-1	-5.5386E+1	-4.9816E+1	-6.0538E+1	-5.5453E+1
1.9151E+3	1.9021E+1	6.1573E-1	4.1330E-1	-5.5392E+1	-4.9808E+1	-6.0517E+1	-5.5448E+1
2.1000E+3	1.9022E+1	5.6974E-1	4.1397E-1	-5.5424E+1	-4.9784E+1	-6.0531E+1	-5.5414E+1
2.3028E+3	1.9023E+1	5.2806E-1	4.1425E-1	-5.5444E+1	-4.9773E+1	-6.0511E+1	-5.5407E+1
2.5252E+3	1.9024E+1	4.9056E-1	4.1492E-1	-5.5492E+1	-4.9746E+1	-6.0533E+1	-5.5370E+1
2.7691E+3	1.9024E+1	4.5703E-1	4.1560E-1	-5.5527E+1	-4.9721E+1	-6.0529E+1	-5.5341E+1
3.0365E+3	1.9025E+1	4.2724E-1	4.1616E-1	-5.5575E+1	-4.9697E+1	-6.0549E+1	-5.5308E+1
3.3297E+3	1.9025E+1	4.0099E-1	4.1687E-1	-5.5612E+1	-4.9672E+1	-6.0549E+1	-5.5277E+1
3.6513E+3	1.9026E+1	3.7821E-1	4.1770E-1	-5.5671E+1	-4.9640E+1	-6.0593E+1	-5.5228E+1
4.0039E+3	1.9026E+1	3.5868E-1	4.1871E-1	-5.5707E+1	-4.9609E+1	-6.0603E+1	-5.5181E+1
4.3906E+3	1.9027E+1	3.4246E-1	4.1982E-1	-5.5754E+1	-4.9571E+1	-6.0630E+1	-5.5136E+1
4.8146E+3	1.9027E+1	3.2937E-1	4.2130E-1	-5.5782E+1	-4.9531E+1	-6.0640E+1	-5.5077E+1
5.2796E+3	1.9027E+1	3.1949E-1	4.2288E-1	-5.5789E+1	-4.9491E+1	-6.0646E+1	-5.5029E+1
5.7895E+3	1.9028E+1	3.1276E-1	4.2494E-1	-5.5782E+1	-4.9445E+1	-6.0646E+1	-5.4961E+1
6.3486E+3	1.9029E+1	3.0923E-1	4.2734E-1	-5.5743E+1	-4.9395E+1	-6.0643E+1	-5.4896E+1
6.9617E+3	1.9030E+1	3.0900E-1	4.3013E-1	-5.5664E+1	-4.9346E+1	-6.0611E+1	-5.4825E+1
7.6340E+3	1.9031E+1	3.1203E-1	4.3310E-1	-5.5549E+1	-4.9299E+1	-6.0550E+1	-5.4766E+1
8.3713E+3	1.9032E+1	3.1844E-1	4.3666E-1	-5.5383E+1	-4.9250E+1	-6.0449E+1	-5.4704E+1
9.1798E+3	1.9034E+1	3.2821E-1	4.4037E-1	-5.5165E+1	-4.9206E+1	-6.0291E+1	-5.4677E+1
1.0066E+4	1.9037E+1	3.4145E-1	4.4386E-1	-5.4924E+1	-4.9171E+1	-6.0140E+1	-5.4669E+1
1.1038E+4	1.9040E+1	3.5791E-1	4.4672E-1	-5.4650E+1	-4.9157E+1	-5.9956E+1	-5.4716E+1
1.2104E+4	1.9044E+1	3.7762E-1	4.4904E-1	-5.4336E+1	-4.9168E+1	-5.9759E+1	-5.4800E+1
1.3273E+4	1.9049E+1	4.0020E-1	4.5169E-1	-5.4011E+1	-4.9200E+1	-5.9559E+1	-5.4814E+1
1.4555E+4	1.9055E+1	4.2524E-1	4.5638E-1	-5.3663E+1	-4.9235E+1	-5.9297E+1	-5.4654E+1
1.5961E+4	1.9063E+1	4.5243E-1	4.6606E-1	-5.3282E+1	-4.9219E+1	-5.8806E+1	-5.4275E+1
1.7502E+4	1.9072E+1	4.8116E-1	4.8128E-1	-5.2863E+1	-4.9082E+1	-5.8115E+1	-5.3880E+1
1.9193E+4	1.9083E+1	5.1071E-1	5.0084E-1	-5.2381E+1	-4.8773E+1	-5.7221E+1	-5.3828E+1
2.1046E+4	1.9096E+1	5.4000E-1	4.8718E-1	-5.1831E+1	-4.8274E+1	-5.6393E+1	NaN
2.3079E+4	1.9112E+1	5.6782E-1	5.2270E-1	-5.1224E+1	-4.7640E+1	-5.5921E+1	NaN
2.5308E+4	1.9130E+1	5.9248E-1	5.4592E-1	-5.0563E+1	-4.6986E+1	-5.9985E+1	NaN
2.7752E+4	1.9151E+1	6.1200E-1	5.7190E-1	-4.9835E+1	-4.6513E+1	NaN	NaN
3.0432E+4	1.9175E+1	6.2424E-1	5.9883E-1	-4.9040E+1	-4.6310E+1	NaN	NaN
3.3371E+4	1.9202E+1	6.2745E-1	5.3817E-1	-4.8186E+1	-4.8608E+1	NaN	NaN
3.6594E+4	1.9234E+1	6.1871E-1	4.2642E-1	-4.7403E+1	NaN	NaN	NaN
4.0128E+4	1.9270E+1	5.9102E-1	4.6437E-1	-4.6663E+1	NaN	NaN	NaN
4.4003E+4	1.9311E+1	5.3939E-1	4.9899E-1	-4.6038E+1	NaN	NaN	NaN
4.8253E+4	1.9355E+1	4.5352E-1	5.0338E-1	-4.5962E+1	NaN	NaN	NaN
5.2912E+4	1.9398E+1	3.4207E-1	NaN	NaN	NaN	NaN	NaN
5.8023E+4	1.9447E+1	1.4896E-1	NaN	NaN	NaN	NaN	NaN
6.3626E+4	1.9504E+1	-9.0768E-2	NaN	NaN	NaN	NaN	NaN
6.9771E+4	1.9563E+1	-3.3435E-1	NaN	NaN	NaN	NaN	NaN
7.6509E+4	1.9590E+1	-5.4307E-1	NaN	NaN	NaN	NaN	NaN
8.3898E+4	1.9622E+1	-8.0723E-1	NaN	NaN	NaN	NaN	NaN
9.2000E+4	1.9671E+1	-1.2491E+0	NaN	NaN	NaN	NaN	NaN
