%	Date:	2010-12-19	Time:	19:57:48
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.3864E+1	4.5702E+1	3.6772E-2	-6.9268E+1	-8.0850E+1	-8.7722E+1	-8.1581E+1
1.0966E+1	1.4366E+1	4.4132E+1	3.9914E-2	-6.8496E+1	-8.1115E+1	-8.8855E+1	-8.0515E+1
1.2025E+1	1.4840E+1	4.2432E+1	4.2413E-2	-6.7979E+1	-8.1242E+1	-9.1374E+1	-7.9075E+1
1.3186E+1	1.5284E+1	4.0621E+1	4.3677E-2	-6.7927E+1	-7.9421E+1	-9.0661E+1	-7.7615E+1
1.4459E+1	1.5696E+1	3.8724E+1	4.4813E-2	-6.8308E+1	-7.6145E+1	-8.5013E+1	-7.5893E+1
1.5856E+1	1.6075E+1	3.6766E+1	4.7539E-2	-6.8970E+1	-7.2755E+1	-8.0030E+1	-7.4403E+1
1.7387E+1	1.6421E+1	3.4770E+1	5.1519E-2	-7.0177E+1	-6.9983E+1	-7.6626E+1	-7.3254E+1
1.9066E+1	1.6734E+1	3.2760E+1	5.7613E-2	-7.1943E+1	-6.7720E+1	-7.3979E+1	-7.2295E+1
2.0908E+1	1.7015E+1	3.0760E+1	6.6922E-2	-7.4307E+1	-6.5653E+1	-7.1992E+1	-7.1223E+1
2.2927E+1	1.7265E+1	2.8787E+1	8.8184E-2	-7.3663E+1	-6.2753E+1	-7.3115E+1	-6.8089E+1
2.5141E+1	1.7486E+1	2.6860E+1	1.1189E-1	-7.3220E+1	-6.0421E+1	-7.3977E+1	-6.5907E+1
2.7569E+1	1.7680E+1	2.4996E+1	1.3137E-1	-7.4613E+1	-5.8854E+1	-7.2619E+1	-6.4756E+1
