%	Date:	2010-12-20	Time:	17:27:29
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-8.9586E+1	1.6192E+2	6.3607E+5	-8.5022E+0	-9.4663E+0	-8.4425E+0	7.6070E+1
1.0966E+1	-9.4133E+1	1.5442E+2	2.5441E+4	-2.5675E+0	1.1759E+1	4.0182E+1	4.7346E+1
1.2025E+1	-8.8619E+1	1.2628E+2	3.6609E+5	-7.0074E-1	1.4665E+1	7.1272E+1	2.3411E+1
1.3186E+1	-8.8424E+1	1.3076E+2	2.5798E+5	-3.6463E+0	1.0786E+1	6.8232E+1	-1.1153E+0
1.4459E+1	-8.5000E+1	1.3472E+2	1.0956E+4	6.7424E+0	3.9553E+1	3.4733E+1	6.1263E+0
1.5856E+1	-9.2612E+1	1.5704E+2	5.8781E+5	1.9873E+1	7.5385E+1	2.8139E+1	7.0440E+0
1.7387E+1	-8.3683E+1	-1.2742E+2	2.4258E+5	2.1380E+1	6.7697E+1	1.4191E+1	-2.7826E+0
1.9066E+1	-1.2346E+2	-1.0954E+2	7.2922E+5	6.2053E+1	7.7114E+1	4.1647E+1	5.0267E+1
2.0908E+1	-8.4699E+1	1.0685E+2	2.6107E+3	2.7908E+1	1.5695E+1	-3.1585E+0	1.4205E+1
2.2927E+1	-7.8922E+1	1.5604E+2	1.0207E+5	6.0178E+1	7.9727E+0	-5.4328E+0	-6.2463E+0
2.5141E+1	-8.9779E+1	2.4813E+0	6.2320E+5	7.5893E+1	8.3406E+0	2.5888E+1	7.4164E+0
2.7569E+1	-7.6282E+1	-3.8217E+1	7.2871E+4	5.7251E+1	-7.9601E+0	-1.2963E+1	1.6685E+1
3.0231E+1	-5.6532E+1	-1.2905E+2	3.1383E+3	1.9484E+1	-1.8419E+1	-2.4794E+1	2.9524E+1
3.3151E+1	-4.6939E+1	-5.2883E+1	1.2034E+2	1.1499E+0	-1.4739E+1	-1.4476E+1	-1.1201E+1
3.6353E+1	-4.6048E+1	-1.3253E+2	7.0195E+2	-1.5002E+1	-2.7672E+1	1.6923E+1	-3.0519E+1
3.9863E+1	-2.4245E+1	-1.3944E+2	2.7231E+1	-3.5534E+1	-4.9371E+1	-1.1318E+1	-4.4814E+1
4.3713E+1	-1.6921E+1	1.4598E+2	8.6658E-1	-4.5059E+1	-4.4585E+1	-5.1082E+1	-5.8827E+1
4.7935E+1	-1.4177E+1	4.1752E+1	1.8377E+1	-4.9118E+1	-1.5132E+1	-5.5233E+1	-2.5116E+1
