%	Date:	2010-12-20	Time:	17:29:12
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-7.5643E+1	-1.0832E+2	1.8216E+4	-1.5942E+1	-1.7882E+1	-1.3090E+1	4.5209E+1
1.0966E+1	-7.4194E+1	-1.1598E+2	2.9245E+2	-1.8702E+1	-1.2788E+1	1.7846E+0	8.4377E+0
1.2025E+1	-7.6225E+1	-1.0889E+2	7.6608E+3	-1.2807E+1	-9.2027E+0	3.7685E+1	-4.4981E+0
1.3186E+1	-7.5778E+1	-9.9211E+1	3.5037E+3	-1.5463E+1	-6.7304E+0	3.0890E+1	-1.4927E+1
1.4459E+1	-7.5956E+1	-1.0283E+2	9.9868E+1	-2.0853E+1	-4.7231E-1	-1.0767E+1	-2.0775E+1
1.5856E+1	-7.1186E+1	-9.8847E+1	7.3977E+2	-1.4692E+1	1.7376E+1	-2.9624E+1	-1.4422E+1
1.7387E+1	-7.2211E+1	-1.1752E+2	4.3319E+3	-1.2599E+1	3.2733E+1	-1.8070E+1	-1.4901E+1
1.9066E+1	-7.1856E+1	-1.2010E+2	5.9443E+2	-4.3753E+0	1.0214E+1	-5.5196E+0	1.3835E+1
2.0908E+1	-6.7666E+1	-1.0718E+2	9.4754E+2	3.9809E+0	-1.0295E+1	-1.8489E+1	1.9404E+1
2.2927E+1	-1.1914E+1	-1.5083E+2	1.0326E+2	-9.2522E-1	-9.3717E+0	-1.0202E+1	-1.3266E+1
2.5141E+1	-6.2887E+1	-1.6443E+2	7.3833E+3	3.7365E+1	-1.5332E+1	-3.7037E+0	-2.6197E+1
2.7569E+1	-3.9768E+1	-1.7888E+1	1.1618E+3	2.1278E+1	-4.5010E+0	-7.2612E+0	-6.7118E+0
3.0231E+1	-6.8048E+1	-1.6604E+2	2.3182E+3	2.1762E+1	-1.4777E+1	-2.5846E+1	2.5881E+1
3.3151E+1	-1.6895E+1	-2.1129E+1	8.5144E+1	-4.1379E+0	-7.5643E+0	-9.8028E+0	-1.2261E+1
