%	Date:	2010-12-20	Time:	13:54:29
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.031600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	5.0146E+1	-9.0097E+1	1.2189E+0	-3.9508E+1	-4.5058E+1	-5.3671E+1	-5.9647E+1
1.0966E+1	5.0891E+1	-9.4542E+1	1.2669E+0	-3.8620E+1	-4.7160E+1	-5.7861E+1	-5.6521E+1
1.2025E+1	5.1600E+1	-9.8988E+1	1.4352E+0	-3.7462E+1	-4.7596E+1	-5.7005E+1	-5.1433E+1
1.3186E+1	5.2276E+1	-1.0315E+2	1.5938E+0	-3.6933E+1	-4.6883E+1	-5.0693E+1	-4.6505E+1
1.4459E+1	5.2902E+1	-1.0736E+2	1.9316E+0	-3.6444E+1	-4.2617E+1	-4.5536E+1	-4.1962E+1
1.5856E+1	5.3474E+1	-1.1159E+2	2.4453E+0	-3.5826E+1	-3.8327E+1	-4.1425E+1	-3.9300E+1
1.7387E+1	5.3989E+1	-1.1586E+2	3.0207E+0	-3.4811E+1	-3.5749E+1	-3.8340E+1	-3.7709E+1
1.9066E+1	5.4454E+1	-1.2010E+2	3.6011E+0	-3.3870E+1	-3.3529E+1	-3.6554E+1	-3.6539E+1
2.0908E+1	5.4867E+1	-1.2430E+2	4.1173E+0	-3.2909E+1	-3.1954E+1	-3.5332E+1	-3.5973E+1
2.2927E+1	5.5262E+1	-1.2828E+2	4.6777E+0	-3.1856E+1	-3.1082E+1	-3.4283E+1	-3.4164E+1
2.5141E+1	5.5567E+1	-1.3237E+2	4.9908E+0	-3.1228E+1	-3.0019E+1	-3.3203E+1	-3.5799E+1
2.7569E+1	5.5796E+1	-1.3646E+2	5.2915E+0	-3.0973E+1	-2.8588E+1	-3.3116E+1	-3.8914E+1
3.0231E+1	5.5970E+1	-1.4043E+2	5.7603E+0	-3.1279E+1	-2.6953E+1	-3.3511E+1	-3.9558E+1
3.3151E+1	5.6110E+1	-1.4421E+2	6.2619E+0	-3.1919E+1	-2.5593E+1	-3.4342E+1	-3.8196E+1
3.6353E+1	5.6219E+1	-1.4778E+2	6.7733E+0	-3.2628E+1	-2.4512E+1	-3.5336E+1	-3.6760E+1
3.9863E+1	5.6307E+1	-1.5113E+2	7.1977E+0	-3.3538E+1	-2.3723E+1	-3.6502E+1	-3.5678E+1
4.3713E+1	5.6376E+1	-1.5428E+2	7.5591E+0	-3.4421E+1	-2.3131E+1	-3.7749E+1	-3.4920E+1
4.7935E+1	5.6431E+1	-1.5720E+2	7.8791E+0	-3.5014E+1	-2.2692E+1	-3.8900E+1	-3.4166E+1
5.2564E+1	5.6473E+1	-1.6000E+2	8.0466E+0	-3.5978E+1	-2.2437E+1	-4.0209E+1	-3.3759E+1
5.7640E+1	5.6505E+1	-1.6260E+2	8.1816E+0	-3.6551E+1	-2.2268E+1	-4.1219E+1	-3.3326E+1
6.3207E+1	5.6530E+1	-1.6504E+2	8.2726E+0	-3.6900E+1	-2.2175E+1	-4.1846E+1	-3.2895E+1
6.9311E+1	5.6546E+1	-1.6732E+2	8.3229E+0	-3.6927E+1	-2.2147E+1	-4.1978E+1	-3.2513E+1
7.6005E+1	5.6557E+1	-1.6949E+2	8.3218E+0	-3.6925E+1	-2.2179E+1	-4.1746E+1	-3.2214E+1
8.3345E+1	5.6562E+1	-1.7156E+2	8.2571E+0	-3.7006E+1	-2.2275E+1	-4.1316E+1	-3.2058E+1
9.1394E+1	5.6557E+1	-1.7352E+2	8.1224E+0	-3.6968E+1	-2.2445E+1	-4.0931E+1	-3.2075E+1
1.0022E+2	5.6546E+1	-1.7538E+2	7.8776E+0	-3.7066E+1	-2.2729E+1	-4.0903E+1	-3.2263E+1
1.0990E+2	5.6523E+1	-1.7712E+2	7.5539E+0	-3.7040E+1	-2.3114E+1	-4.1000E+1	-3.2617E+1
1.2051E+2	5.6493E+1	-1.7872E+2	7.0956E+0	-3.7096E+1	-2.3688E+1	-4.1523E+1	-3.3084E+1
1.3215E+2	5.6454E+1	1.7982E+2	6.5893E+0	-3.6793E+1	-2.4407E+1	-4.1993E+1	-3.3524E+1
1.4491E+2	5.6414E+1	1.7848E+2	6.0119E+0	-3.6428E+1	-2.5318E+1	-4.3008E+1	-3.4002E+1
1.5891E+2	5.6370E+1	1.7725E+2	5.4311E+0	-3.5992E+1	-2.6405E+1	-4.3971E+1	-3.4323E+1
1.7426E+2	5.6325E+1	1.7609E+2	4.8584E+0	-3.5381E+1	-2.7708E+1	-4.4904E+1	-3.4645E+1
1.9108E+2	5.6273E+1	1.7501E+2	4.2954E+0	-3.4839E+1	-2.9238E+1	-4.5736E+1	-3.5254E+1
2.0954E+2	5.6206E+1	1.7403E+2	3.6560E+0	-3.4706E+1	-3.1167E+1	-4.6511E+1	-3.6745E+1
