%	Date:	2010-12-20	Time:	13:50:00
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.4046E+1	-1.3127E+2	1.5669E-1	-5.7475E+1	-6.3204E+1	-6.7652E+1	-7.7856E+1
1.0966E+1	1.4550E+1	-1.3314E+2	1.6536E-1	-5.6772E+1	-6.2661E+1	-7.1387E+1	-7.7667E+1
1.2025E+1	1.5025E+1	-1.3510E+2	1.8019E-1	-5.5996E+1	-6.1759E+1	-7.3890E+1	-7.6039E+1
1.3186E+1	1.5468E+1	-1.3716E+2	1.9675E-1	-5.5211E+1	-6.0969E+1	-7.5265E+1	-7.5347E+1
1.4459E+1	1.5879E+1	-1.3928E+2	2.1652E-1	-5.4352E+1	-6.0210E+1	-7.4500E+1	-7.5367E+1
1.5856E+1	1.6257E+1	-1.4144E+2	2.4207E-1	-5.3361E+1	-5.9375E+1	-7.2013E+1	-7.5296E+1
1.7387E+1	1.6601E+1	-1.4363E+2	2.7180E-1	-5.2317E+1	-5.8624E+1	-6.9137E+1	-7.5631E+1
1.9066E+1	1.6913E+1	-1.4580E+2	3.0769E-1	-5.1091E+1	-5.8575E+1	-6.5565E+1	-7.6606E+1
2.0908E+1	1.7192E+1	-1.4795E+2	3.4747E-1	-4.9967E+1	-5.8262E+1	-6.3150E+1	-7.6803E+1
2.2927E+1	1.7440E+1	-1.5007E+2	3.8451E-1	-4.9166E+1	-5.6920E+1	-6.2120E+1	-7.6502E+1
2.5141E+1	1.7658E+1	-1.5212E+2	4.2798E-1	-4.8374E+1	-5.5381E+1	-6.0952E+1	-7.1184E+1
2.7569E+1	1.7849E+1	-1.5410E+2	4.7533E-1	-4.7623E+1	-5.3918E+1	-5.9763E+1	-6.7101E+1
3.0231E+1	1.8015E+1	-1.5600E+2	5.1971E-1	-4.6984E+1	-5.2720E+1	-5.8886E+1	-6.4603E+1
3.3151E+1	1.8160E+1	-1.5780E+2	5.5274E-1	-4.6524E+1	-5.1913E+1	-5.8509E+1	-6.3540E+1
3.6353E+1	1.8285E+1	-1.5950E+2	5.7754E-1	-4.6172E+1	-5.1378E+1	-5.8344E+1	-6.3332E+1
3.9863E+1	1.8393E+1	-1.6110E+2	5.9653E-1	-4.5897E+1	-5.1009E+1	-5.8306E+1	-6.3387E+1
4.3713E+1	1.8485E+1	-1.6260E+2	6.1063E-1	-4.5708E+1	-5.0682E+1	-5.8488E+1	-6.3412E+1
