%	Date:	2010-12-14	Time:	16:44:18
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.031600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	3.5832E+1	3.6849E+1	2.1788E-1	-5.3372E+1	-6.8935E+1	-9.4811E+1	-7.7312E+1
1.0975E+1	3.5934E+1	3.3727E+1	2.1999E-1	-5.3275E+1	-6.8721E+1	-9.9529E+1	-9.5449E+1
1.2045E+1	3.6021E+1	3.0855E+1	2.2123E-1	-5.3233E+1	-6.8606E+1	-8.1649E+1	-9.8753E+1
1.3219E+1	3.6096E+1	2.8219E+1	2.2164E-1	-5.3218E+1	-6.8466E+1	-8.4732E+1	-9.4851E+1
1.4508E+1	3.6159E+1	2.5799E+1	2.2213E-1	-5.3195E+1	-6.8473E+1	-9.6735E+1	-9.5640E+1
1.5923E+1	3.6213E+1	2.3580E+1	2.2146E-1	-5.3177E+1	-7.0347E+1	-9.6491E+1	-9.3812E+1
1.7475E+1	3.6259E+1	2.1545E+1	2.2277E-1	-5.3147E+1	-6.9303E+1	-9.8478E+1	-9.5553E+1
1.9179E+1	3.6298E+1	1.9681E+1	2.2387E-1	-5.3134E+1	-6.8224E+1	-9.4347E+1	-9.0017E+1
2.1049E+1	3.6332E+1	1.7975E+1	2.2503E-1	-5.3088E+1	-6.8194E+1	-9.7417E+1	-9.5529E+1
2.3101E+1	3.6360E+1	1.6414E+1	2.2571E-1	-5.3062E+1	-6.8142E+1	-9.4639E+1	-9.4305E+1
2.5354E+1	3.6384E+1	1.4984E+1	2.1449E-1	-5.3517E+1	-6.8253E+1	-8.9630E+1	-9.2621E+1
2.7826E+1	3.6405E+1	1.3677E+1	2.2367E-1	-5.3147E+1	-6.8036E+1	-9.8933E+1	-9.3341E+1
3.0539E+1	3.6423E+1	1.2481E+1	2.2520E-1	-5.3086E+1	-6.8019E+1	-9.9533E+1	-9.5233E+1
3.3516E+1	3.6438E+1	1.1387E+1	2.2586E-1	-5.3042E+1	-6.8645E+1	-9.3990E+1	-9.2468E+1
3.6784E+1	3.6451E+1	1.0387E+1	2.2633E-1	-5.3046E+1	-6.7874E+1	-9.5311E+1	-9.5099E+1
4.0370E+1	3.6463E+1	9.4715E+0	2.2630E-1	-5.3043E+1	-6.8017E+1	-9.7082E+1	-9.2458E+1
4.4306E+1	3.6472E+1	8.6324E+0	2.2583E-1	-5.3064E+1	-6.7953E+1	-9.8526E+1	-9.2945E+1
4.8626E+1	3.6481E+1	7.8733E+0	2.2819E-1	-5.2970E+1	-6.7955E+1	-9.8729E+1	-9.1265E+1
5.3367E+1	3.6488E+1	7.1643E+0	2.2894E-1	-5.2940E+1	-6.8000E+1	-9.6064E+1	-9.4107E+1
5.8570E+1	3.6494E+1	6.5310E+0	2.2645E-1	-5.3036E+1	-6.8022E+1	-9.6509E+1	-9.9308E+1
