%	Date:	2010-12-15	Time:	15:02:16
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-1.5297E+1	1.0671E+0	7.5785E-3	-8.5518E+1	-8.5483E+1	-1.0984E+2	-1.0013E+2
2.1445E+1	-1.5296E+1	9.9004E-1	2.1154E-2	-7.3554E+1	-9.2205E+1	-1.0608E+2	-1.1533E+2
2.2995E+1	-1.5296E+1	9.1764E-1	1.2491E-1	-5.8068E+1	-1.0358E+2	-1.0134E+2	-9.9245E+1
2.4657E+1	-1.5295E+1	8.4843E-1	2.0790E-1	-5.3643E+1	-1.0135E+2	-1.1295E+2	-1.0775E+2
2.6439E+1	-1.5295E+1	7.8255E-1	1.7212E-1	-5.5283E+1	-1.0499E+2	-1.0442E+2	-1.0565E+2
2.8349E+1	-1.5295E+1	7.2176E-1	7.7278E-2	-6.2261E+1	-1.0064E+2	-1.1298E+2	-8.5396E+1
3.0398E+1	-1.5294E+1	6.6323E-1	3.1681E-2	-7.9451E+1	-1.0002E+2	-1.0355E+2	-7.0512E+1
3.2595E+1	-1.5294E+1	6.0927E-1	4.8428E-3	-8.6767E+1	-9.7077E+1	-1.1707E+2	-1.0379E+2
3.4951E+1	-1.5294E+1	5.5645E-1	6.9708E-3	-9.3670E+1	-1.0315E+2	-8.3716E+1	-9.8841E+1
3.7476E+1	-1.5292E+1	5.0431E-1	3.1278E-2	-9.6887E+1	-9.9355E+1	-7.0110E+1	-1.1252E+2
4.0185E+1	-1.5295E+1	4.2337E-1	9.1130E-3	-9.1649E+1	-9.5213E+1	-8.1382E+1	-1.0348E+2
4.3089E+1	-1.5302E+1	3.7034E-1	1.9266E-3	-9.9052E+1	-9.6893E+1	-1.2332E+2	-1.0378E+2
4.6203E+1	-1.5301E+1	2.8471E-1	1.0300E-2	-1.0309E+2	-7.9802E+1	-1.0275E+2	-1.0402E+2
4.9542E+1	-1.5276E+1	2.8767E-1	3.9143E-2	-9.2622E+1	-7.0268E+1	-1.0542E+2	-7.2320E+1
5.3122E+1	-1.5309E+1	3.0218E-1	1.9917E-2	-1.0024E+2	-7.4281E+1	-1.0402E+2	-8.6541E+1
5.6961E+1	-1.5301E+1	3.2707E-1	1.7956E-3	-9.9864E+1	-9.7466E+1	-1.0528E+2	-1.0985E+2
6.1077E+1	-1.5300E+1	1.7732E-1	2.1624E-2	-1.0555E+2	-9.5077E+1	-7.3334E+1	-1.1186E+2
6.5491E+1	-1.5288E+1	2.1687E-1	1.4563E-2	-8.4400E+1	-9.6136E+1	-7.7728E+1	-9.3371E+1
7.0224E+1	-1.5292E+1	1.7210E-1	3.3738E-2	-7.2966E+1	-9.8618E+1	-9.6652E+1	-7.2009E+1
7.5299E+1	-1.5291E+1	1.0449E-1	3.0824E-2	-7.0252E+1	-9.3204E+1	-1.0172E+2	-9.9661E+1
8.0740E+1	-1.5291E+1	7.8288E-2	2.9994E-2	-7.3700E+1	-7.3327E+1	-9.1540E+1	-9.9060E+1
8.6575E+1	-1.5291E+1	4.7358E-2	4.0605E-2	-8.0568E+1	-7.3886E+1	-7.2093E+1	-7.2718E+1
9.2832E+1	-1.5291E+1	1.5514E-2	3.2848E-2	-9.3143E+1	-8.7055E+1	-7.9723E+1	-7.0233E+1
9.9540E+1	-1.5291E+1	-1.9448E-2	2.6383E-3	-9.5963E+1	-1.1221E+2	-1.0097E+2	-9.4477E+1
1.0673E+2	-1.5292E+1	-5.5390E-2	2.4840E-2	-8.9813E+1	-8.5709E+1	-7.4056E+1	-7.7289E+1
1.1445E+2	-1.5292E+1	-9.1189E-2	5.1457E-2	-7.6861E+1	-7.2336E+1	-6.7537E+1	-8.0242E+1
1.2272E+2	-1.5292E+1	-1.1575E-1	3.0533E-2	-7.2392E+1	-7.4940E+1	-8.6080E+1	-8.9763E+1
1.3159E+2	-1.5291E+1	-1.4481E-1	2.9205E-2	-7.3639E+1	-9.1059E+1	-7.8600E+1	-7.5615E+1
1.4110E+2	-1.5293E+1	-1.7769E-1	3.2227E-2	-8.2771E+1	-7.1728E+1	-7.5125E+1	-9.1710E+1
1.5129E+2	-1.5293E+1	-2.1780E-1	5.0145E-2	-9.8637E+1	-6.6616E+1	-9.2590E+1	-7.4843E+1
1.6223E+2	-1.5293E+1	-2.5385E-1	3.0924E-2	-7.5498E+1	-7.4284E+1	-7.5391E+1	-8.9035E+1
1.7395E+2	-1.5290E+1	-2.9527E-1	3.5122E-2	-7.0790E+1	-7.8165E+1	-8.9065E+1	-7.6289E+1
1.8652E+2	-1.5291E+1	-3.5648E-1	3.6427E-2	-7.4215E+1	-7.4500E+1	-7.6004E+1	-7.4656E+1
2.0000E+2	-1.5292E+1	-3.9146E-1	8.3839E-3	-8.3957E+1	-9.1873E+1	-8.9850E+1	-8.8781E+1
2.1445E+2	-1.5291E+1	-4.3088E-1	4.8575E-2	-6.8410E+1	-7.4826E+1	-7.5172E+1	-7.5463E+1
2.2995E+2	-1.5292E+1	-4.6993E-1	4.7614E-2	-6.7271E+1	-8.5133E+1	-7.7443E+1	-7.7405E+1
2.4657E+2	-1.5290E+1	-5.3968E-1	2.7284E-2	-7.7209E+1	-7.5610E+1	-7.9433E+1	-7.7811E+1
