%	Date:	2010-12-15	Time:	14:56:13
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-9.6710E+0	9.8777E-1	8.8001E-3	-8.5245E+1	-8.4259E+1	-1.2547E+2	-8.9981E+1
2.1445E+1	-9.6711E+0	9.1053E-1	2.3875E-2	-7.2514E+1	-9.0395E+1	-1.0516E+2	-1.2679E+2
2.2995E+1	-9.6711E+0	8.3562E-1	1.4034E-1	-5.7057E+1	-9.4205E+1	-1.0323E+2	-1.0517E+2
2.4657E+1	-9.6707E+0	7.7039E-1	2.3581E-1	-5.2550E+1	-1.0329E+2	-8.9563E+1	-1.0321E+2
2.6439E+1	-9.6704E+0	7.0386E-1	1.9624E-1	-5.4145E+1	-1.0597E+2	-9.6686E+1	-1.0289E+2
2.8349E+1	-9.6705E+0	6.4223E-1	8.8756E-2	-6.1055E+1	-9.8566E+1	-1.1126E+2	-8.4770E+1
3.0398E+1	-9.6702E+0	5.8289E-1	3.0566E-2	-7.8109E+1	-9.9374E+1	-1.0588E+2	-7.1088E+1
3.2595E+1	-9.6698E+0	5.2664E-1	6.3189E-3	-8.5783E+1	-8.8863E+1	-1.0951E+2	-1.0379E+2
3.4951E+1	-9.6701E+0	4.7212E-1	6.9617E-3	-9.3391E+1	-9.0348E+1	-8.4688E+1	-1.0167E+2
3.7476E+1	-9.6681E+0	4.1617E-1	2.9668E-2	-9.6582E+1	-9.7334E+1	-7.0574E+1	-1.2413E+2
4.0185E+1	-9.6718E+0	3.3122E-1	8.4203E-3	-9.2712E+1	-9.8027E+1	-8.2245E+1	-9.3629E+1
4.3089E+1	-9.6803E+0	2.7513E-1	1.9280E-3	-1.0250E+2	-9.8151E+1	-9.7926E+1	-1.1907E+2
4.6203E+1	-9.6791E+0	1.7660E-1	9.2495E-3	-9.5112E+1	-8.0846E+1	-1.2067E+2	-1.0780E+2
4.9542E+1	-9.6500E+0	1.9010E-1	3.7768E-2	-9.0547E+1	-7.0831E+1	-9.3038E+1	-7.2316E+1
5.3122E+1	-9.6885E+0	1.8694E-1	1.8761E-2	-9.3031E+1	-7.4806E+1	-1.0474E+2	-8.7956E+1
5.6961E+1	-9.6811E+0	2.1775E-1	2.0996E-3	-9.7651E+1	-9.7688E+1	-1.0676E+2	-1.0110E+2
6.1077E+1	-9.6767E+0	4.7561E-2	2.1277E-2	-1.1262E+2	-9.7688E+1	-7.3467E+1	-1.0091E+2
6.5491E+1	-9.6655E+0	1.0784E-1	1.4898E-2	-8.5731E+1	-9.4856E+1	-7.7238E+1	-9.5131E+1
7.0224E+1	-9.6698E+0	4.8935E-2	3.1740E-2	-7.3513E+1	-9.2318E+1	-1.1693E+2	-7.2548E+1
7.5299E+1	-9.6674E+0	-2.7425E-2	3.0770E-2	-7.0288E+1	-9.2553E+1	-9.8558E+1	-9.4042E+1
8.0740E+1	-9.6686E+0	-6.0968E-2	3.0805E-2	-7.3335E+1	-7.3199E+1	-9.2562E+1	-1.0140E+2
8.6575E+1	-9.6687E+0	-1.0028E-1	3.9696E-2	-8.2744E+1	-7.4102E+1	-7.2356E+1	-7.2577E+1
9.2832E+1	-9.6690E+0	-1.4332E-1	3.4323E-2	-1.0190E+2	-8.6314E+1	-7.9715E+1	-6.9800E+1
9.9540E+1	-9.6683E+0	-1.8823E-1	4.7307E-3	-8.8997E+1	-9.2968E+1	-9.5539E+1	-9.7121E+1
1.0673E+2	-9.6690E+0	-2.3349E-1	2.5044E-2	-9.4698E+1	-8.4447E+1	-7.3528E+1	-7.8416E+1
1.1445E+2	-9.6683E+0	-2.8058E-1	5.3546E-2	-7.6631E+1	-7.2452E+1	-6.7004E+1	-8.0544E+1
1.2272E+2	-9.6698E+0	-3.2704E-1	3.0561E-2	-7.2115E+1	-7.5376E+1	-8.8351E+1	-8.8267E+1
1.3159E+2	-9.6707E+0	-3.7450E-1	2.8508E-2	-7.3237E+1	-9.4144E+1	-7.9453E+1	-7.6559E+1
1.4110E+2	-9.6708E+0	-4.3299E-1	3.2775E-2	-7.9874E+1	-7.1394E+1	-7.6348E+1	-8.8540E+1
1.5129E+2	-9.6701E+0	-4.9283E-1	5.2199E-2	-8.9211E+1	-6.6212E+1	-8.7659E+1	-7.5177E+1
1.6223E+2	-9.6703E+0	-5.4402E-1	3.0755E-2	-7.5993E+1	-7.4160E+1	-7.5455E+1	-8.5882E+1
1.7395E+2	-9.6710E+0	-5.8782E-1	3.1869E-2	-7.1828E+1	-7.9084E+1	-8.5564E+1	-7.6821E+1
1.8652E+2	-9.6683E+0	-6.4228E-1	3.4903E-2	-7.3901E+1	-7.5241E+1	-7.6059E+1	-7.5785E+1
2.0000E+2	-9.6682E+0	-7.0878E-1	1.4689E-2	-8.0253E+1	-8.2703E+1	-8.5289E+1	-8.4183E+1
2.1445E+2	-9.6699E+0	-7.8399E-1	4.6245E-2	-6.8573E+1	-7.6338E+1	-7.5467E+1	-7.6320E+1
2.2995E+2	-9.6682E+0	-8.5551E-1	4.9068E-2	-6.6792E+1	-8.3337E+1	-7.9397E+1	-7.8144E+1
2.4657E+2	-9.6717E+0	-9.1916E-1	2.9082E-2	-7.5061E+1	-7.5352E+1	-8.0481E+1	-7.8159E+1
2.6439E+2	-9.6704E+0	-9.8993E-1	2.5714E-2	-7.7946E+1	-8.3904E+1	-7.4190E+1	-8.1026E+1
2.8349E+2	-9.6701E+0	-1.0796E+0	2.5307E-2	-7.6061E+1	-7.6062E+1	-8.0103E+1	-8.3234E+1
3.0398E+2	-9.6708E+0	-1.1772E+0	1.3474E-2	-1.0048E+2	-8.3281E+1	-8.2036E+1	-8.1481E+1
3.2595E+2	-9.6721E+0	-1.2630E+0	2.5798E-2	-7.5600E+1	-7.6921E+1	-9.1245E+1	-7.7460E+1
3.4951E+2	-9.6710E+0	-1.3857E+0	2.5457E-2	-9.0562E+1	-7.4544E+1	-9.2003E+1	-7.5501E+1
3.7476E+2	-9.6726E+0	-1.4882E+0	2.3431E-2	-7.4356E+1	-8.2703E+1	-9.4326E+1	-7.9036E+1
4.0185E+2	-9.6729E+0	-1.5907E+0	5.6743E-3	-8.9220E+1	-9.8677E+1	-9.1305E+1	-8.9404E+1
4.3089E+2	-9.6741E+0	-1.7379E+0	2.6412E-2	-7.5488E+1	-8.9565E+1	-7.9753E+1	-7.5257E+1
4.6203E+2	-9.6701E+0	-1.8595E+0	2.1186E-2	-7.7812E+1	-8.1132E+1	-7.7473E+1	-8.5627E+1
4.9542E+2	-9.6742E+0	-1.9962E+0	1.6828E-2	-8.5954E+1	-8.2913E+1	-7.8166E+1	-8.2666E+1
5.3122E+2	-9.6747E+0	-2.1442E+0	2.5368E-2	-7.4628E+1	-9.0453E+1	-7.8219E+1	-7.8560E+1
5.6961E+2	-9.6776E+0	-2.2913E+0	2.1938E-2	-7.8463E+1	-9.0238E+1	-7.8653E+1	-7.7144E+1
6.1077E+2	-9.6778E+0	-2.4657E+0	2.1409E-2	-8.0759E+1	-7.9026E+1	-7.8020E+1	-8.0388E+1
6.5491E+2	-9.6803E+0	-2.6515E+0	1.5851E-2	-9.0211E+1	-7.7737E+1	-8.2766E+1	-8.6890E+1
7.0224E+2	-9.6806E+0	-2.8438E+0	9.9645E-3	-9.3208E+1	-8.2706E+1	-8.4652E+1	-9.1791E+1
7.5299E+2	-9.6812E+0	-3.0604E+0	1.7185E-2	-8.9356E+1	-7.6258E+1	-8.8085E+1	-8.5023E+1
8.0740E+2	-9.6845E+0	-3.2770E+0	1.1918E-2	-8.4265E+1	-8.1963E+1	-8.4246E+1	-9.4783E+1
8.6575E+2	-9.6879E+0	-3.5224E+0	1.4977E-2	-7.8195E+1	-8.6970E+1	-8.4933E+1	-8.6864E+1
9.2832E+2	-9.6880E+0	-3.7733E+0	1.4874E-2	-7.7495E+1	-8.7687E+1	-8.8522E+1	-8.9175E+1
9.9540E+2	-9.6930E+0	-4.0484E+0	1.1181E-2	-8.3796E+1	-8.7735E+1	-8.2697E+1	-8.8961E+1
1.0673E+3	-9.6948E+0	-4.3355E+0	1.6177E-2	-7.6364E+1	-9.2079E+1	-8.6754E+1	-9.4663E+1
1.1445E+3	-9.6995E+0	-4.6505E+0	1.0281E-2	-8.4636E+1	-8.2398E+1	-9.0164E+1	-9.3849E+1
1.2272E+3	-9.7037E+0	-4.9939E+0	1.3747E-2	-7.7640E+1	-9.4460E+1	-9.0799E+1	-9.3080E+1
1.3159E+3	-9.7096E+0	-5.3527E+0	1.3256E-2	-8.0275E+1	-8.1187E+1	-9.9736E+1	-9.3278E+1
1.4110E+3	-9.7163E+0	-5.7412E+0	1.1002E-2	-8.1127E+1	-8.4461E+1	-9.7960E+1	-9.1868E+1
1.5129E+3	-9.7229E+0	-6.1490E+0	8.6853E-3	-8.9538E+1	-8.5984E+1	-8.7653E+1	-8.6589E+1
1.6223E+3	-9.7301E+0	-6.5946E+0	1.2486E-2	-8.0965E+1	-8.5718E+1	-8.6176E+1	-8.6041E+1
1.7395E+3	-9.7387E+0	-7.0624E+0	1.0170E-2	-8.6350E+1	-9.9137E+1	-8.1360E+1	-9.2281E+1
1.8652E+3	-9.7508E+0	-7.5774E+0	7.2739E-3	-8.3515E+1	-9.4407E+1	-9.6880E+1	-9.5664E+1
2.0000E+3	-9.7621E+0	-8.1108E+0	5.0779E-3	-8.9257E+1	-9.2781E+1	-9.1279E+1	-9.9214E+1
2.1445E+3	-9.7770E+0	-8.6791E+0	6.5907E-3	-9.2714E+1	-8.7944E+1	-8.9326E+1	-8.9850E+1
2.2995E+3	-9.7916E+0	-9.3016E+0	6.3454E-3	-1.0510E+2	-8.5794E+1	-1.0244E+2	-8.8845E+1
2.4657E+3	-9.8104E+0	-9.9651E+0	1.2393E-2	-8.6047E+1	-8.9562E+1	-7.9472E+1	-9.3239E+1
2.6439E+3	-9.8308E+0	-1.0663E+1	1.0312E-2	-9.5282E+1	-8.6834E+1	-9.2042E+1	-8.1169E+1
2.8349E+3	-9.8539E+0	-1.1414E+1	9.3190E-3	-9.4731E+1	-8.7615E+1	-8.6614E+1	-8.3530E+1
3.0398E+3	-9.8794E+0	-1.2203E+1	1.0396E-2	-8.8068E+1	-9.3390E+1	-8.0818E+1	-9.2960E+1
3.2595E+3	-9.9095E+0	-1.3057E+1	4.2667E-3	-1.0492E+2	-9.1229E+1	-9.5225E+1	-9.1340E+1
3.4951E+3	-9.9446E+0	-1.3962E+1	1.2125E-2	-8.5162E+1	-9.9253E+1	-7.9640E+1	-9.1729E+1
3.7476E+3	-9.9839E+0	-1.4926E+1	5.6863E-3	-8.9908E+1	-8.9490E+1	-9.2757E+1	-9.2539E+1
4.0185E+3	-1.0028E+1	-1.5943E+1	1.6525E-2	-8.2768E+1	-7.7315E+1	-1.0561E+2	-8.4637E+1
4.3089E+3	-1.0079E+1	-1.7024E+1	9.8293E-3	-9.0528E+1	-8.2488E+1	-8.9973E+1	-8.6716E+1
4.6203E+3	-1.0136E+1	-1.8170E+1	8.4934E-3	-9.2072E+1	-8.2055E+1	-9.6813E+1	-9.8114E+1
4.9542E+3	-1.0202E+1	-1.9378E+1	1.2358E-2	-8.1296E+1	-9.7461E+1	-8.1273E+1	-9.6706E+1
5.3122E+3	-1.0276E+1	-2.0655E+1	7.6281E-3	-8.9421E+1	-8.5659E+1	-8.9786E+1	-9.0416E+1
5.6961E+3	-1.0359E+1	-2.1998E+1	7.1948E-3	-8.8593E+1	-8.4748E+1	-9.5731E+1	-9.7561E+1
6.1077E+3	-1.0452E+1	-2.3408E+1	3.0902E-3	-1.0035E+2	-9.3482E+1	-9.9305E+1	-9.5275E+1
6.5491E+3	-1.0557E+1	-2.4887E+1	1.0670E-2	-8.9768E+1	-8.5203E+1	-8.6283E+1	-8.3046E+1
7.0224E+3	-1.0674E+1	-2.6429E+1	7.4561E-3	-9.1577E+1	-8.8270E+1	-8.7580E+1	-8.7882E+1
7.5299E+3	-1.0806E+1	-2.8036E+1	7.3056E-3	-9.1204E+1	-8.8113E+1	-8.7027E+1	-8.9779E+1
8.0740E+3	-1.0952E+1	-2.9706E+1	1.2577E-2	-8.1624E+1	-1.0249E+2	-8.0741E+1	-9.3466E+1
8.6575E+3	-1.1114E+1	-3.1429E+1	7.8850E-3	-8.6810E+1	-1.0993E+2	-8.5201E+1	-8.9572E+1
9.2832E+3	-1.1293E+1	-3.3208E+1	6.6211E-3	-9.0561E+1	-9.3885E+1	-8.6471E+1	-9.0744E+1
9.9540E+3	-1.1489E+1	-3.5032E+1	3.4334E-3	-9.4144E+1	-1.0540E+2	-9.2985E+1	-9.5818E+1
1.0673E+4	-1.1705E+1	-3.6895E+1	9.0944E-3	-9.4017E+1	-8.2364E+1	-9.5664E+1	-8.7447E+1
1.1445E+4	-1.1940E+1	-3.8783E+1	1.6715E-2	-9.5006E+1	-1.0309E+2	-7.5631E+1	-9.6509E+1
1.2272E+4	-1.2196E+1	-4.0697E+1	9.6446E-3	-9.1394E+1	-9.6586E+1	-8.9668E+1	-8.1380E+1
1.3159E+4	-1.2472E+1	-4.2636E+1	2.7192E-1	-9.2998E+1	-5.1322E+1	-8.0940E+1	-7.9907E+1
1.4110E+4	-1.2769E+1	-4.4566E+1	7.4095E-3	-8.8868E+1	-8.6931E+1	-8.6800E+1	-1.0119E+2
1.5129E+4	-1.3087E+1	-4.6494E+1	8.7286E-3	-8.5601E+1	-9.5137E+1	-8.9615E+1	-8.4601E+1
1.6223E+4	-1.3426E+1	-4.8407E+1	3.2916E-2	-8.2313E+1	-8.3897E+1	-7.0176E+1	-8.6239E+1
1.7395E+4	-1.3786E+1	-5.0303E+1	5.7323E-2	-8.1788E+1	-9.2378E+1	-8.9552E+1	-6.4945E+1
1.8652E+4	-1.4167E+1	-5.2157E+1	1.3585E-2	-1.0653E+2	-7.8384E+1	-8.9013E+1	-8.5732E+1
2.0000E+4	-1.4566E+1	-5.3969E+1	1.0717E-2	-8.4469E+1	-9.1422E+1	-8.3579E+1	-8.5521E+1
