%	Date:	2010-12-15	Time:	14:55:31
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-9.6712E+0	9.8727E-1	6.0896E-4	-1.0810E+2	-1.0848E+2	-1.1835E+2	-1.1227E+2
2.1445E+1	-9.6711E+0	9.1055E-1	2.4527E-3	-9.2402E+1	-1.0691E+2	-1.1854E+2	-1.1338E+2
2.2995E+1	-9.6709E+0	8.3811E-1	1.4756E-2	-7.6631E+1	-1.0373E+2	-1.1416E+2	-1.1367E+2
2.4657E+1	-9.6707E+0	7.6961E-1	2.3274E-2	-7.2666E+1	-1.0511E+2	-1.1137E+2	-1.1367E+2
2.6439E+1	-9.6705E+0	7.0453E-1	1.9875E-2	-7.4039E+1	-1.0450E+2	-1.2107E+2	-1.1150E+2
2.8349E+1	-9.6705E+0	6.4250E-1	8.7674E-3	-8.1209E+1	-1.0512E+2	-1.0979E+2	-1.0121E+2
3.0398E+1	-9.6700E+0	5.8417E-1	3.3554E-3	-9.7616E+1	-1.0197E+2	-1.2077E+2	-9.0514E+1
3.2595E+1	-9.6701E+0	5.2819E-1	1.2405E-3	-1.0032E+2	-1.0252E+2	-1.1576E+2	-1.1612E+2
3.4951E+1	-9.6699E+0	4.7470E-1	9.3703E-4	-1.1226E+2	-1.0245E+2	-1.0779E+2	-1.1076E+2
3.7476E+1	-9.6699E+0	4.2338E-1	3.3123E-3	-1.0346E+2	-1.0364E+2	-8.9988E+1	-1.1216E+2
4.0185E+1	-9.6697E+0	3.7834E-1	1.2465E-3	-1.0882E+2	-1.0462E+2	-9.9975E+1	-1.1144E+2
4.3089E+1	-9.6688E+0	3.3347E-1	7.6402E-4	-1.0485E+2	-1.0748E+2	-1.1478E+2	-1.1354E+2
4.6203E+1	-9.6691E+0	2.9176E-1	1.5322E-3	-1.0220E+2	-9.7668E+1	-1.2724E+2	-1.1498E+2
4.9542E+1	-9.6713E+0	2.3373E-1	4.4120E-3	-1.0578E+2	-8.8606E+1	-1.1172E+2	-9.2716E+1
5.3122E+1	-9.6674E+0	1.9643E-1	2.0999E-3	-1.0983E+2	-9.4202E+1	-1.2395E+2	-1.0300E+2
5.6961E+1	-9.6675E+0	1.4476E-1	7.2580E-4	-1.0677E+2	-1.0609E+2	-1.2282E+2	-1.1189E+2
6.1077E+1	-9.6686E+0	1.1302E-1	2.5514E-3	-1.0486E+2	-1.0625E+2	-9.2271E+1	-1.1729E+2
6.5491E+1	-9.6690E+0	5.8849E-2	1.6088E-3	-1.0467E+2	-1.0620E+2	-9.7065E+1	-1.1383E+2
7.0224E+1	-9.6686E+0	1.9908E-2	3.4403E-3	-9.3118E+1	-1.1008E+2	-1.1473E+2	-9.1658E+1
7.5299E+1	-9.6689E+0	-1.9034E-2	2.6292E-3	-9.1697E+1	-1.0962E+2	-1.1563E+2	-1.1942E+2
8.0740E+1	-9.6688E+0	-6.1235E-2	3.2995E-3	-9.6024E+1	-9.0807E+1	-1.1255E+2	-1.1552E+2
8.6575E+1	-9.6687E+0	-1.0334E-1	4.1291E-3	-9.9765E+1	-9.4747E+1	-9.1544E+1	-9.2491E+1
9.2832E+1	-9.6687E+0	-1.4616E-1	3.5746E-3	-1.0756E+2	-1.0109E+2	-9.9392E+1	-8.9717E+1
9.9540E+1	-9.6687E+0	-1.8943E-1	9.8424E-4	-1.0209E+2	-1.0549E+2	-1.1308E+2	-1.1714E+2
1.0673E+2	-9.6687E+0	-2.3296E-1	2.9419E-3	-1.0434E+2	-9.8946E+1	-9.3195E+1	-9.6535E+1
1.1445E+2	-9.6687E+0	-2.7858E-1	5.8739E-3	-9.4470E+1	-8.9939E+1	-8.6985E+1	-1.0116E+2
1.2272E+2	-9.6687E+0	-3.2466E-1	3.4025E-3	-9.2367E+1	-9.2789E+1	-1.0328E+2	-1.1319E+2
1.3159E+2	-9.6687E+0	-3.7272E-1	2.6564E-3	-9.5601E+1	-1.0419E+2	-9.9631E+1	-9.5478E+1
1.4110E+2	-9.6688E+0	-4.2254E-1	3.0755E-3	-9.8633E+1	-9.2770E+1	-9.5820E+1	-1.0730E+2
1.5129E+2	-9.6689E+0	-4.7470E-1	5.5447E-3	-9.7892E+1	-8.5905E+1	-1.0496E+2	-9.5052E+1
1.6223E+2	-9.6689E+0	-5.2940E-1	3.7780E-3	-9.2126E+1	-9.4409E+1	-9.3580E+1	-1.0867E+2
