%	Date:	2010-12-14	Time:	20:24:14
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-5.8089E+0	-1.7844E+2	5.1131E-3	-9.4025E+1	-9.0339E+1	-9.5968E+1	-8.9827E+1
2.1445E+1	-5.8080E+0	-1.7854E+2	7.4313E-3	-8.2759E+1	-1.0298E+2	-9.8521E+1	-1.0468E+2
2.2995E+1	-5.8071E+0	-1.7864E+2	4.7370E-2	-6.6493E+1	-9.9255E+1	-1.0973E+2	-1.0901E+2
2.4657E+1	-5.8062E+0	-1.7873E+2	7.9417E-2	-6.2008E+1	-1.1580E+2	-9.1309E+1	-1.0026E+2
2.6439E+1	-5.8055E+0	-1.7882E+2	6.5535E-2	-6.3673E+1	-1.0189E+2	-9.7104E+1	-1.0534E+2
2.8349E+1	-5.8050E+0	-1.7890E+2	2.9631E-2	-7.0571E+1	-9.9633E+1	-1.1063E+2	-1.2528E+2
3.0398E+1	-5.8043E+0	-1.7898E+2	7.9404E-3	-9.1025E+1	-1.1086E+2	-1.0355E+2	-8.2626E+1
3.2595E+1	-5.8038E+0	-1.7905E+2	3.4207E-3	-9.5807E+1	-9.0874E+1	-1.0263E+2	-1.0453E+2
3.4951E+1	-5.8031E+0	-1.7912E+2	3.0888E-3	-1.0565E+2	-9.2494E+1	-9.4466E+1	-1.1212E+2
3.7476E+1	-5.8028E+0	-1.7917E+2	6.4231E-3	-9.4610E+1	-1.0147E+2	-8.4438E+1	-9.9603E+1
4.0185E+1	-5.8002E+0	-1.7923E+2	3.5419E-3	-1.1030E+2	-1.0077E+2	-9.3368E+1	-9.1543E+1
4.3089E+1	-5.7976E+0	-1.7930E+2	2.9678E-3	-9.3749E+1	-9.9227E+1	-1.0944E+2	-9.4840E+1
4.6203E+1	-5.7956E+0	-1.7934E+2	3.6677E-3	-9.0371E+1	-9.4824E+1	-1.0490E+2	-1.0184E+2
4.9542E+1	-5.8035E+0	-1.7935E+2	9.6355E-3	-8.9064E+1	-8.2460E+1	-9.8633E+1	-8.6514E+1
5.3122E+1	-5.7968E+0	-1.7947E+2	6.4976E-3	-9.0971E+1	-8.5379E+1	-1.0336E+2	-9.3207E+1
