%	Date:	2010-12-14	Time:	20:27:30
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-1.1543E+2	-4.2852E+0	1.4323E+2	-1.4990E+1	-5.9563E+0	-2.4035E+1	2.4604E+0
2.1445E+1	-1.1632E+2	3.7495E+0	4.0596E+1	-1.2810E+1	-2.0678E+1	-1.2710E+1	-1.2984E+1
2.2995E+1	-1.1556E+2	-1.3013E+1	4.0475E+1	-1.2238E+1	-1.3115E+1	-1.2873E+1	-2.4350E+1
2.4657E+1	-1.1463E+2	-7.1114E+0	1.2298E+2	-1.0836E+1	-2.2113E+1	1.5222E+0	-2.4036E+1
2.6439E+1	-1.1441E+2	-7.5419E+0	7.6798E+1	-6.6736E+0	-1.3767E+1	-5.2458E+0	-1.4704E+1
2.8349E+1	-1.1441E+2	-1.3530E+1	5.0394E+1	-7.3572E+0	-1.3057E+1	-3.1451E+1	-1.6991E+1
3.0398E+1	-1.1423E+2	-8.4910E+0	5.9337E+1	-1.2331E+1	-7.9613E+0	-1.5591E+1	-9.7421E+0
3.2595E+1	-1.1587E+2	-4.5378E+0	1.4194E+2	-9.0580E+0	2.7069E+0	-3.0630E+1	-1.6096E+1
3.4951E+1	-1.1354E+2	5.1975E+0	7.5123E+1	-3.5003E+1	-2.7807E+0	-1.5687E+1	-2.0047E+1
3.7476E+1	-1.1480E+2	1.7709E+0	5.2494E+1	-1.5593E+1	-8.0725E+0	-1.8000E+1	-1.1177E+1
4.0185E+1	-1.1552E+2	-1.4458E+1	7.6036E+1	-2.4740E+1	-1.2817E+1	-9.5354E+0	-3.8592E+0
4.3089E+1	-1.1490E+2	3.5074E+0	5.0893E+1	-8.6387E+0	-1.4976E+1	-1.8465E+1	-1.1183E+1
4.6203E+1	-1.1549E+2	8.9394E+0	8.7884E+1	-1.3437E+0	-2.5760E+1	-1.4796E+1	-2.5745E+1
4.9542E+1	-1.1930E+2	-7.1535E+0	2.5187E+2	6.4322E+0	-4.0004E+0	9.4648E-1	-5.1586E+0
5.3122E+1	-1.1897E+2	-2.0575E+1	1.9277E+2	4.9744E+0	-1.0583E+1	-3.8069E+0	-1.1626E+1
5.6961E+1	-1.1325E+2	3.6367E+1	5.6288E+1	-5.5054E+0	-1.5783E+1	-2.2346E+1	-2.5061E+1
6.1077E+1	-1.1091E+2	2.1944E+0	3.4802E+1	-1.9880E+1	-1.4489E+1	-1.8940E+1	-1.2041E+1
6.5491E+1	-1.1479E+2	1.3467E+1	9.0824E+1	-7.2656E+0	-2.3541E+0	-1.7253E+1	-1.4339E+1
7.0224E+1	-1.1630E+2	-8.9398E+0	1.0228E+2	-7.2769E+0	-3.1910E+0	-1.3471E+1	-4.7580E+0
7.5299E+1	-1.1911E+2	-2.5565E+1	7.9954E+1	-9.7085E+0	-3.4431E+0	-1.1398E+1	-2.1380E+1
8.0740E+1	-1.1088E+2	-4.6520E+0	2.5539E+1	-1.8064E+1	-1.6466E+1	-1.7487E+1	-2.0359E+1
8.6575E+1	-1.1053E+2	-5.6475E+0	4.7511E+1	-9.8735E+0	-1.4171E+1	-2.1191E+1	-1.1141E+1
9.2832E+1	-1.0744E+2	2.4271E+1	3.3577E+1	-1.0328E+1	-1.9072E+1	-4.0147E+1	-2.1223E+1
9.9540E+1	-1.1473E+2	6.3965E+1	8.2334E+1	-2.8751E+0	-2.9529E+1	-9.4734E+0	-1.3181E+1
1.0673E+2	-1.0834E+2	-2.4790E+1	4.8811E+1	-9.1568E+0	-1.3416E+1	-1.3467E+1	-1.5806E+1
1.1445E+2	-1.1557E+2	-6.4654E+1	9.1041E+1	-2.6160E+0	-1.0057E+1	-8.4525E+0	-1.3999E+1
1.2272E+2	-1.1377E+2	-3.0348E+1	4.4326E+1	-1.5158E+1	-1.3887E+1	-1.0269E+1	-1.5070E+1
1.3159E+2	-1.1001E+2	4.0032E+0	4.1217E+1	-1.9520E+1	-9.8796E+0	-1.3449E+1	-1.9704E+1
1.4110E+2	-1.0981E+2	7.8234E-1	2.9443E+1	-1.6031E+1	-1.5482E+1	-1.5615E+1	-2.2218E+1
1.5129E+2	-1.1168E+2	1.9472E+1	5.5730E+1	-1.4717E+1	-5.9421E+0	-2.1429E+1	-1.8218E+1
1.6223E+2	-1.1372E+2	1.3771E+1	6.4678E+1	-1.1578E+1	-8.5367E+0	-1.3672E+1	-7.8042E+0
1.7395E+2	-1.1168E+2	1.8015E+1	4.4856E+1	-1.2758E+1	-1.3314E+1	-2.2200E+1	-1.0198E+1
1.8652E+2	-1.1569E+2	-1.3448E+1	1.1365E+2	-1.2352E+1	-1.0534E+1	-4.3867E+0	-1.0749E+0
2.0000E+2	-1.1110E+2	-2.6579E+1	4.9145E+1	-1.6765E+1	-1.0113E+1	-1.4037E+1	-1.0780E+1
2.1445E+2	-1.1136E+2	-8.0843E+0	3.1239E+1	-1.9684E+1	-1.4121E+1	-1.6473E+1	-1.5920E+1
2.2995E+2	-1.1059E+2	-1.2221E+1	6.2976E+1	-8.4506E+0	-1.2282E+1	-1.4703E+1	-7.9388E+0
2.4657E+2	-1.1356E+2	-3.5131E+1	7.0001E+1	-7.9209E+0	-1.2209E+1	-9.8729E+0	-7.8120E+0
2.6439E+2	-1.1585E+2	3.1460E+1	5.8820E+1	-1.5138E+1	-6.6991E+0	-1.2620E+1	-1.3298E+1
2.8349E+2	-1.1959E+2	2.7831E+1	1.4560E+2	-1.3414E+1	-3.1456E+0	-3.3264E+0	5.1043E-1
3.0398E+2	-1.1376E+2	5.5341E+0	9.5898E+1	-6.2167E+0	-1.5002E+1	-1.8494E+1	-1.9727E+0
3.2595E+2	-1.1453E+2	-1.3419E+0	5.3143E+1	-1.5409E+1	-1.1436E+1	-1.1875E+1	-9.3238E+0
3.4951E+2	-1.1432E+2	1.2163E+1	7.6558E+1	-7.2595E+0	-2.8915E+1	-2.2420E+1	-4.0766E+0
3.7476E+2	-1.1311E+2	1.4970E+1	8.0232E+1	-1.3730E+1	-1.6551E+1	-2.5830E+0	-1.5603E+1
4.0185E+2	-1.1760E+2	2.7741E+1	8.4113E+1	-5.2812E+0	-4.8826E+0	-1.5750E+1	-1.2248E+1
4.3089E+2	-1.1411E+2	1.1092E+1	7.0525E+1	-5.4013E+0	-9.1111E+0	-1.5289E+1	-1.2460E+1
4.6203E+2	-1.1311E+2	1.5024E+1	3.4636E+1	-2.0087E+1	-1.1457E+1	-1.8797E+1	-1.5939E+1
4.9542E+2	-1.1452E+2	2.4900E+1	6.2861E+1	-1.0962E+1	-6.0015E+0	-1.2858E+1	-1.9158E+1
5.3122E+2	-1.1540E+2	-4.7015E+0	1.1640E+2	-2.8784E+1	-1.2163E+1	-3.3170E+0	-8.2604E-1
5.6961E+2	-1.1810E+2	8.3855E+0	8.3632E+1	-1.7342E+1	-2.0272E+0	-1.6341E+1	-1.5122E+1
6.1077E+2	-1.1325E+2	6.9957E-1	5.0870E+1	-1.8282E+1	-2.9373E+1	-6.5508E+0	-1.6677E+1
6.5491E+2	-1.1929E+2	1.7291E+1	8.7388E+1	-6.3656E+0	-7.6867E+0	-5.8545E+0	-9.8859E+0
7.0224E+2	-1.1803E+2	9.2412E+0	1.7953E+2	1.7623E+0	-1.3076E+1	1.1773E+0	-4.4120E+0
7.5299E+2	-1.2072E+2	1.9923E+1	1.4419E+2	-2.4356E+0	-1.3512E+0	-2.4332E+0	-6.8900E+0
8.0740E+2	-1.1680E+2	-9.6176E+0	1.0556E+2	-2.2780E+0	-7.8913E+0	-1.6155E+1	-4.7396E+0
8.6575E+2	-1.1663E+2	4.9416E+1	1.1653E+2	-5.5345E-1	-1.5999E+1	-3.5556E+0	-1.9450E+1
9.2832E+2	-1.1985E+2	7.9449E+0	1.0194E+2	-1.0233E+1	-1.2492E+1	-6.9124E-1	-1.4535E+1
9.9540E+2	-1.1547E+2	-2.4071E+0	9.8028E+1	-1.3122E+1	-1.0426E+1	-6.9699E+0	-2.0715E+0
1.0673E+3	-1.1563E+2	3.2540E+1	1.1119E+2	-9.3136E+0	-5.1743E+0	-1.1171E+0	-1.3754E+1
1.1445E+3	-1.1466E+2	1.7992E+1	5.4727E+1	-8.0193E+0	-1.8047E+1	-9.9653E+0	-1.5980E+1
1.2272E+3	-1.1358E+2	2.6524E+1	7.4546E+1	-9.7484E+0	-1.3135E+1	-4.7347E+0	-1.1870E+1
1.3159E+3	-1.1484E+2	3.9930E+1	6.7621E+1	-1.8251E+1	-4.3291E+0	-1.1819E+1	-2.1270E+1
1.4110E+3	-1.1359E+2	1.3715E+1	5.5621E+1	-2.8819E+1	-5.6485E+0	-1.5273E+1	-2.2222E+1
1.5129E+3	-1.2020E+2	4.0274E+1	1.1027E+2	-4.3749E+0	-8.5207E+0	-2.6524E+1	-1.4999E+0
1.6223E+3	-1.1365E+2	2.5594E+1	4.0041E+1	-1.3583E+1	-1.0975E+1	-1.8076E+1	-1.6769E+1
1.7395E+3	-1.1250E+2	2.8252E+1	6.8801E+1	-1.5649E+1	-5.5804E+0	-1.7012E+1	-8.2518E+0
1.8652E+3	-1.1047E+2	4.5016E+1	4.3815E+1	-1.2834E+1	-1.3486E+1	-1.4153E+1	-1.2468E+1
2.0000E+3	-1.1280E+2	2.3307E+1	4.6654E+1	-1.2004E+1	-1.2377E+1	-1.7631E+1	-1.0995E+1
2.1445E+3	-1.1844E+2	4.7742E+1	7.9199E+1	-4.1714E+0	-9.5530E+0	-2.7546E+1	-8.7962E+0
2.2995E+3	-1.1517E+2	3.6166E+1	8.5676E+1	-8.9716E+0	-1.7095E+1	-2.8568E+0	-1.1561E+1
2.4657E+3	-1.1334E+2	1.7924E+1	5.0550E+1	-6.6858E+0	-2.4149E+1	-2.1298E+1	-1.5263E+1
2.6439E+3	-1.1169E+2	3.0351E+1	4.5661E+1	-1.0237E+1	-1.9913E+1	-1.5818E+1	-1.1112E+1
2.8349E+3	-1.1566E+2	3.4587E+1	8.0692E+1	-1.1881E+1	-2.2945E+1	-5.0307E+0	-5.7315E+0
3.0398E+3	-1.1456E+2	4.3142E+1	4.0179E+1	-1.2361E+1	-1.9506E+1	-1.6903E+1	-1.1440E+1
3.2595E+3	-1.1033E+2	5.9987E+1	4.3951E+1	-1.9920E+1	-1.1151E+1	-1.1342E+1	-1.4834E+1
3.4951E+3	-1.1020E+2	4.9052E+1	3.8118E+1	-1.5845E+1	-1.4322E+1	-1.6548E+1	-1.2207E+1
3.7476E+3	-1.1128E+2	4.5449E+1	3.6691E+1	-2.0867E+1	-1.6767E+1	-1.3195E+1	-1.2406E+1
4.0185E+3	-1.0914E+2	5.3662E+1	3.1635E+1	-1.2191E+1	-2.0051E+1	-2.0782E+1	-1.6682E+1
4.3089E+3	-1.0959E+2	5.4601E+1	3.8313E+1	-1.2500E+1	-1.2738E+1	-1.8159E+1	-1.6567E+1
4.6203E+3	-1.0857E+2	5.1080E+1	3.9705E+1	-1.6343E+1	-1.6068E+1	-1.4419E+1	-1.1333E+1
4.9542E+3	-1.1139E+2	7.5548E+1	4.7764E+1	-1.7748E+1	-1.5296E+1	-8.5144E+0	-1.3870E+1
5.3122E+3	-1.1218E+2	6.0883E+1	6.7863E+1	-1.2019E+1	-1.4305E+1	-5.8283E+0	-1.0031E+1
5.6961E+3	-1.0650E+2	6.0020E+1	2.8056E+1	-2.1064E+1	-1.5684E+1	-1.5163E+1	-1.8722E+1
6.1077E+3	-1.0755E+2	6.0898E+1	4.0191E+1	-1.7008E+1	-1.1485E+1	-2.1870E+1	-1.1933E+1
6.5491E+3	-1.0714E+2	6.3933E+1	3.4624E+1	-1.4763E+1	-1.1861E+1	-3.5900E+1	-1.6762E+1
7.0224E+3	-1.0739E+2	6.9821E+1	3.3585E+1	-3.5995E+1	-1.7497E+1	-1.2609E+1	-1.3990E+1
