%	Date:	2010-12-14	Time:	20:14:38
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-4.4983E-2	-1.7844E+2	8.3879E-3	-8.6974E+1	-8.3428E+1	-9.4166E+1	-9.9836E+1
2.1445E+1	-4.4439E-2	-1.7855E+2	7.9783E-3	-8.3087E+1	-9.5431E+1	-9.0164E+1	-9.6899E+1
2.2995E+1	-4.2155E-2	-1.7864E+2	6.2446E-2	-6.4125E+1	-8.5909E+1	-9.6743E+1	-9.4146E+1
2.4657E+1	-4.1990E-2	-1.7874E+2	8.8296E-2	-6.1090E+1	-9.0165E+1	-9.5034E+1	-9.4425E+1
2.6439E+1	-4.0850E-2	-1.7882E+2	7.7616E-2	-6.2216E+1	-8.8444E+1	-9.5965E+1	-9.4682E+1
2.8349E+1	-4.0301E-2	-1.7890E+2	3.1792E-2	-7.0039E+1	-8.8474E+1	-9.8812E+1	-9.3718E+1
3.0398E+1	-3.9473E-2	-1.7898E+2	1.1370E-2	-8.2123E+1	-8.6869E+1	-9.2281E+1	-8.3823E+1
3.2595E+1	-3.9070E-2	-1.7905E+2	7.4554E-3	-8.3712E+1	-9.0783E+1	-9.7728E+1	-9.5220E+1
3.4951E+1	-3.8247E-2	-1.7912E+2	5.1732E-3	-8.8012E+1	-9.1654E+1	-1.0842E+2	-9.4001E+1
3.7476E+1	-3.9135E-2	-1.7918E+2	1.7573E-2	-7.6339E+1	-9.4278E+1	-8.1562E+1	-9.5259E+1
4.0185E+1	-3.8336E-2	-1.7922E+2	9.2205E-3	-8.5171E+1	-8.5745E+1	-9.8305E+1	-8.5769E+1
4.3089E+1	-3.4928E-2	-1.7926E+2	4.4053E-3	-9.3798E+1	-9.0241E+1	-9.9825E+1	-9.3246E+1
4.6203E+1	-3.4573E-2	-1.7930E+2	7.0152E-3	-8.5714E+1	-8.7990E+1	-9.3526E+1	-9.6863E+1
4.9542E+1	-4.3845E-2	-1.7939E+2	1.0602E-2	-8.6815E+1	-8.1070E+1	-9.2966E+1	-9.0768E+1
5.3122E+1	-2.9211E-2	-1.7943E+2	8.7270E-3	-8.2624E+1	-8.9833E+1	-9.0338E+1	-9.7293E+1
5.6961E+1	-3.0793E-2	-1.7950E+2	9.2317E-3	-8.2885E+1	-8.8395E+1	-9.7309E+1	-8.7588E+1
6.1077E+1	-3.2388E-2	-1.7950E+2	8.0780E-3	-8.4467E+1	-1.0435E+2	-9.1143E+1	-8.6687E+1
6.5491E+1	-3.6289E-2	-1.7958E+2	7.3968E-3	-8.3711E+1	-8.9949E+1	-9.8389E+1	-1.0229E+2
7.0224E+1	-3.5105E-2	-1.7961E+2	1.4277E-2	-7.7947E+1	-9.5213E+1	-8.8203E+1	-8.5977E+1
7.5299E+1	-3.5493E-2	-1.7963E+2	7.7190E-3	-8.5572E+1	-9.1093E+1	-8.9200E+1	-8.9185E+1
8.0740E+1	-3.4849E-2	-1.7967E+2	1.2257E-2	-7.8504E+1	-9.9775E+1	-9.3234E+1	-9.4802E+1
8.6575E+1	-3.4926E-2	-1.7970E+2	1.4280E-2	-8.2951E+1	-8.3045E+1	-8.1332E+1	-8.5222E+1
9.2832E+1	-3.4476E-2	-1.7973E+2	1.0804E-2	-8.2708E+1	-8.6432E+1	-9.3850E+1	-8.4405E+1
9.9540E+1	-3.4646E-2	-1.7976E+2	1.1124E-2	-8.1161E+1	-8.4490E+1	-9.1563E+1	-9.3305E+1
1.0673E+2	-3.4506E-2	-1.7978E+2	1.0799E-2	-8.4177E+1	-8.4004E+1	-8.7479E+1	-8.6828E+1
1.1445E+2	-3.4144E-2	-1.7981E+2	1.5371E-2	-8.2714E+1	-8.0121E+1	-8.0768E+1	-9.7707E+1
1.2272E+2	-3.3820E-2	-1.7984E+2	1.4547E-2	-8.0524E+1	-7.9600E+1	-9.2742E+1	-9.0967E+1
