%	Date:	2010-12-14	Time:	20:13:58
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-4.5095E-2	-1.7844E+2	3.9132E-3	-9.0645E+1	-9.3925E+1	-9.8049E+1	-9.9682E+1
2.1445E+1	-4.3961E-2	-1.7855E+2	3.5170E-3	-9.3137E+1	-9.3370E+1	-9.8240E+1	-9.8503E+1
2.2995E+1	-4.2937E-2	-1.7864E+2	7.0914E-3	-8.3808E+1	-9.3495E+1	-9.6356E+1	-9.7241E+1
2.4657E+1	-4.1951E-2	-1.7874E+2	6.9040E-3	-8.4031E+1	-9.3742E+1	-9.6426E+1	-9.7868E+1
2.6439E+1	-4.1095E-2	-1.7882E+2	6.0719E-3	-8.5894E+1	-9.2837E+1	-9.4763E+1	-9.5876E+1
2.8349E+1	-4.0341E-2	-1.7890E+2	3.7113E-3	-9.5202E+1	-9.2536E+1	-9.5563E+1	-9.6197E+1
3.0398E+1	-3.9650E-2	-1.7898E+2	4.7429E-3	-8.9132E+1	-9.2840E+1	-9.3849E+1	-1.0018E+2
3.2595E+1	-3.8975E-2	-1.7905E+2	4.5552E-3	-9.1419E+1	-9.2222E+1	-9.4387E+1	-9.4089E+1
3.4951E+1	-3.8435E-2	-1.7912E+2	4.8098E-3	-9.1065E+1	-9.1790E+1	-9.2882E+1	-9.4515E+1
3.7476E+1	-3.7914E-2	-1.7918E+2	5.3053E-3	-9.0683E+1	-9.1581E+1	-9.1447E+1	-9.2606E+1
4.0185E+1	-3.7334E-2	-1.7924E+2	5.3521E-3	-9.0861E+1	-9.0824E+1	-9.1677E+1	-9.2696E+1
4.3089E+1	-3.7113E-2	-1.7930E+2	5.5828E-3	-9.1071E+1	-9.0185E+1	-9.1524E+1	-9.1720E+1
4.6203E+1	-3.6533E-2	-1.7935E+2	5.8666E-3	-9.1148E+1	-8.9057E+1	-9.1174E+1	-9.1750E+1
4.9542E+1	-3.5676E-2	-1.7939E+2	6.3001E-3	-9.1547E+1	-8.7758E+1	-9.0069E+1	-9.2155E+1
5.3122E+1	-3.6696E-2	-1.7944E+2	6.4363E-3	-9.1327E+1	-8.9125E+1	-8.9422E+1	-8.9828E+1
5.6961E+1	-3.6367E-2	-1.7948E+2	6.7949E-3	-9.1314E+1	-8.7552E+1	-8.9613E+1	-8.9881E+1
6.1077E+1	-3.5634E-2	-1.7953E+2	6.9282E-3	-9.1597E+1	-8.8001E+1	-8.9139E+1	-8.8848E+1
6.5491E+1	-3.5303E-2	-1.7956E+2	7.7655E-3	-9.1302E+1	-8.6788E+1	-8.7215E+1	-8.8875E+1
7.0224E+1	-3.5257E-2	-1.7960E+2	8.0000E-3	-9.0997E+1	-8.6517E+1	-8.7775E+1	-8.7680E+1
7.5299E+1	-3.4923E-2	-1.7963E+2	8.7677E-3	-9.0241E+1	-8.5749E+1	-8.6613E+1	-8.7217E+1
8.0740E+1	-3.4800E-2	-1.7967E+2	8.8630E-3	-9.0003E+1	-8.5939E+1	-8.6610E+1	-8.6725E+1
8.6575E+1	-3.4671E-2	-1.7970E+2	9.5732E-3	-9.1313E+1	-8.4401E+1	-8.7332E+1	-8.5306E+1
9.2832E+1	-3.4512E-2	-1.7973E+2	1.0045E-2	-9.1001E+1	-8.4574E+1	-8.4873E+1	-8.5932E+1
9.9540E+1	-3.4375E-2	-1.7976E+2	1.0799E-2	-9.1175E+1	-8.3786E+1	-8.4498E+1	-8.4992E+1
1.0673E+2	-3.4319E-2	-1.7979E+2	1.1544E-2	-9.1978E+1	-8.3154E+1	-8.4253E+1	-8.3874E+1
1.1445E+2	-3.4199E-2	-1.7981E+2	1.1631E-2	-8.9949E+1	-8.3611E+1	-8.4772E+1	-8.3161E+1
1.2272E+2	-3.4133E-2	-1.7984E+2	1.3075E-2	-9.0305E+1	-8.2466E+1	-8.2714E+1	-8.2889E+1
1.3159E+2	-3.4104E-2	-1.7986E+2	1.4162E-2	-9.1449E+1	-8.1479E+1	-8.1673E+1	-8.2658E+1
1.4110E+2	-3.4033E-2	-1.7989E+2	1.5359E-2	-9.1411E+1	-8.0472E+1	-8.1522E+1	-8.1641E+1
1.5129E+2	-3.3992E-2	-1.7991E+2	1.6967E-2	-9.0390E+1	-7.9521E+1	-8.0831E+1	-8.0732E+1
1.6223E+2	-3.3901E-2	-1.7994E+2	1.7412E-2	-9.0222E+1	-7.9559E+1	-8.0219E+1	-8.0560E+1
1.7395E+2	-3.3853E-2	-1.7996E+2	1.8380E-2	-9.2647E+1	-7.9030E+1	-7.9646E+1	-8.0050E+1
1.8652E+2	-3.3685E-2	-1.7998E+2	1.9844E-2	-9.2655E+1	-7.8757E+1	-7.8678E+1	-7.9221E+1
2.0000E+2	-3.3734E-2	1.8000E+2	2.1420E-2	-9.0925E+1	-7.7890E+1	-7.8493E+1	-7.8336E+1
2.1445E+2	-3.3695E-2	1.7997E+2	2.2940E-2	-8.9367E+1	-7.7131E+1	-7.8067E+1	-7.7825E+1
2.2995E+2	-3.3675E-2	1.7995E+2	2.4207E-2	-8.9748E+1	-7.6562E+1	-7.7510E+1	-7.7514E+1
2.4657E+2	-3.3594E-2	1.7993E+2	2.5656E-2	-9.1536E+1	-7.6229E+1	-7.6700E+1	-7.7008E+1
2.6439E+2	-3.3552E-2	1.7990E+2	2.7588E-2	-9.2942E+1	-7.5466E+1	-7.6332E+1	-7.6211E+1
2.8349E+2	-3.3578E-2	1.7988E+2	3.0163E-2	-9.0068E+1	-7.4644E+1	-7.5426E+1	-7.5686E+1
3.0398E+2	-3.3582E-2	1.7985E+2	3.2225E-2	-9.0964E+1	-7.4086E+1	-7.4800E+1	-7.5100E+1
3.2595E+2	-3.3570E-2	1.7983E+2	3.4722E-2	-9.1628E+1	-7.3437E+1	-7.4270E+1	-7.4301E+1
3.4951E+2	-3.3539E-2	1.7980E+2	3.6917E-2	-9.0881E+1	-7.2845E+1	-7.3906E+1	-7.3681E+1
3.7476E+2	-3.3558E-2	1.7977E+2	3.9561E-2	-8.9897E+1	-7.2362E+1	-7.3064E+1	-7.3183E+1
4.0185E+2	-3.3533E-2	1.7974E+2	4.2474E-2	-9.0461E+1	-7.1696E+1	-7.2449E+1	-7.2602E+1
4.3089E+2	-3.3645E-2	1.7972E+2	4.5449E-2	-8.9721E+1	-7.1120E+1	-7.1930E+1	-7.1932E+1
4.6203E+2	-3.3628E-2	1.7968E+2	4.8693E-2	-8.9920E+1	-7.0540E+1	-7.1288E+1	-7.1341E+1
4.9542E+2	-3.3620E-2	1.7965E+2	5.2158E-2	-9.0074E+1	-6.9918E+1	-7.0677E+1	-7.0779E+1
5.3122E+2	-3.3567E-2	1.7962E+2	5.5622E-2	-8.8658E+1	-6.9324E+1	-7.0183E+1	-7.0209E+1
5.6961E+2	-3.3677E-2	1.7958E+2	5.9597E-2	-8.9902E+1	-6.8751E+1	-6.9543E+1	-6.9597E+1
6.1077E+2	-3.3572E-2	1.7954E+2	6.4410E-2	-8.8029E+1	-6.8045E+1	-6.8977E+1	-6.8866E+1
6.5491E+2	-3.3590E-2	1.7950E+2	6.9028E-2	-8.8598E+1	-6.7528E+1	-6.8286E+1	-6.8238E+1
7.0224E+2	-3.3700E-2	1.7946E+2	7.3767E-2	-8.7158E+1	-6.6955E+1	-6.7712E+1	-6.7663E+1
