%	Date:	2010-12-14	Time:	20:18:34
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-1.1748E+2	-9.5848E+0	6.0507E+0	-2.0800E+1	-2.4558E+0	-1.0184E+1	5.2577E+0
2.1445E+1	-1.1802E+2	-2.4531E+1	-7.1689E+0	-1.8640E+1	-1.2653E+1	-1.6209E+1	-9.9993E+0
2.2995E+1	-1.1694E+2	-1.1410E+1	-7.7486E+0	-8.9694E+0	-1.7687E+1	-1.9588E+1	-1.8820E+1
2.4657E+1	-1.1732E+2	2.3418E+0	5.8463E+0	-1.1011E+1	-1.7233E+1	5.7141E+0	-1.7681E+1
2.6439E+1	-1.1820E+2	-1.3066E+1	5.1174E-1	-4.4949E+0	-1.1036E+1	-1.6764E+0	-1.9474E+1
2.8349E+1	-1.2039E+2	-1.8518E+1	-2.1041E+0	-4.0022E+0	-1.6133E+1	-1.2178E+1	-8.7557E+0
3.0398E+1	-1.1623E+2	-1.4322E+1	-4.0244E+0	-6.5802E+0	-1.9774E+1	-8.2524E+0	-1.7951E+1
3.2595E+1	-1.1537E+2	-1.7886E+1	4.3924E+0	-2.1726E+1	4.0524E+0	-1.3846E+1	-7.9844E+0
3.4951E+1	-1.1662E+2	-9.5002E+0	3.2654E+0	-6.6583E+0	2.5847E+0	-1.1934E+1	-1.5560E+1
3.7476E+1	-1.1760E+2	2.7893E-1	-4.3863E+0	-1.7255E+1	-2.9182E+1	-4.9758E+0	-1.5817E+1
4.0185E+1	-1.1732E+2	-1.8428E+1	1.0406E+0	-1.2068E+1	-1.4393E+1	-7.9912E+0	5.8071E-2
4.3089E+1	-1.1957E+2	-4.0006E+1	-2.6967E+0	-9.1046E+0	-1.2986E+1	-8.5255E+0	-6.5005E+0
4.6203E+1	-1.2157E+2	-3.3978E+1	4.3601E+0	3.2774E+0	-1.1367E+1	-9.6544E+0	-3.7583E+0
4.9542E+1	-1.1768E+2	-6.0815E+1	8.1344E+0	5.1541E+0	9.2444E-1	1.4392E+0	-2.2088E+0
5.3122E+1	-1.1297E+2	5.8510E+0	-2.8079E-1	-1.3541E+0	-2.8965E+1	-8.5507E+0	-1.1913E+1
5.6961E+1	-1.2117E+2	4.5417E+1	3.2921E+0	-6.3028E-1	1.6199E-1	-6.7287E+0	-1.7268E+1
6.1077E+1	-1.1869E+2	3.6506E+1	6.6608E-1	-1.1575E+1	-3.6703E+0	-4.8127E+0	-4.7300E+0
6.5491E+1	-1.1751E+2	1.3681E+0	1.5317E+0	-1.0677E+1	3.8035E-1	-1.5061E+1	-6.6832E+0
7.0224E+1	-1.1443E+2	2.1189E+0	-3.4992E+0	-6.4383E+0	-8.4953E+0	-2.3081E+1	-1.1345E+1
7.5299E+1	-1.1534E+2	2.8207E+0	-2.6148E+0	-5.6477E+0	-7.3095E+0	-1.0517E+1	-3.1717E+1
8.0740E+1	-1.1272E+2	-2.2517E+0	-2.2183E+0	-1.3490E+1	-6.1151E+0	-5.1022E+0	-2.7556E+1
8.6575E+1	-1.1216E+2	-3.9447E+1	-6.6179E+0	-1.4951E+1	-1.0200E+1	-1.8569E+1	-1.1163E+1
9.2832E+1	-1.0777E+2	-6.0291E+0	-1.0749E+1	-1.1831E+1	-1.9492E+1	-2.3516E+1	-2.5438E+1
9.9540E+1	-1.0948E+2	5.3073E+1	-3.5768E+0	-5.8519E+0	-1.0705E+1	-2.1334E+1	-1.0625E+1
1.0673E+2	-1.1127E+2	-6.7242E+1	-4.2620E+0	-4.7481E+0	-2.2302E+1	-1.9344E+1	-1.6543E+1
1.1445E+2	-1.2163E+2	-1.4123E+2	1.0813E+0	-5.2588E+0	-1.6955E+0	-8.4672E+0	-7.8077E+0
1.2272E+2	-1.1738E+2	-9.3364E+1	-2.9660E+0	-6.4302E+0	-7.7388E+0	-1.0718E+1	-1.6099E+1
1.3159E+2	-1.1281E+2	-4.0825E+1	-1.3889E+1	-1.8775E+1	-1.7395E+1	-2.2529E+1	-2.4229E+1
1.4110E+2	-1.1447E+2	-4.1303E+1	-4.9132E+0	-8.2596E+0	-9.2694E+0	-1.5178E+1	-1.6083E+1
1.5129E+2	-1.1650E+2	-1.6648E-1	1.3357E+0	-2.8121E+0	-1.0034E+1	-4.6825E+0	-4.0086E+0
1.6223E+2	-1.1614E+2	8.3348E+0	-2.1047E+0	-6.6403E+0	-9.7879E+0	-9.8874E+0	-7.1773E+0
1.7395E+2	-1.1522E+2	-3.5734E+1	-3.6838E-1	-8.5433E+0	-4.4102E+0	-6.6450E+0	-6.9881E+0
1.8652E+2	-1.1283E+2	6.3254E+1	-8.2364E-1	-1.1256E+1	-2.0381E+1	-1.6509E+0	-1.2260E+1
2.0000E+2	-1.2957E+2	1.2904E+2	1.4348E+1	5.2302E+0	1.0357E+1	6.2436E+0	9.4496E+0
2.1445E+2	-1.1843E+2	3.7073E+1	-4.1569E-1	-7.1191E+0	-4.3540E+0	-1.3577E+1	-5.1746E+0
2.2995E+2	-1.1551E+2	1.0275E+2	-1.6035E+0	-5.4812E+0	-7.0460E+0	-8.9668E+0	-1.0761E+1
2.4657E+2	-1.1446E+2	4.0836E+1	-5.0592E+0	-1.0724E+1	-1.3851E+1	-7.5174E+0	-2.0466E+1
2.6439E+2	-1.1461E+2	-4.5729E+1	-4.1486E-1	-8.2587E+0	-6.4717E+0	-6.9512E+0	-4.7827E+0
2.8349E+2	-1.2053E+2	-5.9001E+1	1.5449E+0	-1.2127E+0	-1.6966E+1	-2.9791E+1	-1.8728E+0
3.0398E+2	-1.1803E+2	2.8267E+1	4.7361E+0	-2.8870E+0	-5.1985E+0	3.0419E+0	-8.3933E+0
3.2595E+2	-1.1119E+2	1.2831E+1	-5.7733E+0	-1.7301E+1	-7.9954E+0	-1.4693E+1	-1.2722E+1
3.4951E+2	-1.1624E+2	1.9898E+1	-2.9736E+0	-1.0167E+1	-5.2776E+0	-1.5193E+1	-1.0908E+1
3.7476E+2	-1.1646E+2	-7.0319E+0	-4.8225E+0	-1.2246E+1	-7.7323E+0	-1.4338E+1	-1.1911E+1
4.0185E+2	-1.1412E+2	-1.7634E+1	-3.1565E+0	-8.1148E+0	-5.1668E+0	-2.0844E+1	-1.7813E+1
4.3089E+2	-1.1604E+2	2.9760E+1	-4.2368E-2	-3.5293E+0	-1.1050E+1	-5.5394E+0	-7.2402E+0
4.6203E+2	-1.1599E+2	-2.3741E+1	-4.8542E+0	-2.2095E+1	-5.4784E+0	-1.5697E+1	-1.9720E+1
4.9542E+2	-1.1534E+2	2.7201E+1	-1.7285E+0	-1.3728E+1	-4.1317E+0	-8.6101E+0	-9.7739E+0
5.3122E+2	-1.1604E+2	-7.9978E+0	-4.8378E+0	-1.3755E+1	-7.3521E+0	-1.9105E+1	-1.0464E+1
5.6961E+2	-1.1482E+2	1.5883E+1	-1.8436E+0	-9.2090E+0	-4.8740E+0	-1.5359E+1	-7.4603E+0
6.1077E+2	-1.1952E+2	1.5687E+1	2.5107E+0	-5.6323E-1	-1.6993E+1	-1.7359E+0	-6.6999E+0
6.5491E+2	-1.2211E+2	-1.8176E+1	1.9010E+0	-5.0861E+0	-4.4181E+0	-5.8719E-1	-2.3912E+1
7.0224E+2	-1.1840E+2	3.1540E+1	-3.9107E-2	-3.4202E+0	-8.4906E+0	-1.1151E+1	-4.9785E+0
7.5299E+2	-1.1501E+2	2.5480E+1	8.9500E-1	-4.2930E+0	-6.7447E+0	-6.6385E+0	-3.6829E+0
8.0740E+2	-1.1951E+2	2.8040E+1	3.3995E+0	-6.2913E+0	1.1470E+0	-4.6173E+0	-5.1568E+0
8.6575E+2	-1.1494E+2	2.0656E+1	-3.2374E-1	-3.9126E+0	-4.2954E+0	-1.0791E+1	-1.1760E+1
9.2832E+2	-1.1669E+2	-1.7885E+1	-3.6698E+0	-7.9611E+0	-6.2897E+0	-1.5042E+1	-2.4754E+1
9.9540E+2	-1.1894E+2	1.1001E+1	-5.0805E+0	-1.3767E+1	-1.5327E+1	-6.6419E+0	-1.6494E+1
1.0673E+3	-1.1418E+2	2.1861E+1	-9.7533E-1	-6.0861E+0	-2.5886E+0	-4.2288E+1	-2.8084E+1
