%	Date:	2010-12-14	Time:	20:29:22
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-5.8155E+0	-1.7843E+2	5.7791E-3	-8.8379E+1	-9.9401E+1	-1.0096E+2	-8.7715E+1
2.1445E+1	-5.8143E+0	-1.7853E+2	9.4306E-3	-8.0706E+1	-9.7927E+1	-1.0551E+2	-9.6875E+1
2.2995E+1	-5.8135E+0	-1.7863E+2	5.0955E-2	-6.5860E+1	-1.1065E+2	-1.0282E+2	-9.7255E+1
2.4657E+1	-5.8124E+0	-1.7872E+2	8.1776E-2	-6.1752E+1	-9.7494E+1	-9.5954E+1	-9.5410E+1
2.6439E+1	-5.8114E+0	-1.7881E+2	6.8908E-2	-6.3238E+1	-9.9739E+1	-9.8658E+1	-9.8581E+1
2.8349E+1	-5.8106E+0	-1.7889E+2	2.9779E-2	-7.0539E+1	-9.9409E+1	-1.0374E+2	-9.7057E+1
3.0398E+1	-5.8100E+0	-1.7897E+2	7.4624E-3	-9.3856E+1	-9.3113E+1	-9.7241E+1	-8.3487E+1
3.2595E+1	-5.8093E+0	-1.7904E+2	4.7291E-3	-9.0402E+1	-9.0840E+1	-1.0153E+2	-9.3662E+1
3.4951E+1	-5.8085E+0	-1.7911E+2	3.3855E-3	-9.3634E+1	-9.5974E+1	-9.5200E+1	-9.8004E+1
3.7476E+1	-5.8080E+0	-1.7917E+2	7.3946E-3	-9.5700E+1	-9.5558E+1	-8.3181E+1	-9.9461E+1
4.0185E+1	-5.8055E+0	-1.7923E+2	3.9936E-3	-1.0083E+2	-9.5346E+1	-9.8526E+1	-8.9666E+1
4.3089E+1	-5.8033E+0	-1.7930E+2	1.9138E-3	-1.0742E+2	-1.0128E+2	-1.0023E+2	-9.7476E+1
4.6203E+1	-5.8007E+0	-1.7934E+2	2.9375E-3	-9.1076E+1	-1.0775E+2	-1.0807E+2	-1.0302E+2
4.9542E+1	-5.8073E+0	-1.7934E+2	8.4430E-3	-9.1320E+1	-8.3934E+1	-1.0056E+2	-8.6458E+1
5.3122E+1	-5.8031E+0	-1.7947E+2	6.0777E-3	-9.3802E+1	-8.5531E+1	-9.3869E+1	-1.0164E+2
