%	Date:	2010-12-16	Time:	15:27:49
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-3.9094E-2	-1.7843E+2	4.0964E-3	-9.0349E+1	-9.3707E+1	-9.9945E+1	-9.6420E+1
2.1445E+1	-3.7659E-2	-1.7853E+2	5.8133E-3	-8.5822E+1	-9.3235E+1	-9.8270E+1	-9.8576E+1
2.2995E+1	-3.6898E-2	-1.7863E+2	3.7625E-2	-6.8495E+1	-9.9907E+1	-1.0589E+2	-1.1188E+2
2.4657E+1	-3.5929E-2	-1.7872E+2	6.2526E-2	-6.4100E+1	-9.5949E+1	-8.9587E+1	-9.2577E+1
2.6439E+1	-3.5065E-2	-1.7881E+2	5.1512E-2	-6.5765E+1	-1.0467E+2	-9.8269E+1	-1.0588E+2
2.8349E+1	-3.4052E-2	-1.7889E+2	2.1326E-2	-7.3442E+1	-1.0002E+2	-1.0085E+2	-1.0518E+2
3.0398E+1	-3.3709E-2	-1.7896E+2	5.9235E-3	-8.6862E+1	-1.0994E+2	-1.0165E+2	-8.8631E+1
3.2595E+1	-3.3016E-2	-1.7903E+2	1.9402E-3	-1.0266E+2	-9.9691E+1	-1.0445E+2	-9.7473E+1
3.4951E+1	-3.2523E-2	-1.7910E+2	3.2852E-3	-9.2711E+1	-9.8422E+1	-9.4653E+1	-1.0242E+2
3.7476E+1	-3.1518E-2	-1.7916E+2	5.0824E-3	-9.5276E+1	-9.6815E+1	-8.6857E+1	-1.0791E+2
4.0185E+1	-3.0479E-2	-1.7922E+2	3.9342E-3	-1.0156E+2	-1.0005E+2	-9.1266E+1	-9.1992E+1
4.3089E+1	-3.1411E-2	-1.7929E+2	5.2919E-3	-9.2814E+1	-9.1250E+1	-9.4661E+1	-8.9261E+1
4.6203E+1	-2.9415E-2	-1.7935E+2	3.6185E-3	-9.1720E+1	-9.6502E+1	-1.0189E+2	-9.4585E+1
4.9542E+1	-2.5364E-2	-1.7935E+2	6.0363E-3	-9.7361E+1	-8.6864E+1	-9.3049E+1	-9.0430E+1
5.3122E+1	-3.3691E-2	-1.7943E+2	5.5708E-3	-9.9160E+1	-8.6726E+1	-9.8826E+1	-9.1392E+1
5.6961E+1	-3.4022E-2	-1.7945E+2	3.8599E-3	-9.2996E+1	-1.0748E+2	-9.0353E+1	-1.0315E+2
6.1077E+1	-2.9658E-2	-1.7951E+2	6.7243E-3	-9.1875E+1	-9.4769E+1	-8.6224E+1	-8.9381E+1
6.5491E+1	-2.9921E-2	-1.7951E+2	5.7528E-3	-9.0029E+1	-8.8154E+1	-9.4105E+1	-9.4003E+1
7.0224E+1	-3.0349E-2	-1.7955E+2	6.5607E-3	-8.6875E+1	-9.4303E+1	-9.7736E+1	-8.7667E+1
7.5299E+1	-2.8676E-2	-1.7959E+2	6.4975E-3	-8.5336E+1	-9.4139E+1	-1.0223E+2	-9.0710E+1
8.0740E+1	-2.8607E-2	-1.7962E+2	5.0189E-3	-9.5250E+1	-8.8124E+1	-9.5137E+1	-9.4272E+1
8.6575E+1	-2.8593E-2	-1.7965E+2	1.0880E-2	-9.4478E+1	-8.6062E+1	-8.3815E+1	-8.3142E+1
9.2832E+1	-2.8484E-2	-1.7967E+2	6.7567E-3	-9.4949E+1	-9.2822E+1	-8.7246E+1	-8.7358E+1
9.9540E+1	-2.8447E-2	-1.7970E+2	4.7418E-3	-9.8277E+1	-9.1874E+1	-1.0496E+2	-8.8482E+1
1.0673E+2	-2.8581E-2	-1.7973E+2	7.6761E-3	-8.7851E+1	-8.5835E+1	-8.8820E+1	-9.4804E+1
1.1445E+2	-2.8141E-2	-1.7975E+2	1.1826E-2	-8.8630E+1	-8.4696E+1	-8.0750E+1	-9.0928E+1
1.2272E+2	-2.7952E-2	-1.7977E+2	8.9653E-3	-8.2850E+1	-8.7972E+1	-9.2168E+1	-9.1889E+1
1.3159E+2	-2.7682E-2	-1.7979E+2	7.4291E-3	-8.6972E+1	-1.0011E+2	-8.6714E+1	-8.8920E+1
1.4110E+2	-2.7848E-2	-1.7981E+2	1.0305E-2	-8.5251E+1	-8.1512E+1	-9.6697E+1	-9.4434E+1
1.5129E+2	-2.7856E-2	-1.7982E+2	1.1406E-2	-9.0150E+1	-8.1685E+1	-8.4958E+1	-8.6844E+1
1.6223E+2	-2.7343E-2	-1.7984E+2	1.1003E-2	-8.5292E+1	-8.2333E+1	-8.7532E+1	-8.8124E+1
1.7395E+2	-2.8097E-2	-1.7986E+2	8.9825E-3	-8.8597E+1	-8.3014E+1	-8.9014E+1	-9.3599E+1
1.8652E+2	-2.7995E-2	-1.7987E+2	9.1144E-3	-8.4780E+1	-8.6002E+1	-8.8797E+1	-8.9389E+1
