%	Date:	2010-12-16	Time:	15:26:51
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-3.8896E-2	-1.7844E+2	3.0815E-3	-9.3492E+1	-9.4440E+1	-9.9095E+1	-1.0718E+2
2.1445E+1	-3.7844E-2	-1.7854E+2	4.9463E-3	-8.6479E+1	-1.1265E+2	-9.8689E+1	-1.0251E+2
2.2995E+1	-3.6711E-2	-1.7864E+2	3.1804E-2	-6.9960E+1	-1.0005E+2	-1.0822E+2	-9.9498E+1
2.4657E+1	-3.5825E-2	-1.7873E+2	4.9579E-2	-6.6109E+1	-9.3957E+1	-9.5701E+1	-9.7669E+1
2.6439E+1	-3.4844E-2	-1.7882E+2	4.1135E-2	-6.7721E+1	-1.0197E+2	-9.9982E+1	-1.0725E+2
2.8349E+1	-3.4210E-2	-1.7890E+2	1.7872E-2	-7.5041E+1	-1.0294E+2	-9.7981E+1	-9.3926E+1
3.0398E+1	-3.3394E-2	-1.7897E+2	5.8228E-3	-8.7623E+1	-9.0852E+1	-9.2540E+1	-9.5484E+1
3.2595E+1	-3.2683E-2	-1.7904E+2	2.4736E-3	-9.9131E+1	-1.0719E+2	-9.5529E+1	-9.7198E+1
3.4951E+1	-3.2286E-2	-1.7911E+2	2.6462E-3	-9.3969E+1	-1.0345E+2	-1.0134E+2	-9.7431E+1
3.7476E+1	-3.1909E-2	-1.7917E+2	3.8116E-3	-9.8391E+1	-9.4498E+1	-9.1672E+1	-9.5647E+1
4.0185E+1	-3.0057E-2	-1.7922E+2	3.9292E-3	-9.6484E+1	-9.4488E+1	-9.2457E+1	-9.4029E+1
4.3089E+1	-2.7833E-2	-1.7928E+2	3.2202E-3	-9.1544E+1	-9.6254E+1	-1.0068E+2	-1.0864E+2
4.6203E+1	-2.6735E-2	-1.7933E+2	3.6677E-3	-9.5335E+1	-9.1816E+1	-9.9280E+1	-9.5588E+1
4.9542E+1	-3.2280E-2	-1.7936E+2	5.0992E-3	-9.2041E+1	-9.2113E+1	-9.7813E+1	-8.9226E+1
5.3122E+1	-2.6620E-2	-1.7945E+2	4.7738E-3	-9.7495E+1	-9.0563E+1	-9.7147E+1	-8.9874E+1
5.6961E+1	-2.9181E-2	-1.7949E+2	3.7126E-3	-9.3201E+1	-9.3314E+1	-1.0634E+2	-9.3868E+1
6.1077E+1	-2.6966E-2	-1.7951E+2	1.9586E-3	-1.0467E+2	-1.1338E+2	-9.5442E+1	-1.0227E+2
6.5491E+1	-3.0751E-2	-1.7955E+2	4.4842E-3	-1.0140E+2	-8.8865E+1	-9.5709E+1	-9.4306E+1
7.0224E+1	-2.9448E-2	-1.7959E+2	4.9331E-3	-1.0005E+2	-9.4134E+1	-1.0424E+2	-8.7187E+1
7.5299E+1	-2.8807E-2	-1.7961E+2	4.3082E-3	-8.9797E+1	-9.3559E+1	-1.0074E+2	-9.5477E+1
8.0740E+1	-2.8825E-2	-1.7965E+2	6.1238E-3	-8.7329E+1	-9.0428E+1	-9.9299E+1	-9.0571E+1
8.6575E+1	-2.8531E-2	-1.7968E+2	7.5601E-3	-9.3121E+1	-8.6827E+1	-8.6489E+1	-9.0422E+1
9.2832E+1	-2.8387E-2	-1.7971E+2	9.2560E-3	-9.7677E+1	-8.7660E+1	-9.0475E+1	-8.2376E+1
9.9540E+1	-2.8254E-2	-1.7974E+2	4.1869E-3	-9.1262E+1	-9.6296E+1	-9.1189E+1	-1.0998E+2
1.0673E+2	-2.8206E-2	-1.7976E+2	5.6186E-3	-9.1233E+1	-9.0985E+1	-8.9250E+1	-9.3782E+1
1.1445E+2	-2.8093E-2	-1.7979E+2	1.0039E-2	-9.9651E+1	-8.5780E+1	-8.1645E+1	-9.3176E+1
1.2272E+2	-2.7932E-2	-1.7981E+2	7.2328E-3	-8.9118E+1	-8.4796E+1	-9.5723E+1	-9.3728E+1
1.3159E+2	-2.8310E-2	-1.7983E+2	6.1905E-3	-9.2383E+1	-9.5031E+1	-1.0142E+2	-8.5423E+1
1.4110E+2	-2.7909E-2	-1.7986E+2	5.7241E-3	-9.4381E+1	-8.7756E+1	-9.2018E+1	-9.2167E+1
1.5129E+2	-2.8076E-2	-1.7988E+2	1.0479E-2	-1.0107E+2	-8.0863E+1	-8.7081E+1	-9.1265E+1
1.6223E+2	-2.7754E-2	-1.7990E+2	7.8539E-3	-8.8095E+1	-8.4252E+1	-9.3871E+1	-9.3461E+1
1.7395E+2	-2.7486E-2	-1.7992E+2	1.3203E-2	-8.1765E+1	-8.3655E+1	-8.9216E+1	-8.2788E+1
1.8652E+2	-2.7770E-2	-1.7994E+2	6.9472E-3	-8.4431E+1	-1.0384E+2	-9.4408E+1	-9.0874E+1
2.0000E+2	-2.7536E-2	-1.7996E+2	5.0002E-3	-8.7253E+1	-9.5001E+1	-9.6659E+1	-1.0066E+2
2.1445E+2	-2.7842E-2	-1.7998E+2	5.9940E-3	-8.8390E+1	-9.3664E+1	-1.0899E+2	-8.7693E+1
2.2995E+2	-2.7777E-2	-1.8000E+2	6.6806E-3	-8.4488E+1	-9.6247E+1	-9.2157E+1	-1.0227E+2
2.4657E+2	-2.7577E-2	1.7998E+2	6.8501E-3	-8.8373E+1	-9.2741E+1	-9.7669E+1	-8.5960E+1
2.6439E+2	-2.6934E-2	1.7996E+2	9.3115E-3	-9.3057E+1	-8.9305E+1	-8.2643E+1	-8.8068E+1
2.8349E+2	-2.7561E-2	1.7994E+2	6.3169E-3	-8.9735E+1	-8.8051E+1	-9.0067E+1	-9.4242E+1
3.0398E+2	-2.7456E-2	1.7992E+2	7.5364E-3	-9.1976E+1	-8.5444E+1	-9.5593E+1	-8.7180E+1
3.2595E+2	-2.8211E-2	1.7990E+2	6.9519E-3	-8.4992E+1	-9.2830E+1	-9.2710E+1	-9.2161E+1
3.4951E+2	-2.6977E-2	1.7988E+2	7.6864E-3	-8.9625E+1	-9.3068E+1	-8.8310E+1	-8.5454E+1
3.7476E+2	-2.7462E-2	1.7986E+2	6.3261E-3	-9.5888E+1	-9.2930E+1	-8.5985E+1	-9.1461E+1
4.0185E+2	-2.7458E-2	1.7984E+2	3.6055E-3	-9.7449E+1	-9.7932E+1	-9.3705E+1	-9.2733E+1
4.3089E+2	-2.7932E-2	1.7981E+2	8.9110E-3	-8.6975E+1	-1.0950E+2	-9.0394E+1	-8.3002E+1
4.6203E+2	-2.7726E-2	1.7978E+2	8.1973E-3	-8.6040E+1	-9.0299E+1	-8.4892E+1	-1.0256E+2
4.9542E+2	-2.7062E-2	1.7976E+2	7.3135E-3	-9.5259E+1	-8.6610E+1	-8.5816E+1	-9.6066E+1
5.3122E+2	-2.6990E-2	1.7974E+2	1.0912E-2	-8.2919E+1	-1.0649E+2	-8.2528E+1	-8.9241E+1
5.6961E+2	-2.7596E-2	1.7971E+2	7.5863E-3	-8.4031E+1	-8.9945E+1	-9.5175E+1	-9.3132E+1
6.1077E+2	-2.7795E-2	1.7968E+2	6.1204E-3	-9.2587E+1	-9.7702E+1	-8.9375E+1	-8.7281E+1
6.5491E+2	-2.7766E-2	1.7965E+2	5.5388E-3	-8.7981E+1	-8.9145E+1	-9.6658E+1	-1.0369E+2
7.0224E+2	-2.7692E-2	1.7962E+2	7.2985E-3	-8.6403E+1	-8.6915E+1	-9.4390E+1	-9.1947E+1
7.5299E+2	-2.7935E-2	1.7958E+2	6.9009E-3	-8.9345E+1	-8.7584E+1	-9.5450E+1	-8.8041E+1
8.0740E+2	-2.7509E-2	1.7955E+2	5.2652E-3	-9.0241E+1	-9.6075E+1	-9.7498E+1	-8.8535E+1
8.6575E+2	-2.8064E-2	1.7951E+2	8.2722E-3	-8.3132E+1	-9.5894E+1	-8.9044E+1	-9.3211E+1
9.2832E+2	-2.8076E-2	1.7947E+2	6.2269E-3	-8.5691E+1	-9.4387E+1	-9.1938E+1	-9.7548E+1
9.9540E+2	-2.8166E-2	1.7943E+2	8.4211E-3	-8.8946E+1	-8.4526E+1	-8.9655E+1	-8.9182E+1
1.0673E+3	-2.8542E-2	1.7938E+2	9.8373E-3	-8.1489E+1	-9.7691E+1	-9.0077E+1	-8.8453E+1
1.1445E+3	-2.8126E-2	1.7933E+2	8.9508E-3	-8.2436E+1	-1.0711E+2	-8.7562E+1	-9.2742E+1
1.2272E+3	-2.8039E-2	1.7928E+2	7.9127E-3	-8.5339E+1	-8.9257E+1	-1.0439E+2	-8.6751E+1
1.3159E+3	-2.8244E-2	1.7922E+2	1.3009E-2	-7.7984E+1	-9.2660E+1	-9.7982E+1	-9.5027E+1
1.4110E+3	-2.8431E-2	1.7917E+2	9.6013E-3	-8.3763E+1	-8.9096E+1	-9.1624E+1	-8.5094E+1
1.5129E+3	-2.8422E-2	1.7911E+2	1.0353E-2	-8.1589E+1	-9.1299E+1	-9.2820E+1	-8.5987E+1
1.6223E+3	-2.9002E-2	1.7904E+2	9.9527E-3	-8.3944E+1	-9.6423E+1	-1.0493E+2	-8.2508E+1
1.7395E+3	-2.9034E-2	1.7897E+2	1.2704E-2	-7.9432E+1	-9.3607E+1	-8.8866E+1	-8.5217E+1
1.8652E+3	-2.8964E-2	1.7889E+2	1.4321E-2	-7.9569E+1	-8.1534E+1	-9.0393E+1	-8.8161E+1
2.0000E+3	-2.9538E-2	1.7881E+2	7.9665E-3	-8.3911E+1	-9.1724E+1	-9.2328E+1	-8.9892E+1
2.1445E+3	-2.9727E-2	1.7872E+2	1.0717E-2	-8.0835E+1	-8.8175E+1	-9.5857E+1	-8.8377E+1
2.2995E+3	-3.0235E-2	1.7863E+2	1.0707E-2	-7.9807E+1	-9.8824E+1	-9.0770E+1	-1.0390E+2
2.4657E+3	-3.0427E-2	1.7852E+2	1.4799E-2	-7.7088E+1	-8.9442E+1	-9.5334E+1	-9.0371E+1
2.6439E+3	-3.0672E-2	1.7841E+2	1.3181E-2	-7.9751E+1	-8.2879E+1	-9.1189E+1	-9.0593E+1
2.8349E+3	-3.1241E-2	1.7830E+2	1.6877E-2	-7.5587E+1	-9.2460E+1	-9.6638E+1	-1.0136E+2
