%	Date:	2010-12-16	Time:	15:23:49
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-3.9124E-2	-1.7843E+2	7.4915E-4	-1.0619E+2	-1.0608E+2	-1.1726E+2	-1.1255E+2
2.1445E+1	-3.8031E-2	-1.7853E+2	6.6276E-4	-1.1508E+2	-1.0490E+2	-1.1346E+2	-1.1401E+2
2.2995E+1	-3.6943E-2	-1.7863E+2	2.7876E-3	-9.1374E+1	-1.0488E+2	-1.1570E+2	-1.0882E+2
2.4657E+1	-3.6054E-2	-1.7872E+2	5.2111E-3	-8.5711E+1	-1.0703E+2	-1.1467E+2	-1.1106E+2
2.6439E+1	-3.5207E-2	-1.7881E+2	3.9659E-3	-8.8183E+1	-1.0570E+2	-1.0896E+2	-1.0862E+2
2.8349E+1	-3.4455E-2	-1.7889E+2	1.7370E-3	-9.5650E+1	-1.0784E+2	-1.1445E+2	-1.1027E+2
3.0398E+1	-3.3755E-2	-1.7896E+2	7.7310E-4	-1.0569E+2	-1.1222E+2	-1.1887E+2	-1.0593E+2
3.2595E+1	-3.3146E-2	-1.7903E+2	9.2319E-4	-1.0404E+2	-1.0409E+2	-1.2603E+2	-1.1189E+2
3.4951E+1	-3.2594E-2	-1.7910E+2	8.6046E-4	-1.0607E+2	-1.0722E+2	-1.0832E+2	-1.0805E+2
3.7476E+1	-3.2059E-2	-1.7916E+2	8.9185E-4	-1.0745E+2	-1.0369E+2	-1.0912E+2	-1.1183E+2
4.0185E+1	-3.1670E-2	-1.7921E+2	6.9784E-4	-1.0957E+2	-1.0480E+2	-1.1678E+2	-1.1619E+2
4.3089E+1	-3.1432E-2	-1.7927E+2	7.6887E-4	-1.0556E+2	-1.0662E+2	-1.1841E+2	-1.1092E+2
4.6203E+1	-3.1006E-2	-1.7932E+2	8.5327E-4	-1.0431E+2	-1.0756E+2	-1.2048E+2	-1.0761E+2
4.9542E+1	-3.0105E-2	-1.7936E+2	9.4910E-4	-1.0618E+2	-1.0423E+2	-1.0743E+2	-1.0993E+2
5.3122E+1	-3.0675E-2	-1.7941E+2	9.4167E-4	-1.0304E+2	-1.0691E+2	-1.1653E+2	-1.0785E+2
5.6961E+1	-3.0258E-2	-1.7945E+2	7.7911E-4	-1.0973E+2	-1.0605E+2	-1.1030E+2	-1.0798E+2
6.1077E+1	-2.9927E-2	-1.7949E+2	1.0523E-3	-1.0836E+2	-1.0647E+2	-1.0188E+2	-1.1054E+2
6.5491E+1	-2.9451E-2	-1.7952E+2	1.0521E-3	-1.0453E+2	-1.0522E+2	-1.0429E+2	-1.1090E+2
7.0224E+1	-2.9379E-2	-1.7956E+2	1.2058E-3	-1.0115E+2	-1.0218E+2	-1.1489E+2	-1.1308E+2
7.5299E+1	-2.9115E-2	-1.7959E+2	9.6374E-4	-1.0127E+2	-1.1059E+2	-1.1322E+2	-1.1320E+2
8.0740E+1	-2.8991E-2	-1.7962E+2	1.6702E-3	-1.0033E+2	-9.7821E+1	-1.0883E+2	-1.1092E+2
8.6575E+1	-2.8833E-2	-1.7965E+2	1.1441E-3	-1.0498E+2	-1.0588E+2	-1.0494E+2	-1.0385E+2
9.2832E+1	-2.8728E-2	-1.7967E+2	1.1774E-3	-1.0174E+2	-1.0437E+2	-1.1513E+2	-1.0495E+2
9.9540E+1	-2.8595E-2	-1.7970E+2	8.2495E-4	-1.0863E+2	-1.0576E+2	-1.0956E+2	-1.0775E+2
1.0673E+2	-2.8505E-2	-1.7972E+2	6.5395E-4	-1.0741E+2	-1.1054E+2	-1.0988E+2	-1.1261E+2
1.1445E+2	-2.8350E-2	-1.7975E+2	1.4251E-3	-1.0038E+2	-1.0241E+2	-1.0442E+2	-1.0745E+2
1.2272E+2	-2.8286E-2	-1.7977E+2	9.0621E-4	-1.0426E+2	-1.0504E+2	-1.1743E+2	-1.0939E+2
1.3159E+2	-2.8250E-2	-1.7979E+2	1.1964E-3	-1.0545E+2	-1.0071E+2	-1.0888E+2	-1.0777E+2
1.4110E+2	-2.8202E-2	-1.7981E+2	8.3912E-4	-1.0733E+2	-1.0359E+2	-1.1357E+2	-1.1427E+2
1.5129E+2	-2.8090E-2	-1.7982E+2	1.0646E-3	-1.0672E+2	-1.0065E+2	-1.1471E+2	-1.1609E+2
1.6223E+2	-2.8063E-2	-1.7984E+2	1.7031E-3	-9.8174E+1	-9.9863E+1	-1.0603E+2	-1.1015E+2
1.7395E+2	-2.8030E-2	-1.7986E+2	1.2999E-3	-1.0001E+2	-1.0225E+2	-1.1729E+2	-1.1107E+2
1.8652E+2	-2.7943E-2	-1.7987E+2	1.2450E-3	-1.0075E+2	-1.0182E+2	-1.2459E+2	-1.1321E+2
2.0000E+2	-2.7939E-2	-1.7989E+2	1.0052E-3	-1.0222E+2	-1.1561E+2	-1.1224E+2	-1.0491E+2
2.1445E+2	-2.7900E-2	-1.7990E+2	1.4089E-3	-9.8043E+1	-1.0632E+2	-1.1895E+2	-1.0771E+2
2.2995E+2	-2.7896E-2	-1.7992E+2	1.5567E-3	-9.7338E+1	-1.0496E+2	-1.1462E+2	-1.0650E+2
2.4657E+2	-2.7773E-2	-1.7993E+2	9.5290E-4	-1.0536E+2	-1.0534E+2	-1.0527E+2	-1.1570E+2
2.6439E+2	-2.7818E-2	-1.7994E+2	1.5795E-3	-1.0353E+2	-9.8726E+1	-1.0388E+2	-1.0520E+2
2.8349E+2	-2.7781E-2	-1.7996E+2	1.0184E-3	-1.1647E+2	-1.0181E+2	-1.0877E+2	-1.0654E+2
3.0398E+2	-2.7779E-2	-1.7997E+2	1.0055E-3	-1.0723E+2	-1.0273E+2	-1.0772E+2	-1.0925E+2
3.2595E+2	-2.7769E-2	-1.7998E+2	1.7034E-3	-9.6768E+1	-1.0183E+2	-1.1386E+2	-1.1001E+2
3.4951E+2	-2.7688E-2	-1.8000E+2	4.6672E-4	-1.1124E+2	-1.1662E+2	-1.1897E+2	-1.0966E+2
3.7476E+2	-2.7727E-2	1.7999E+2	8.1318E-4	-1.0489E+2	-1.0635E+2	-1.1090E+2	-1.1621E+2
4.0185E+2	-2.7796E-2	1.7998E+2	1.0863E-3	-1.0990E+2	-9.9994E+1	-1.1170E+2	-1.2059E+2
4.3089E+2	-2.7825E-2	1.7997E+2	1.5711E-3	-1.0120E+2	-1.0033E+2	-1.0152E+2	-1.1106E+2
4.6203E+2	-2.7812E-2	1.7995E+2	7.8146E-4	-1.0542E+2	-1.0986E+2	-1.0778E+2	-1.1272E+2
4.9542E+2	-2.7797E-2	1.7994E+2	6.0064E-4	-1.0874E+2	-1.1109E+2	-1.1178E+2	-1.1081E+2
5.3122E+2	-2.7815E-2	1.7993E+2	1.4006E-3	-9.9535E+1	-1.0422E+2	-1.0448E+2	-1.0942E+2
5.6961E+2	-2.7773E-2	1.7991E+2	1.2533E-3	-1.0260E+2	-1.0398E+2	-1.0245E+2	-1.1275E+2
6.1077E+2	-2.7871E-2	1.7990E+2	1.0583E-3	-1.0525E+2	-1.0216E+2	-1.1016E+2	-1.0934E+2
6.5491E+2	-2.7894E-2	1.7988E+2	1.0378E-3	-1.0304E+2	-1.0341E+2	-1.0991E+2	-1.1651E+2
7.0224E+2	-2.7874E-2	1.7987E+2	1.4400E-3	-9.9868E+1	-1.0345E+2	-1.0508E+2	-1.0552E+2
7.5299E+2	-2.7982E-2	1.7985E+2	1.4185E-3	-1.0047E+2	-1.0036E+2	-1.0845E+2	-1.1292E+2
8.0740E+2	-2.7953E-2	1.7984E+2	1.1755E-3	-1.0573E+2	-1.0148E+2	-1.1693E+2	-1.0417E+2
8.6575E+2	-2.8030E-2	1.7982E+2	4.7482E-4	-1.1045E+2	-1.2723E+2	-1.0922E+2	-1.1864E+2
9.2832E+2	-2.8057E-2	1.7980E+2	1.1540E-3	-1.0163E+2	-1.1237E+2	-1.0953E+2	-1.0323E+2
9.9540E+2	-2.8128E-2	1.7978E+2	1.0470E-3	-1.1802E+2	-1.0308E+2	-1.0460E+2	-1.0616E+2
1.0673E+3	-2.8197E-2	1.7976E+2	1.2820E-3	-1.0118E+2	-1.0186E+2	-1.0715E+2	-1.1417E+2
1.1445E+3	-2.8276E-2	1.7974E+2	1.0392E-3	-1.0230E+2	-1.0850E+2	-1.0583E+2	-1.1050E+2
1.2272E+3	-2.8298E-2	1.7972E+2	1.1828E-3	-1.0164E+2	-1.0325E+2	-1.0924E+2	-1.0915E+2
1.3159E+3	-2.8390E-2	1.7969E+2	9.0575E-4	-1.0552E+2	-1.0286E+2	-1.1988E+2	-1.1894E+2
1.4110E+3	-2.8531E-2	1.7967E+2	6.7670E-4	-1.1703E+2	-1.1495E+2	-1.0565E+2	-1.0874E+2
