%	Date:	2010-12-16	Time:	15:20:35
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-3.9312E-2	-1.7843E+2	1.0084E-3	-1.0361E+2	-1.0277E+2	-1.2644E+2	-1.1295E+2
2.1445E+1	-3.8252E-2	-1.7853E+2	1.2192E-3	-9.9963E+1	-1.0597E+2	-1.0855E+2	-1.1069E+2
2.2995E+1	-3.7123E-2	-1.7863E+2	3.8706E-3	-8.8313E+1	-1.0857E+2	-1.3620E+2	-1.1022E+2
2.4657E+1	-3.6208E-2	-1.7872E+2	7.5275E-3	-8.2498E+1	-1.0577E+2	-1.1256E+2	-1.1073E+2
2.6439E+1	-3.5394E-2	-1.7881E+2	5.9556E-3	-8.4560E+1	-1.0378E+2	-1.2269E+2	-1.1298E+2
2.8349E+1	-3.4616E-2	-1.7889E+2	3.0770E-3	-9.0379E+1	-1.0680E+2	-1.1457E+2	-1.1227E+2
3.0398E+1	-3.3956E-2	-1.7896E+2	8.3212E-4	-1.0790E+2	-1.0982E+2	-1.1254E+2	-1.0432E+2
3.2595E+1	-3.3314E-2	-1.7903E+2	9.9590E-4	-1.0994E+2	-1.0110E+2	-1.1575E+2	-1.1056E+2
3.4951E+1	-3.2773E-2	-1.7910E+2	1.1798E-3	-1.0326E+2	-1.0092E+2	-1.1909E+2	-1.1009E+2
3.7476E+1	-3.2252E-2	-1.7916E+2	1.0855E-3	-1.0372E+2	-1.0508E+2	-1.0419E+2	-1.1203E+2
4.0185E+1	-3.2006E-2	-1.7921E+2	9.3135E-4	-1.0728E+2	-1.0531E+2	-1.0730E+2	-1.0700E+2
4.3089E+1	-3.1826E-2	-1.7927E+2	8.6496E-4	-1.0282E+2	-1.0758E+2	-1.1294E+2	-1.2932E+2
4.6203E+1	-3.1612E-2	-1.7932E+2	9.2661E-4	-1.0925E+2	-1.0350E+2	-1.0739E+2	-1.0956E+2
