%	Date:	2010-12-16	Time:	15:19:40
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-3.9387E-2	-1.7844E+2	1.4976E-3	-9.7583E+1	-1.0492E+2	-1.1051E+2	-1.1062E+2
2.1445E+1	-3.8243E-2	-1.7854E+2	1.2927E-3	-9.9098E+1	-1.0438E+2	-1.1509E+2	-1.1351E+2
2.2995E+1	-3.7208E-2	-1.7864E+2	4.1826E-3	-8.7684E+1	-1.0454E+2	-1.1334E+2	-1.1279E+2
2.4657E+1	-3.6264E-2	-1.7873E+2	3.9713E-3	-8.8138E+1	-1.0511E+2	-1.1501E+2	-1.1106E+2
2.6439E+1	-3.5402E-2	-1.7882E+2	4.4627E-3	-8.7115E+1	-1.0415E+2	-1.1156E+2	-1.1540E+2
2.8349E+1	-3.4627E-2	-1.7890E+2	1.4959E-3	-9.8070E+1	-1.0341E+2	-1.1592E+2	-1.0706E+2
3.0398E+1	-3.3933E-2	-1.7897E+2	2.1167E-3	-9.4007E+1	-1.0546E+2	-1.2102E+2	-1.0671E+2
3.2595E+1	-3.3340E-2	-1.7904E+2	1.9129E-3	-9.4891E+1	-1.0677E+2	-1.1007E+2	-1.0969E+2
3.4951E+1	-3.2760E-2	-1.7911E+2	2.1804E-3	-9.3595E+1	-1.0439E+2	-1.2093E+2	-1.1924E+2
3.7476E+1	-3.2330E-2	-1.7917E+2	2.0385E-3	-9.4401E+1	-1.0466E+2	-1.1025E+2	-1.1050E+2
4.0185E+1	-3.1901E-2	-1.7923E+2	2.3643E-3	-9.2961E+1	-1.0466E+2	-1.0819E+2	-1.1413E+2
4.3089E+1	-3.1371E-2	-1.7928E+2	2.3447E-3	-9.3192E+1	-1.0184E+2	-1.2773E+2	-1.1336E+2
4.6203E+1	-3.1153E-2	-1.7933E+2	2.6006E-3	-9.2070E+1	-1.0368E+2	-1.2297E+2	-1.0919E+2
4.9542E+1	-3.1137E-2	-1.7938E+2	2.4128E-3	-9.2838E+1	-1.0246E+2	-1.1518E+2	-1.1689E+2
5.3122E+1	-3.0132E-2	-1.7943E+2	3.0320E-3	-9.0841E+1	-1.0077E+2	-1.2290E+2	-1.0957E+2
5.6961E+1	-2.9813E-2	-1.7947E+2	3.0293E-3	-9.0591E+1	-1.0692E+2	-1.2011E+2	-1.0626E+2
6.1077E+1	-2.9922E-2	-1.7951E+2	3.5676E-3	-8.9118E+1	-1.0365E+2	-1.1366E+2	-1.2860E+2
6.5491E+1	-2.9675E-2	-1.7955E+2	3.7262E-3	-8.8886E+1	-1.0254E+2	-1.0844E+2	-1.0586E+2
7.0224E+1	-2.9452E-2	-1.7958E+2	3.6959E-3	-8.9146E+1	-9.8996E+1	-1.1251E+2	-1.0771E+2
7.5299E+1	-2.9358E-2	-1.7962E+2	3.7500E-3	-8.8661E+1	-1.0413E+2	-1.1449E+2	-1.1530E+2
8.0740E+1	-2.9162E-2	-1.7965E+2	3.8498E-3	-8.8595E+1	-1.0102E+2	-1.1580E+2	-1.0733E+2
8.6575E+1	-2.9023E-2	-1.7968E+2	5.0522E-3	-8.6078E+1	-1.0473E+2	-1.0454E+2	-1.0789E+2
9.2832E+1	-2.8885E-2	-1.7971E+2	5.2765E-3	-8.5800E+1	-1.0005E+2	-1.0631E+2	-1.0497E+2
9.9540E+1	-2.8786E-2	-1.7974E+2	4.8245E-3	-8.6464E+1	-1.0239E+2	-1.1085E+2	-1.1373E+2
1.0673E+2	-2.8698E-2	-1.7976E+2	5.9510E-3	-8.4703E+1	-9.9614E+1	-1.0549E+2	-1.0743E+2
1.1445E+2	-2.8605E-2	-1.7979E+2	5.6228E-3	-8.5226E+1	-1.0388E+2	-9.9390E+1	-1.1450E+2
1.2272E+2	-2.8516E-2	-1.7981E+2	5.7561E-3	-8.4969E+1	-9.9431E+1	-1.2198E+2	-1.0872E+2
1.3159E+2	-2.8421E-2	-1.7983E+2	6.9338E-3	-8.3311E+1	-1.0258E+2	-1.0861E+2	-1.0133E+2
1.4110E+2	-2.8407E-2	-1.7986E+2	7.6960E-3	-8.2585E+1	-9.4257E+1	-1.0951E+2	-1.0655E+2
1.5129E+2	-2.8359E-2	-1.7988E+2	7.6817E-3	-8.2514E+1	-9.6575E+1	-1.0432E+2	-1.0412E+2
1.6223E+2	-2.8315E-2	-1.7990E+2	8.8259E-3	-8.1222E+1	-9.7038E+1	-1.0663E+2	-1.0660E+2
1.7395E+2	-2.8209E-2	-1.7992E+2	7.4310E-3	-8.2696E+1	-9.9501E+1	-1.0539E+2	-1.1229E+2
1.8652E+2	-2.8176E-2	-1.7994E+2	9.2107E-3	-8.0962E+1	-9.4074E+1	-1.0136E+2	-1.1151E+2
2.0000E+2	-2.8131E-2	-1.7996E+2	9.9787E-3	-8.0104E+1	-9.9002E+1	-1.0606E+2	-1.0373E+2
2.1445E+2	-2.8121E-2	-1.7998E+2	1.0260E-2	-7.9952E+1	-9.4282E+1	-1.1564E+2	-1.0410E+2
2.2995E+2	-2.8062E-2	-1.8000E+2	1.3073E-2	-7.7752E+1	-9.5690E+1	-1.1287E+2	-1.0462E+2
2.4657E+2	-2.8075E-2	1.7998E+2	1.3301E-2	-7.7658E+1	-9.3195E+1	-1.0352E+2	-1.0649E+2
2.6439E+2	-2.8095E-2	1.7996E+2	1.3619E-2	-7.7416E+1	-9.4229E+1	-1.0995E+2	-1.0559E+2
2.8349E+2	-2.8003E-2	1.7994E+2	1.4452E-2	-7.6936E+1	-9.2810E+1	-1.0217E+2	-1.0262E+2
3.0398E+2	-2.8003E-2	1.7992E+2	1.5378E-2	-7.6410E+1	-9.1278E+1	-1.0432E+2	-1.0969E+2
3.2595E+2	-2.8033E-2	1.7990E+2	1.6799E-2	-7.5619E+1	-9.1584E+1	-1.0087E+2	-1.0617E+2
3.4951E+2	-2.8029E-2	1.7988E+2	1.8032E-2	-7.4962E+1	-9.2871E+1	-1.1253E+2	-1.0049E+2
3.7476E+2	-2.8040E-2	1.7986E+2	1.8887E-2	-7.4583E+1	-9.1094E+1	-1.0167E+2	-1.0811E+2
4.0185E+2	-2.8072E-2	1.7983E+2	2.0593E-2	-7.3839E+1	-9.0160E+1	-1.0059E+2	-1.0405E+2
4.3089E+2	-2.8046E-2	1.7981E+2	2.2500E-2	-7.3068E+1	-8.9031E+1	-1.0507E+2	-1.1169E+2
4.6203E+2	-2.8013E-2	1.7979E+2	2.3529E-2	-7.2670E+1	-8.9391E+1	-9.8746E+1	-1.1436E+2
4.9542E+2	-2.8108E-2	1.7976E+2	2.5063E-2	-7.2123E+1	-8.8360E+1	-1.0834E+2	-1.0957E+2
5.3122E+2	-2.8135E-2	1.7974E+2	2.6688E-2	-7.1566E+1	-8.8646E+1	-1.0071E+2	-1.0403E+2
5.6961E+2	-2.8182E-2	1.7971E+2	2.8917E-2	-7.0864E+1	-8.8591E+1	-9.5586E+1	-1.1380E+2
6.1077E+2	-2.8211E-2	1.7968E+2	3.1350E-2	-7.0164E+1	-8.7168E+1	-1.0157E+2	-1.1873E+2
6.5491E+2	-2.8202E-2	1.7965E+2	3.3307E-2	-6.9658E+1	-8.5971E+1	-9.7017E+1	-1.0873E+2
7.0224E+2	-2.8231E-2	1.7962E+2	3.5664E-2	-6.9053E+1	-8.5891E+1	-9.5986E+1	-1.1501E+2
