%	Date:	2010-12-17	Time:	18:43:52
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	7.5141E-4	4.5966E-2	1.3685E-3	-1.0481E+2	-1.0650E+2	-1.1817E+2	-9.8850E+1
1.0822E+1	1.0202E-3	4.3162E-2	9.7583E-4	-1.0259E+2	-1.0563E+2	-1.1458E+2	-1.1031E+2
1.1712E+1	1.2921E-3	4.0255E-2	8.9621E-4	-1.0558E+2	-1.0600E+2	-1.1014E+2	-1.0747E+2
1.2676E+1	1.5621E-3	3.7616E-2	1.1751E-3	-1.0537E+2	-1.0470E+2	-1.0170E+2	-1.1122E+2
1.3718E+1	1.7423E-3	3.5053E-2	8.7090E-4	-1.0524E+2	-1.0424E+2	-1.3629E+2	-1.1084E+2
1.4846E+1	1.9124E-3	3.2656E-2	8.6807E-4	-1.0573E+2	-1.0596E+2	-1.0782E+2	-1.1170E+2
1.6067E+1	2.0602E-3	3.0372E-2	1.3329E-3	-1.0562E+2	-9.8343E+1	-1.1549E+2	-1.1996E+2
1.7388E+1	2.1796E-3	2.8026E-2	7.0420E-4	-1.0550E+2	-1.0794E+2	-1.2099E+2	-1.1345E+2
1.8818E+1	2.3100E-3	2.6036E-2	6.2060E-4	-1.0700E+2	-1.1038E+2	-1.1562E+2	-1.1176E+2
2.0366E+1	2.4065E-3	2.4212E-2	8.7430E-4	-1.0704E+2	-1.0353E+2	-1.1380E+2	-1.1087E+2
2.2041E+1	2.5230E-3	2.2281E-2	9.3469E-4	-1.0324E+2	-1.0448E+2	-1.2247E+2	-1.1432E+2
2.3853E+1	2.5961E-3	2.0548E-2	1.2541E-3	-9.9223E+1	-1.0714E+2	-1.1652E+2	-1.0792E+2
2.5815E+1	2.6453E-3	1.9062E-2	1.6231E-3	-9.6336E+1	-1.0647E+2	-1.1664E+2	-1.1204E+2
2.7938E+1	2.7091E-3	1.7589E-2	1.0035E-3	-1.0149E+2	-1.0740E+2	-1.1741E+2	-1.1012E+2
3.0235E+1	2.7343E-3	1.6102E-2	8.2311E-4	-1.0742E+2	-1.0440E+2	-1.0983E+2	-1.1531E+2
3.2722E+1	2.7918E-3	1.4922E-2	9.1123E-4	-1.0272E+2	-1.0554E+2	-1.1933E+2	-1.2277E+2
