%	Date:	2010-12-17	Time:	18:46:36
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-4.9926E+1	-5.0742E-2	1.1105E+0	-4.2962E+1	-6.3632E+1	-6.0670E+1	-4.1459E+1
1.0822E+1	-4.9921E+1	-1.3446E-2	7.4119E-1	-4.2700E+1	-6.0586E+1	-6.5361E+1	-7.1872E+1
1.1712E+1	-4.9918E+1	-5.1907E-2	7.4192E-1	-4.3042E+1	-6.3054E+1	-5.3093E+1	-8.1067E+1
1.2676E+1	-4.9925E+1	-1.5690E-2	9.0539E-1	-4.3111E+1	-6.1901E+1	-4.4886E+1	-8.3608E+1
1.3718E+1	-4.9893E+1	-1.3914E-1	5.7608E-1	-4.5086E+1	-5.8314E+1	-6.2759E+1	-6.7498E+1
1.4846E+1	-4.9916E+1	-1.2616E-2	7.0397E-1	-4.3093E+1	-6.4292E+1	-6.9326E+1	-7.8422E+1
1.6067E+1	-4.9919E+1	-7.4868E-3	8.0041E-1	-4.3051E+1	-4.8451E+1	-6.7041E+1	-7.3357E+1
1.7388E+1	-4.9918E+1	2.8574E-3	7.5479E-1	-4.3110E+1	-5.1046E+1	-6.6461E+1	-7.8148E+1
1.8818E+1	-4.9918E+1	5.8410E-3	8.7129E-1	-4.3069E+1	-6.8395E+1	-6.6978E+1	-4.5809E+1
2.0366E+1	-4.9918E+1	4.0129E-3	3.4142E+0	-4.3262E+1	-6.1138E+1	-6.3370E+1	-2.9518E+1
2.2041E+1	-4.9918E+1	-1.5708E-3	6.7478E-1	-4.3619E+1	-6.1435E+1	-6.1813E+1	-6.1572E+1
2.3853E+1	-4.9918E+1	6.9577E-3	2.1728E+0	-4.1621E+1	-6.2373E+1	-3.3951E+1	-7.0378E+1
2.5815E+1	-4.9917E+1	4.3160E-3	2.8831E+0	-4.9936E+1	-6.0699E+1	-3.0861E+1	-6.9245E+1
2.7938E+1	-4.9916E+1	7.1858E-3	6.8765E-1	-4.3491E+1	-6.2362E+1	-7.9314E+1	-5.7140E+1
3.0235E+1	-4.9916E+1	2.0796E-2	3.7890E+0	-4.3174E+1	-4.4370E+1	-6.6357E+1	-2.8694E+1
3.2722E+1	-4.9917E+1	2.1466E-2	3.5524E+0	-4.3017E+1	-2.9165E+1	-7.1812E+1	-6.8765E+1
3.5413E+1	-4.9915E+1	1.5518E-2	2.7453E+0	-4.3075E+1	-3.2856E+1	-3.7300E+1	-7.1917E+1
3.8325E+1	-4.9909E+1	3.8067E-2	3.4178E+0	-4.3096E+1	-6.4327E+1	-2.9514E+1	-6.5483E+1
4.1477E+1	-4.9933E+1	1.9134E-2	6.6618E-1	-4.3735E+1	-6.5577E+1	-5.9213E+1	-6.2288E+1
4.4888E+1	-4.9891E+1	-9.2949E-2	2.1608E+0	-3.3427E+1	-4.9128E+1	-6.4225E+1	-7.0446E+1
4.8579E+1	-4.9949E+1	1.0508E-1	5.5731E+0	-2.7503E+1	-2.9776E+1	-5.9479E+1	-3.5610E+1
5.2575E+1	-4.9889E+1	1.6713E-1	3.8274E+0	-3.1209E+1	-3.1979E+1	-6.3899E+1	-4.1336E+1
5.6898E+1	-4.9886E+1	3.5142E-2	1.6735E+0	-3.5678E+1	-5.5384E+1	-5.7446E+1	-5.3120E+1
6.1577E+1	-4.9910E+1	1.1579E-1	2.7942E+0	-4.3687E+1	-6.3348E+1	-3.1594E+1	-4.3495E+1
6.6641E+1	-4.9907E+1	-1.0566E-1	1.3201E+0	-3.9471E+1	-5.5749E+1	-4.2839E+1	-5.1787E+1
7.2122E+1	-4.9914E+1	2.6408E-2	4.0288E+0	-2.8080E+1	-5.7033E+1	-4.4464E+1	-4.5344E+1
7.8053E+1	-4.9933E+1	-4.4171E-1	3.3494E+0	-2.9842E+1	-4.3688E+1	-4.4893E+1	-5.0194E+1
8.4472E+1	-5.0011E+1	9.9187E-1	2.8609E+0	-3.3868E+1	-3.4141E+1	-4.6526E+1	-6.3055E+1
9.1418E+1	-5.0173E+1	-6.7623E-1	1.9281E+0	-4.2940E+1	-4.5452E+1	-4.7417E+1	-3.5617E+1
9.8936E+1	-4.9671E+1	-1.3140E+0	1.0442E+0	-4.5403E+1	-4.1676E+1	-5.0082E+1	-5.6144E+1
1.0707E+2	-5.0145E+1	1.3038E+0	2.7825E+0	-3.9865E+1	-4.6072E+1	-4.1549E+1	-3.2393E+1
1.1588E+2	-4.9810E+1	1.0354E+0	2.3660E+0	-3.6137E+1	-4.3034E+1	-3.7963E+1	-3.9713E+1
1.2541E+2	-4.9745E+1	3.5926E-2	2.6093E+0	-3.3770E+1	-4.7653E+1	-5.2921E+1	-3.6220E+1
1.3572E+2	-4.9970E+1	1.9890E+0	4.5867E+0	-3.4300E+1	-4.6098E+1	-3.0313E+1	-3.1095E+1
1.4688E+2	-4.9839E+1	-2.2003E+0	5.1788E+0	-3.5123E+1	-3.5648E+1	-2.9771E+1	-2.9797E+1
1.5896E+2	-4.9662E+1	1.1161E+0	2.2825E+0	-3.9356E+1	-3.8853E+1	-3.7568E+1	-4.0015E+1
