%	Date:	2010-12-17	Time:	18:45:44
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-2.4915E+1	4.0403E-2	2.7639E-3	-9.2297E+1	-1.0279E+2	-1.0397E+2	-1.0086E+2
1.0822E+1	-2.4915E+1	3.9734E-2	9.8541E-4	-1.0263E+2	-1.0446E+2	-1.1588E+2	-1.1376E+2
1.1712E+1	-2.4915E+1	4.6037E-2	8.4861E-3	-8.3091E+1	-8.8298E+1	-9.1664E+1	-9.8781E+1
1.2676E+1	-2.4914E+1	3.4130E-2	1.2818E-3	-1.0214E+2	-1.0541E+2	-1.0140E+2	-1.1688E+2
1.3718E+1	-2.4914E+1	3.2533E-2	1.2694E-3	-1.0323E+2	-1.0165E+2	-1.0395E+2	-1.1314E+2
1.4846E+1	-2.4914E+1	2.7415E-2	1.4545E-3	-9.7259E+1	-1.1324E+2	-1.0796E+2	-1.1543E+2
1.6067E+1	-2.4914E+1	2.6861E-2	7.2590E-4	-1.0453E+2	-1.1104E+2	-1.1615E+2	-1.1145E+2
1.7388E+1	-2.4914E+1	2.4481E-2	1.1517E-3	-1.0278E+2	-1.0165E+2	-1.2037E+2	-1.0973E+2
1.8818E+1	-2.4914E+1	2.2376E-2	7.0115E-4	-1.0587E+2	-1.0874E+2	-1.1448E+2	-1.1197E+2
2.0366E+1	-2.4914E+1	2.0479E-2	1.1395E-3	-1.0798E+2	-1.0309E+2	-1.0972E+2	-1.0266E+2
2.2041E+1	-2.4913E+1	1.8392E-2	9.7463E-4	-1.0297E+2	-1.0564E+2	-1.2763E+2	-1.0768E+2
2.3853E+1	-2.4913E+1	1.6406E-2	7.8284E-4	-1.1443E+2	-1.0610E+2	-1.0929E+2	-1.0671E+2
2.5815E+1	-2.4913E+1	1.4780E-2	1.4130E-3	-9.8225E+1	-1.0514E+2	-1.0935E+2	-1.1157E+2
2.7938E+1	-2.4913E+1	1.2903E-2	8.8740E-4	-1.0869E+2	-1.0440E+2	-1.0583E+2	-1.1552E+2
3.0235E+1	-2.4913E+1	1.1411E-2	1.9991E-3	-1.0804E+2	-1.0917E+2	-1.0869E+2	-9.4457E+1
3.2722E+1	-2.4913E+1	9.8553E-3	1.1160E-3	-1.0372E+2	-1.0118E+2	-1.3849E+2	-1.1239E+2
3.5413E+1	-2.4913E+1	8.0888E-3	9.7528E-4	-1.0356E+2	-1.0934E+2	-1.0466E+2	-1.1281E+2
3.8325E+1	-2.4913E+1	6.6414E-3	1.7318E-3	-1.1024E+2	-1.0347E+2	-9.6384E+1	-1.0809E+2
4.1477E+1	-2.4913E+1	5.5035E-3	9.9572E-4	-1.0905E+2	-1.0235E+2	-1.1162E+2	-1.0664E+2
4.4888E+1	-2.4913E+1	3.6725E-3	8.9983E-4	-1.0346E+2	-1.0532E+2	-1.1314E+2	-1.1779E+2
4.8579E+1	-2.4913E+1	2.8385E-3	2.1919E-3	-9.7675E+1	-9.5375E+1	-1.0799E+2	-1.1428E+2
5.2575E+1	-2.4913E+1	5.2561E-4	1.5204E-3	-1.0263E+2	-9.8094E+1	-1.0968E+2	-1.0969E+2
5.6898E+1	-2.4913E+1	-3.7979E-4	1.4525E-3	-9.8988E+1	-1.0143E+2	-1.0936E+2	-1.1900E+2
6.1577E+1	-2.4913E+1	-1.4221E-3	1.3409E-3	-1.0325E+2	-1.0094E+2	-1.0331E+2	-1.1283E+2
6.6641E+1	-2.4913E+1	-2.9578E-3	1.4353E-3	-9.8030E+1	-1.0339E+2	-1.1821E+2	-1.1896E+2
7.2122E+1	-2.4913E+1	-4.4996E-3	1.2576E-3	-9.8729E+1	-1.0947E+2	-1.1112E+2	-1.1289E+2
7.8053E+1	-2.4913E+1	-5.9618E-3	2.0127E-3	-9.4242E+1	-1.0730E+2	-1.1357E+2	-1.1255E+2
8.4472E+1	-2.4913E+1	-7.1900E-3	1.0919E-3	-1.0671E+2	-1.0182E+2	-1.0725E+2	-1.0877E+2
9.1418E+1	-2.4913E+1	-8.6521E-3	1.3686E-3	-9.9735E+1	-1.0611E+2	-1.0850E+2	-1.0373E+2
9.8936E+1	-2.4913E+1	-1.0972E-2	1.3036E-3	-1.0520E+2	-9.9085E+1	-1.0921E+2	-1.1367E+2
1.0707E+2	-2.4913E+1	-1.1563E-2	1.1735E-3	-1.0193E+2	-1.0496E+2	-1.1774E+2	-1.0398E+2
1.1588E+2	-2.4913E+1	-1.3849E-2	7.8346E-4	-1.0493E+2	-1.2515E+2	-1.0641E+2	-1.1215E+2
1.2541E+2	-2.4913E+1	-1.5294E-2	1.2519E-3	-9.9803E+1	-1.0372E+2	-1.2685E+2	-1.1025E+2
1.3572E+2	-2.4913E+1	-1.7590E-2	1.2331E-3	-1.0042E+2	-1.0338E+2	-1.0891E+2	-1.1582E+2
1.4688E+2	-2.4913E+1	-1.9056E-2	1.5070E-3	-1.0019E+2	-1.0165E+2	-1.0848E+2	-1.0311E+2
1.5896E+2	-2.4913E+1	-2.0870E-2	1.8732E-3	-9.6522E+1	-1.0394E+2	-1.1355E+2	-1.0079E+2
1.7203E+2	-2.4913E+1	-2.4029E-2	1.6926E-3	-1.1408E+2	-9.8210E+1	-9.9724E+1	-1.0601E+2
1.8618E+2	-2.4913E+1	-2.5474E-2	1.8507E-3	-1.0089E+2	-9.6283E+1	-1.0830E+2	-1.0960E+2
