%	Date:	2010-12-16	Time:	15:03:34
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.3885E+1	4.5807E+1	3.1087E-2	-8.4227E+1	-7.0880E+1	-8.0676E+1	-8.5762E+1
1.0966E+1	1.4388E+1	4.4231E+1	2.8501E-2	-8.3216E+1	-7.1986E+1	-7.9103E+1	-9.0617E+1
1.2025E+1	1.4862E+1	4.2526E+1	2.8242E-2	-8.0776E+1	-7.2633E+1	-7.7842E+1	-9.3746E+1
1.3186E+1	1.5306E+1	4.0713E+1	2.9543E-2	-7.7960E+1	-7.2838E+1	-7.7200E+1	-9.6763E+1
1.4459E+1	1.5718E+1	3.8814E+1	3.2025E-2	-7.6010E+1	-7.2378E+1	-7.7063E+1	-1.1915E+2
1.5856E+1	1.6098E+1	3.6855E+1	3.5688E-2	-7.4644E+1	-7.1192E+1	-7.7889E+1	-9.1088E+1
1.7387E+1	1.6445E+1	3.4858E+1	3.9381E-2	-7.4683E+1	-6.9658E+1	-8.0538E+1	-8.3946E+1
1.9066E+1	1.6759E+1	3.2848E+1	4.4944E-2	-7.5946E+1	-6.7842E+1	-8.8912E+1	-7.9622E+1
2.0908E+1	1.7041E+1	3.0846E+1	5.3037E-2	-7.9142E+1	-6.6100E+1	-8.9977E+1	-7.6449E+1
2.2927E+1	1.7292E+1	2.8873E+1	6.3613E-2	-8.4252E+1	-6.4536E+1	-7.9619E+1	-7.4193E+1
2.5141E+1	1.7515E+1	2.6948E+1	7.6201E-2	-8.1976E+1	-6.3137E+1	-7.4904E+1	-7.2488E+1
2.7569E+1	1.7710E+1	2.5084E+1	8.9813E-2	-7.6457E+1	-6.1918E+1	-7.2021E+1	-7.1061E+1
3.0231E+1	1.7881E+1	2.3294E+1	1.0526E-1	-7.3049E+1	-6.0689E+1	-7.0319E+1	-6.9499E+1
3.3151E+1	1.8029E+1	2.1585E+1	1.2583E-1	-7.2630E+1	-5.9081E+1	-7.0546E+1	-6.6886E+1
3.6353E+1	1.8156E+1	1.9965E+1	1.5191E-1	-7.4241E+1	-5.7370E+1	-7.2316E+1	-6.4212E+1
3.9863E+1	1.8266E+1	1.8438E+1	1.7738E-1	-7.4970E+1	-5.6031E+1	-7.3334E+1	-6.2409E+1
4.3713E+1	1.8360E+1	1.7006E+1	2.0109E-1	-7.5005E+1	-5.4955E+1	-7.3642E+1	-6.1114E+1
4.7935E+1	1.8441E+1	1.5669E+1	2.2224E-1	-7.4882E+1	-5.4095E+1	-7.3749E+1	-6.0133E+1
5.2564E+1	1.8509E+1	1.4425E+1	2.4174E-1	-7.4638E+1	-5.3369E+1	-7.3667E+1	-5.9344E+1
5.7640E+1	1.8568E+1	1.3272E+1	2.6059E-1	-7.4544E+1	-5.2727E+1	-7.3650E+1	-5.8615E+1
6.3207E+1	1.8618E+1	1.2205E+1	2.7947E-1	-7.4985E+1	-5.2130E+1	-7.3945E+1	-5.7921E+1
6.9311E+1	1.8661E+1	1.1223E+1	2.9482E-1	-7.4915E+1	-5.1673E+1	-7.3384E+1	-5.7422E+1
7.6005E+1	1.8697E+1	1.0319E+1	3.0811E-1	-7.4345E+1	-5.1303E+1	-7.2543E+1	-5.7003E+1
8.3345E+1	1.8728E+1	9.4874E+0	3.2317E-1	-7.5824E+1	-5.0895E+1	-7.3868E+1	-5.6497E+1
9.1394E+1	1.8755E+1	8.7238E+0	3.3940E-1	-7.6859E+1	-5.0485E+1	-7.4756E+1	-5.5983E+1
1.0022E+2	1.8778E+1	8.0246E+0	3.5416E-1	-7.7279E+1	-5.0129E+1	-7.4934E+1	-5.5553E+1
1.0990E+2	1.8799E+1	7.3852E+0	3.6505E-1	-7.6378E+1	-4.9876E+1	-7.4261E+1	-5.5264E+1
1.2051E+2	1.8817E+1	6.8010E+0	3.7265E-1	-7.5285E+1	-4.9699E+1	-7.3235E+1	-5.5098E+1
1.3215E+2	1.8833E+1	6.2671E+0	3.7892E-1	-7.3730E+1	-4.9554E+1	-7.2081E+1	-5.4988E+1
1.4491E+2	1.8848E+1	5.7795E+0	3.8363E-1	-7.2602E+1	-4.9443E+1	-7.1098E+1	-5.4925E+1
1.5891E+2	1.8862E+1	5.3337E+0	3.8728E-1	-7.1386E+1	-4.9361E+1	-7.0015E+1	-5.4892E+1
1.7426E+2	1.8874E+1	4.9263E+0	3.9073E-1	-7.0186E+1	-4.9285E+1	-6.9029E+1	-5.4872E+1
1.9108E+2	1.8886E+1	4.5533E+0	3.9342E-1	-6.9038E+1	-4.9228E+1	-6.8162E+1	-5.4873E+1
2.0954E+2	1.8897E+1	4.2114E+0	3.9559E-1	-6.8143E+1	-4.9183E+1	-6.7373E+1	-5.4890E+1
2.2977E+2	1.8908E+1	3.8975E+0	3.9785E-1	-6.7201E+1	-4.9138E+1	-6.6687E+1	-5.4909E+1
2.5196E+2	1.8918E+1	3.6085E+0	3.9922E-1	-6.6381E+1	-4.9118E+1	-6.5974E+1	-5.4944E+1
2.7630E+2	1.8927E+1	3.3419E+0	4.0053E-1	-6.5617E+1	-4.9098E+1	-6.5369E+1	-5.4990E+1
3.0298E+2	1.8937E+1	3.0952E+0	4.0184E-1	-6.4816E+1	-4.9083E+1	-6.4808E+1	-5.5036E+1
3.3224E+2	1.8945E+1	2.8666E+0	4.0316E-1	-6.4269E+1	-4.9066E+1	-6.4298E+1	-5.5076E+1
3.6433E+2	1.8954E+1	2.6542E+0	4.0423E-1	-6.3615E+1	-4.9062E+1	-6.3812E+1	-5.5117E+1
3.9951E+2	1.8962E+1	2.4565E+0	4.0498E-1	-6.3083E+1	-4.9061E+1	-6.3348E+1	-5.5182E+1
