%	Date:	2010-12-20	Time:	17:15:12
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.0031600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-4.8626E+1	-1.1117E+2	8.9197E+2	-6.1710E+0	-1.6268E+1	-8.6413E+0	1.8985E+1
1.0966E+1	-4.8660E+1	-6.6101E+1	8.2313E+1	-8.1427E+0	-5.4396E+0	-1.6543E+1	-6.6511E+0
1.2025E+1	-4.7144E+1	-1.0203E+2	4.9518E+2	-6.5999E+0	-6.9062E+0	1.3780E+1	-6.5640E+0
1.3186E+1	-4.5964E+1	-1.0017E+2	3.1867E+2	-1.9506E+1	-1.0293E+1	9.9927E+0	-1.1714E+1
1.4459E+1	-4.8890E+1	-1.2403E+2	1.1991E+2	5.0084E-1	-6.9086E+0	-9.7374E+0	-2.2587E+1
1.5856E+1	-4.4556E+1	-9.1620E+1	4.0436E+2	-2.4677E+1	1.2092E+1	-1.6711E+1	-8.5643E+0
1.7387E+1	-4.3868E+1	-9.7845E+1	4.1702E+2	-1.6440E+1	1.2348E+1	-1.8657E+1	-7.3352E+0
1.9066E+1	-4.3326E+1	-1.0692E+2	9.5146E+1	-2.7643E+1	-7.5704E+0	-5.9818E+0	-3.2208E+0
2.0908E+1	-4.3302E+1	-1.0863E+2	8.0140E+1	-9.4471E+0	-8.5212E+0	-1.9968E+1	-4.2247E+0
2.2927E+1	-4.1388E+1	-1.0804E+2	2.2739E+2	7.0195E+0	-1.5476E+1	-1.1551E+1	-1.4210E+1
2.5141E+1	-4.1422E+1	-1.1050E+2	3.8720E+2	1.1239E+1	-1.2282E+1	1.9978E+0	-1.3294E+1
2.7569E+1	-4.3283E+1	-1.1933E+2	2.8189E+2	8.7517E+0	-6.4148E+0	-1.4806E+1	-7.3787E+0
3.0231E+1	-3.9271E+1	-1.1270E+2	1.2041E+2	-6.9762E+0	-1.0145E+1	-1.0457E+1	2.6380E-1
3.3151E+1	-3.9753E+1	-1.2353E+2	7.9329E+1	-1.2333E+1	-2.9796E+0	-2.2234E+1	-1.2122E+1
3.6353E+1	-4.0357E+1	-1.1689E+2	1.0038E+2	-1.2358E+1	-1.4543E+1	-3.9218E-1	-3.1353E+1
3.9863E+1	-3.3637E+1	-1.3353E+2	4.3328E+1	-2.1962E+1	-2.5178E+1	-9.5256E+0	-1.1753E+1
4.3713E+1	-3.4860E+1	1.5159E+2	2.8722E+1	-1.2121E+1	-2.5019E+1	-1.8413E+1	-2.4460E+1
4.7935E+1	-3.1902E+1	1.5006E+1	6.2383E+1	-7.5402E+0	-7.2767E+0	-2.0107E+1	-1.7957E+1
5.2564E+1	-2.8462E+1	-8.6541E+1	3.5189E+1	-1.3355E+1	-1.1486E+1	-2.3908E+1	-2.5948E+1
5.7640E+1	-2.9981E+1	-1.3074E+2	1.5282E+1	-1.8662E+1	-2.2468E+1	-2.8024E+1	-2.6015E+1
6.3207E+1	-3.2001E+1	-1.3336E+2	4.8955E+1	-1.3460E+1	-1.1788E+1	-9.7165E+0	-1.6658E+1
6.9311E+1	-3.6315E+1	-1.3586E+2	5.6621E+1	-1.2309E+1	-1.3077E+1	-2.3958E+1	-6.8074E+0
7.6005E+1	-3.8073E+1	-1.2146E+2	7.7699E+1	-2.9347E+0	-2.0641E+1	-2.0539E+1	-1.1108E+1
8.3345E+1	-3.9161E+1	-8.8407E+1	1.4476E+2	-4.0859E+0	1.0946E+0	-3.9782E+0	-1.7326E+1
9.1394E+1	-4.0493E+1	-1.1534E+2	1.3014E+2	-1.1757E+1	-6.9166E+0	-8.0836E+0	1.0312E+0
1.0022E+2	-3.3303E+1	-1.3238E+2	4.8723E+1	-1.3708E+1	-9.5940E+0	-1.2865E+1	-1.4773E+1
