%	Date:	2010-12-20	Time:	17:12:10
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.031600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-4.9008E+1	-1.0078E+2	6.6382E+0	-3.0373E+1	-3.3537E+1	-3.5215E+1	-2.5614E+1
1.0966E+1	-4.8357E+1	-1.0596E+2	4.9891E+0	-2.8274E+1	-3.4874E+1	-3.8040E+1	-3.2852E+1
1.2025E+1	-4.7749E+1	-1.0891E+2	6.5866E+0	-3.0842E+1	-3.7573E+1	-2.5530E+1	-3.2670E+1
1.3186E+1	-4.7227E+1	-1.1348E+2	3.3232E+0	-3.5439E+1	-3.4128E+1	-4.0352E+1	-3.4689E+1
1.4459E+1	-4.6868E+1	-1.1790E+2	3.9175E+0	-3.3056E+1	-3.2915E+1	-3.5125E+1	-3.6547E+1
1.5856E+1	-4.6364E+1	-1.2082E+2	7.3255E+0	-2.7929E+1	-2.4849E+1	-3.5284E+1	-3.7339E+1
1.7387E+1	-4.6089E+1	-1.2526E+2	7.2343E+0	-3.4002E+1	-2.4152E+1	-3.2076E+1	-3.4305E+1
1.9066E+1	-4.5703E+1	-1.2883E+2	4.2037E+0	-3.2656E+1	-3.5367E+1	-3.3451E+1	-3.3167E+1
2.0908E+1	-4.5431E+1	-1.3304E+2	5.9723E+0	-3.8473E+1	-4.6164E+1	-3.3142E+1	-2.5353E+1
2.2927E+1	-4.5016E+1	-1.3454E+2	6.3133E+0	-2.4689E+1	-4.8651E+1	-4.4103E+1	-3.2707E+1
2.5141E+1	-4.4764E+1	-1.4008E+2	7.2073E+0	-2.8354E+1	-3.3665E+1	-2.4968E+1	-3.9274E+1
2.7569E+1	-4.4666E+1	-1.4259E+2	5.3984E+0	-2.6328E+1	-4.0793E+1	-4.7743E+1	-3.3145E+1
3.0231E+1	-4.4389E+1	-1.4442E+2	5.6394E+0	-2.6199E+1	-3.6144E+1	-4.6054E+1	-3.2899E+1
3.3151E+1	-4.4251E+1	-1.4607E+2	5.8605E+0	-3.7463E+1	-2.4988E+1	-4.3159E+1	-4.4417E+1
3.6353E+1	-4.4015E+1	-1.4964E+2	4.4824E+0	-2.9726E+1	-3.3588E+1	-3.8243E+1	-3.4481E+1
3.9863E+1	-4.4303E+1	-1.5065E+2	4.3458E+0	-3.4701E+1	-3.1818E+1	-3.4498E+1	-3.2701E+1
4.3713E+1	-4.3992E+1	-1.5392E+2	5.6579E+0	-3.5837E+1	-2.8270E+1	-2.8555E+1	-4.2498E+1
4.7935E+1	-4.3519E+1	-1.5668E+2	7.3677E+0	-2.7581E+1	-2.8926E+1	-2.6591E+1	-3.6775E+1
5.2564E+1	-4.3760E+1	-1.6089E+2	4.4119E+0	-3.3457E+1	-2.9079E+1	-3.6282E+1	-4.6227E+1
5.7640E+1	-4.3778E+1	-1.6080E+2	4.7038E+0	-2.7795E+1	-4.7770E+1	-3.6696E+1	-3.4943E+1
6.3207E+1	-4.3611E+1	-1.6256E+2	4.6135E+0	-3.0050E+1	-3.6304E+1	-3.3954E+1	-3.2981E+1
6.9311E+1	-4.3313E+1	-1.6151E+2	7.1050E+0	-2.9037E+1	-2.6365E+1	-3.4857E+1	-2.9341E+1
7.6005E+1	-4.3278E+1	-1.6476E+2	6.1987E+0	-3.1483E+1	-2.8409E+1	-2.7977E+1	-4.0175E+1
8.3345E+1	-4.3284E+1	-1.6701E+2	5.9912E+0	-4.5552E+1	-2.7765E+1	-3.7033E+1	-2.7719E+1
9.1394E+1	-4.3242E+1	-1.6355E+2	8.7615E+0	-3.2755E+1	-2.6112E+1	-2.5635E+1	-2.7064E+1
1.0022E+2	-4.3596E+1	-1.6417E+2	8.8524E+0	-3.0071E+1	-2.8901E+1	-2.2839E+1	-3.4398E+1
1.0990E+2	-4.3144E+1	-1.7556E+2	4.7342E+0	-3.8349E+1	-2.8013E+1	-3.5395E+1	-3.6460E+1
1.2051E+2	-4.3008E+1	-1.6743E+2	6.7517E+0	-3.2457E+1	-2.6920E+1	-3.8534E+1	-2.7404E+1
1.3215E+2	-4.3636E+1	-1.7160E+2	5.1842E+0	-3.0878E+1	-2.8380E+1	-3.6129E+1	-3.7575E+1
1.4491E+2	-4.2908E+1	-1.6871E+2	5.0207E+0	-2.8397E+1	-3.4790E+1	-3.2663E+1	-3.6976E+1
1.5891E+2	-4.3661E+1	-1.6797E+2	1.2663E+1	-2.7784E+1	-2.7715E+1	-1.9684E+1	-2.7159E+1
1.7426E+2	-4.3522E+1	-1.7109E+2	9.4985E+0	-2.4392E+1	-3.4693E+1	-2.7815E+1	-2.4696E+1
1.9108E+2	-4.3291E+1	-1.7604E+2	1.1153E+1	-2.2539E+1	-2.4386E+1	-2.6558E+1	-2.9937E+1
2.0954E+2	-4.3043E+1	-1.7410E+2	6.7004E+0	-3.0443E+1	-3.4740E+1	-2.5000E+1	-4.0516E+1
2.2977E+2	-4.3332E+1	-1.7243E+2	1.0967E+1	-3.6180E+1	-2.1851E+1	-2.6067E+1	-2.5553E+1
2.5196E+2	-4.3927E+1	-1.7306E+2	7.4601E+0	-2.7832E+1	-2.4483E+1	-4.0263E+1	-3.5818E+1
2.7630E+2	-4.3084E+1	-1.7726E+2	8.3450E+0	-3.2065E+1	-3.0364E+1	-2.7046E+1	-2.4624E+1
3.0298E+2	-4.3024E+1	-1.7414E+2	3.9376E+0	-3.0405E+1	-3.8126E+1	-3.4477E+1	-3.8900E+1
3.3224E+2	-4.3217E+1	-1.7318E+2	7.5669E+0	-2.4535E+1	-3.8479E+1	-2.8420E+1	-3.2040E+1
3.6433E+2	-4.2832E+1	-1.7322E+2	9.6934E+0	-2.4314E+1	-2.6946E+1	-3.6357E+1	-2.4633E+1
3.9951E+2	-4.2930E+1	-1.7505E+2	8.0669E+0	-3.1402E+1	-2.5684E+1	-2.7416E+1	-2.8966E+1
4.3810E+2	-4.2761E+1	-1.7719E+2	1.0701E+1	-2.6968E+1	-2.7438E+1	-2.6190E+1	-2.2812E+1
4.8040E+2	-4.3098E+1	-1.7609E+2	2.0880E+1	-2.9401E+1	-2.6107E+1	-1.4051E+1	-3.1864E+1
