%	Date:	2010-12-20	Time:	17:28:31
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-9.0866E+1	1.5000E+2	7.4259E+4	-4.7610E+1	-3.2087E+1	-4.1837E+1	5.7415E+1
1.0966E+1	-8.9931E+1	1.4681E+2	1.5972E+3	-2.3189E+1	-1.2405E+1	1.6167E+1	2.3297E+1
1.2025E+1	-8.9417E+1	1.4291E+2	4.0489E+4	-2.2216E+1	-4.5236E+0	5.2147E+1	4.3310E+0
1.3186E+1	-8.8958E+1	1.3813E+2	2.7520E+4	-2.4589E+1	-8.8795E+0	4.8793E+1	-1.9786E+1
1.4459E+1	-8.7662E+1	1.3683E+2	1.4944E+3	-9.8175E+0	2.2256E+1	1.7405E+1	-1.0049E+1
1.5856E+1	-8.8131E+1	1.3739E+2	3.5286E+4	-4.0299E+0	5.0952E+1	3.7101E+0	-1.6466E+1
1.7387E+1	-8.7091E+1	1.3940E+2	3.6026E+4	4.9257E+0	5.1132E+1	-1.9955E+0	-1.6674E+1
1.9066E+1	-8.6707E+1	1.3041E+2	1.0459E+3	5.0672E+0	2.0249E+1	-1.7409E+1	-5.5745E+0
2.0908E+1	-8.5477E+1	1.2291E+2	2.8677E+2	8.7846E+0	-4.1318E+0	-2.7430E+1	-5.5773E+0
2.2927E+1	-8.3381E+1	1.2537E+2	1.7141E+4	4.4681E+1	-7.3164E+0	-2.1253E+1	-2.6000E+1
2.5141E+1	-8.5121E+1	1.2082E+2	3.6589E+4	5.1267E+1	-1.8297E+1	1.3490E+0	-1.7225E+1
2.7569E+1	-8.6092E+1	1.2318E+2	2.2622E+4	4.7090E+1	-1.8895E+1	-3.1838E+1	6.4833E+0
