%	Date:	2010-12-20	Time:	17:29:49
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-9.0496E+1	1.4920E+2	7.1456E+4	-3.4173E+1	-2.9861E+1	-2.1728E+1	5.7081E+1
1.0966E+1	-8.9715E+1	1.4651E+2	1.5343E+3	-2.5581E+1	-1.1742E+1	1.5705E+1	2.2970E+1
1.2025E+1	-8.9527E+1	1.4626E+2	4.0964E+4	-1.8464E+1	-4.0225E+0	5.2248E+1	4.9573E+0
1.3186E+1	-8.9005E+1	1.3769E+2	2.7981E+4	-2.9039E+1	-8.7487E+0	4.8937E+1	-2.4655E+1
1.4459E+1	-8.8161E+1	1.2933E+2	1.5935E+3	-9.6258E+0	2.2818E+1	1.7950E+1	-1.1175E+1
1.5856E+1	-8.7055E+1	1.3243E+2	3.1201E+4	-5.7727E+0	4.9883E+1	2.5597E+0	-1.7039E+1
1.7387E+1	-8.5551E+1	1.3131E+2	3.0421E+4	3.1827E+0	4.9663E+1	-3.0101E+0	-2.1429E+1
1.9066E+1	-8.6175E+1	1.3235E+2	1.0128E+3	4.9256E+0	1.9967E+1	-1.6999E+1	-6.9735E+0
2.0908E+1	-8.5440E+1	1.2582E+2	2.7911E+2	8.5212E+0	-4.3255E+0	-3.2291E+1	-5.1443E+0
2.2927E+1	-8.3310E+1	1.1778E+2	1.7064E+4	4.4642E+1	-6.9755E+0	-2.0143E+1	-3.4038E+1
2.5141E+1	-8.3818E+1	1.2741E+2	3.1657E+4	5.0009E+1	-1.8881E+1	1.1816E-2	-2.0832E+1
2.7569E+1	-8.2927E+1	1.3551E+2	1.5824E+4	4.3986E+1	-1.7047E+1	-2.7422E+1	3.4007E+0
3.0231E+1	-7.2813E+1	1.2701E+2	2.0680E+3	1.5923E+1	-1.9265E+1	-2.7168E+1	2.5894E+1
3.3151E+1	-6.6806E+1	-1.6084E+2	1.1900E+2	1.1095E+0	-1.7703E+1	-1.4711E+1	-1.1287E+1
3.6353E+1	-6.4555E+1	1.2760E+2	5.9394E+2	-1.6597E+1	-2.7828E+1	1.5472E+1	-3.0377E+1
3.9863E+1	-4.4031E+1	1.2349E+2	2.6999E+1	-3.6020E+1	-5.1347E+1	-1.1391E+1	-4.3570E+1
4.3713E+1	-3.6823E+1	4.9685E+1	8.7129E-1	-4.6170E+1	-4.3560E+1	-5.2235E+1	-5.7627E+1
4.7935E+1	-3.4163E+1	-5.4607E+1	1.8663E+1	-4.6648E+1	-1.5010E+1	-5.4323E+1	-2.4877E+1
5.2564E+1	-3.4192E+1	-1.5448E+2	1.7190E+1	-4.9467E+1	-1.5611E+1	-5.8730E+1	-2.6855E+1
5.7640E+1	-3.6309E+1	1.4216E+2	1.4938E+0	-4.9109E+1	-6.2996E+1	-3.6801E+1	-5.8191E+1
6.3207E+1	-4.0351E+1	1.4310E+2	2.5910E+1	-3.7936E+1	-5.1791E+1	-1.1742E+1	-5.1623E+1
6.9311E+1	-4.6331E+1	8.5562E+1	6.0928E+1	-4.3798E+0	-4.8722E+1	-4.5515E+1	-2.1934E+1
7.6005E+1	-5.7393E+1	-6.6843E+1	3.3831E+2	1.0531E+1	-8.5005E+0	-2.4717E+1	-3.3397E+1
