%	Date:	2010-12-20	Time:	13:48:27
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.4034E+1	-1.3127E+2	8.2538E-2	-7.3093E+1	-6.2531E+1	-7.4215E+1	-7.4438E+1
1.0966E+1	1.4541E+1	-1.3312E+2	8.7456E-2	-7.3150E+1	-6.1768E+1	-7.3605E+1	-8.1375E+1
1.2025E+1	1.5018E+1	-1.3508E+2	9.4789E-2	-7.3602E+1	-6.0858E+1	-7.5730E+1	-8.1351E+1
1.3186E+1	1.5464E+1	-1.3712E+2	1.0442E-1	-7.4367E+1	-6.0080E+1	-7.1952E+1	-8.0865E+1
1.4459E+1	1.5879E+1	-1.3923E+2	1.1335E-1	-7.4884E+1	-5.9267E+1	-7.2203E+1	-8.0795E+1
1.5856E+1	1.6260E+1	-1.4138E+2	1.1700E-1	-7.5417E+1	-5.8971E+1	-7.1857E+1	-8.1083E+1
1.7387E+1	1.6608E+1	-1.4356E+2	1.3475E-1	-7.6223E+1	-5.7643E+1	-7.1887E+1	-8.1729E+1
1.9066E+1	1.6922E+1	-1.4573E+2	1.3453E-1	-7.7052E+1	-5.7633E+1	-7.2109E+1	-8.4260E+1
2.0908E+1	1.7205E+1	-1.4787E+2	1.4031E-1	-7.7404E+1	-5.7237E+1	-7.2359E+1	-8.5388E+1
2.2927E+1	1.7457E+1	-1.4998E+2	1.4540E-1	-7.7661E+1	-5.6901E+1	-7.2696E+1	-8.7283E+1
2.5141E+1	1.7680E+1	-1.5202E+2	1.4994E-1	-7.3838E+1	-5.6670E+1	-7.2761E+1	-8.8932E+1
2.7569E+1	1.7877E+1	-1.5400E+2	1.5275E-1	-7.8635E+1	-5.6436E+1	-7.3219E+1	-1.0129E+2
3.0231E+1	1.8048E+1	-1.5589E+2	1.5556E-1	-7.7022E+1	-5.6274E+1	-7.3829E+1	-9.7100E+1
3.3151E+1	1.8197E+1	-1.5768E+2	1.5725E-1	-7.6267E+1	-5.6190E+1	-7.3508E+1	-9.7856E+1
3.6353E+1	1.8326E+1	-1.5939E+2	1.6050E-1	-7.5557E+1	-5.5998E+1	-7.4585E+1	-9.2671E+1
3.9863E+1	1.8438E+1	-1.6099E+2	1.6266E-1	-7.5678E+1	-5.5889E+1	-7.3885E+1	-8.8969E+1
4.3713E+1	1.8533E+1	-1.6249E+2	1.6224E-1	-7.5507E+1	-5.5909E+1	-7.4229E+1	-9.0060E+1
4.7935E+1	1.8615E+1	-1.6389E+2	1.6446E-1	-7.5148E+1	-5.5794E+1	-7.4230E+1	-8.5647E+1
5.2564E+1	1.8686E+1	-1.6520E+2	1.6599E-1	-7.5074E+1	-5.5713E+1	-7.4174E+1	-8.6058E+1
5.7640E+1	1.8745E+1	-1.6642E+2	1.6625E-1	-7.4826E+1	-5.5697E+1	-7.4504E+1	-8.6884E+1
6.3207E+1	1.8796E+1	-1.6754E+2	1.6804E-1	-7.4995E+1	-5.5606E+1	-7.4106E+1	-8.5070E+1
6.9311E+1	1.8839E+1	-1.6858E+2	1.6840E-1	-7.5289E+1	-5.5587E+1	-7.3802E+1	-8.6071E+1
7.6005E+1	1.8876E+1	-1.6954E+2	1.6792E-1	-7.5777E+1	-5.5606E+1	-7.4077E+1	-8.3970E+1
8.3345E+1	1.8907E+1	-1.7043E+2	1.6866E-1	-7.5372E+1	-5.5579E+1	-7.3501E+1	-8.4448E+1
9.1394E+1	1.8934E+1	-1.7124E+2	1.6799E-1	-7.4752E+1	-5.5611E+1	-7.4070E+1	-8.6615E+1
1.0022E+2	1.8957E+1	-1.7199E+2	1.6967E-1	-7.4817E+1	-5.5524E+1	-7.4217E+1	-8.3020E+1
1.0990E+2	1.8977E+1	-1.7268E+2	1.6855E-1	-7.5221E+1	-5.5576E+1	-7.4371E+1	-8.3105E+1
1.2051E+2	1.8993E+1	-1.7331E+2	1.7029E-1	-7.4392E+1	-5.5495E+1	-7.4238E+1	-8.3448E+1
1.3215E+2	1.9008E+1	-1.7389E+2	1.7009E-1	-7.5117E+1	-5.5498E+1	-7.4053E+1	-8.4584E+1
1.4491E+2	1.9020E+1	-1.7442E+2	1.6911E-1	-7.5075E+1	-5.5552E+1	-7.4040E+1	-8.3789E+1
1.5891E+2	1.9031E+1	-1.7491E+2	1.7055E-1	-7.5747E+1	-5.5482E+1	-7.3178E+1	-8.3668E+1
1.7426E+2	1.9040E+1	-1.7537E+2	1.6901E-1	-7.4930E+1	-5.5561E+1	-7.3777E+1	-8.4837E+1
1.9108E+2	1.9048E+1	-1.7578E+2	1.7006E-1	-7.7001E+1	-5.5491E+1	-7.3554E+1	-8.4209E+1
2.0954E+2	1.9055E+1	-1.7616E+2	1.6992E-1	-7.4313E+1	-5.5526E+1	-7.3444E+1	-8.5125E+1
2.2977E+2	1.9061E+1	-1.7652E+2	1.7150E-1	-7.4498E+1	-5.5437E+1	-7.3894E+1	-8.2910E+1
2.5196E+2	1.9067E+1	-1.7684E+2	1.6778E-1	-7.6134E+1	-5.5618E+1	-7.3478E+1	-8.5921E+1
2.7630E+2	1.9072E+1	-1.7714E+2	1.7119E-1	-7.5026E+1	-5.5458E+1	-7.2935E+1	-8.6229E+1
3.0298E+2	1.9076E+1	-1.7742E+2	1.6918E-1	-7.5996E+1	-5.5541E+1	-7.3846E+1	-8.3871E+1
3.3224E+2	1.9080E+1	-1.7768E+2	1.7028E-1	-7.5493E+1	-5.5491E+1	-7.3643E+1	-8.4242E+1
3.6433E+2	1.9084E+1	-1.7793E+2	1.7100E-1	-7.5214E+1	-5.5463E+1	-7.3049E+1	-8.7521E+1
3.9951E+2	1.9087E+1	-1.7815E+2	1.6885E-1	-7.5700E+1	-5.5567E+1	-7.3245E+1	-8.9333E+1
4.3810E+2	1.9090E+1	-1.7837E+2	1.7157E-1	-7.5052E+1	-5.5437E+1	-7.2904E+1	-8.7846E+1
4.8040E+2	1.9093E+1	-1.7857E+2	1.7102E-1	-7.4923E+1	-5.5459E+1	-7.3442E+1	-8.7275E+1
5.2680E+2	1.9095E+1	-1.7876E+2	1.7078E-1	-7.6929E+1	-5.5455E+1	-7.3225E+1	-8.9101E+1
5.7767E+2	1.9097E+1	-1.7894E+2	1.7223E-1	-7.4428E+1	-5.5407E+1	-7.3027E+1	-9.1348E+1
6.3346E+2	1.9099E+1	-1.7912E+2	1.6965E-1	-7.5677E+1	-5.5516E+1	-7.3727E+1	-9.4103E+1
6.9464E+2	1.9101E+1	-1.7929E+2	1.7125E-1	-7.4789E+1	-5.5464E+1	-7.2594E+1	-8.6217E+1
7.6173E+2	1.9102E+1	-1.7945E+2	1.6924E-1	-7.5186E+1	-5.5548E+1	-7.3527E+1	-8.6206E+1
