%	Date:	2010-12-15	Time:	15:01:28
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-1.5297E+1	1.0655E+0	3.3635E-3	-9.0054E+1	-9.9041E+1	-1.0923E+2	-1.1159E+2
2.1445E+1	-1.5296E+1	9.8840E-1	1.0020E-3	-1.0695E+2	-1.0164E+2	-1.1201E+2	-1.1275E+2
2.2995E+1	-1.5296E+1	9.1567E-1	1.2453E-2	-7.8121E+1	-1.0083E+2	-1.1271E+2	-1.1156E+2
2.4657E+1	-1.5295E+1	8.4719E-1	1.8722E-2	-7.4565E+1	-1.0087E+2	-1.1022E+2	-1.1319E+2
2.6439E+1	-1.5295E+1	7.8245E-1	1.4853E-2	-7.6578E+1	-1.0203E+2	-1.1958E+2	-1.1183E+2
2.8349E+1	-1.5295E+1	7.2136E-1	5.6489E-3	-8.5089E+1	-1.0146E+2	-1.1595E+2	-1.0715E+2
3.0398E+1	-1.5294E+1	6.6366E-1	5.0659E-3	-8.8188E+1	-1.0092E+2	-1.0913E+2	-9.0197E+1
3.2595E+1	-1.5294E+1	6.0932E-1	3.3448E-3	-8.9947E+1	-1.0025E+2	-1.1037E+2	-1.1556E+2
3.4951E+1	-1.5294E+1	5.5743E-1	3.4659E-3	-8.9725E+1	-1.0138E+2	-1.0238E+2	-1.1273E+2
3.7476E+1	-1.5293E+1	5.0903E-1	4.6739E-3	-8.9851E+1	-1.0198E+2	-8.9673E+1	-1.1108E+2
4.0185E+1	-1.5293E+1	4.6421E-1	3.8201E-3	-8.8964E+1	-9.9367E+1	-1.0197E+2	-1.0974E+2
4.3089E+1	-1.5292E+1	4.1761E-1	3.5733E-3	-8.9223E+1	-1.0130E+2	-1.2404E+2	-1.1200E+2
4.6203E+1	-1.5291E+1	3.7907E-1	4.2447E-3	-8.8344E+1	-9.4881E+1	-1.0986E+2	-1.1648E+2
4.9542E+1	-1.5294E+1	3.4136E-1	5.3255E-3	-8.8921E+1	-8.9845E+1	-1.1236E+2	-9.2908E+1
5.3122E+1	-1.5291E+1	2.8759E-1	4.4052E-3	-8.7468E+1	-9.8767E+1	-1.1264E+2	-1.0959E+2
5.6961E+1	-1.5292E+1	2.4592E-1	4.3668E-3	-8.7461E+1	-9.9836E+1	-1.1536E+2	-1.1234E+2
6.1077E+1	-1.5291E+1	2.1955E-1	5.4680E-3	-8.6108E+1	-9.9666E+1	-9.3669E+1	-1.1710E+2
6.5491E+1	-1.5292E+1	1.7964E-1	5.6351E-3	-8.5602E+1	-9.8383E+1	-9.5594E+1	-1.1827E+2
7.0224E+1	-1.5292E+1	1.4446E-1	3.9984E-3	-9.1170E+1	-9.8043E+1	-1.1371E+2	-9.1716E+1
7.5299E+1	-1.5292E+1	1.1309E-1	7.4199E-3	-8.2739E+1	-9.7937E+1	-1.0707E+2	-1.1586E+2
8.0740E+1	-1.5292E+1	7.8170E-2	5.0829E-3	-8.6584E+1	-9.4523E+1	-1.0659E+2	-1.0886E+2
8.6575E+1	-1.5292E+1	4.4454E-2	8.3492E-3	-8.2654E+1	-9.5472E+1	-9.1782E+1	-9.2243E+1
9.2832E+1	-1.5292E+1	1.0606E-2	8.1514E-3	-8.2705E+1	-9.5606E+1	-9.7913E+1	-9.0740E+1
9.9540E+1	-1.5291E+1	-2.2602E-2	7.4580E-3	-8.2813E+1	-9.5590E+1	-1.0469E+2	-1.0718E+2
1.0673E+2	-1.5291E+1	-5.6012E-2	8.8308E-3	-8.1715E+1	-9.4073E+1	-9.3936E+1	-9.5773E+1
1.1445E+2	-1.5291E+1	-9.0004E-2	9.5342E-3	-8.2552E+1	-8.7370E+1	-8.7966E+1	-9.9831E+1
1.2272E+2	-1.5291E+1	-1.2508E-1	7.2740E-3	-8.3735E+1	-8.9904E+1	-1.0755E+2	-1.0698E+2
1.3159E+2	-1.5291E+1	-1.6021E-1	8.4153E-3	-8.2023E+1	-9.4157E+1	-9.9838E+1	-9.4976E+1
