%	Date:	2010-12-15	Time:	14:52:55
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-8.1172E-2	-1.7843E+2	2.3560E-1	-5.2961E+1	-7.0355E+1	-6.6103E+1	-6.8055E+1
2.1445E+1	-8.0573E-2	-1.7853E+2	2.1527E-1	-5.3838E+1	-7.0410E+1	-6.5726E+1	-6.8453E+1
2.2995E+1	-7.9511E-2	-1.7863E+2	2.3689E-1	-5.2913E+1	-7.0500E+1	-6.5740E+1	-6.8473E+1
2.4657E+1	-7.8684E-2	-1.7872E+2	1.6470E-1	-5.6605E+1	-6.9846E+1	-6.5509E+1	-6.8462E+1
2.6439E+1	-7.7809E-2	-1.7881E+2	1.4045E-1	-5.8274E+1	-7.0513E+1	-6.5978E+1	-6.8432E+1
2.8349E+1	-7.7988E-2	-1.7889E+2	1.7777E-1	-5.5726E+1	-7.0436E+1	-6.5821E+1	-6.8779E+1
3.0398E+1	-7.5898E-2	-1.7896E+2	2.3961E-1	-5.2820E+1	-7.0798E+1	-6.5742E+1	-6.7756E+1
3.2595E+1	-7.5426E-2	-1.7903E+2	2.3595E-1	-5.2979E+1	-6.9625E+1	-6.5578E+1	-6.8381E+1
3.4951E+1	-7.4434E-2	-1.7909E+2	2.2836E-1	-5.3293E+1	-7.0596E+1	-6.5404E+1	-6.8112E+1
3.7476E+1	-7.5737E-2	-1.7916E+2	2.2891E-1	-5.3215E+1	-7.0249E+1	-6.6337E+1	-6.8435E+1
4.0185E+1	-7.9444E-2	-1.7921E+2	2.3090E-1	-5.3157E+1	-7.0419E+1	-6.5809E+1	-6.8395E+1
4.3089E+1	-8.0356E-2	-1.7922E+2	2.3119E-1	-5.3153E+1	-7.0564E+1	-6.5650E+1	-6.8338E+1
4.6203E+1	-8.5996E-2	-1.7928E+2	2.2932E-1	-5.3203E+1	-7.1070E+1	-6.5835E+1	-6.8634E+1
4.9542E+1	-7.7346E-2	-1.7946E+2	2.2848E-1	-5.3234E+1	-7.0295E+1	-6.5554E+1	-7.0039E+1
5.3122E+1	-7.4244E-2	-1.7931E+2	2.2766E-1	-5.3296E+1	-6.9886E+1	-6.5872E+1	-6.8535E+1
5.6961E+1	-6.4876E-2	-1.7938E+2	2.3100E-1	-5.3161E+1	-7.0911E+1	-6.5476E+1	-6.8469E+1
6.1077E+1	-7.9430E-2	-1.7945E+2	2.2862E-1	-5.3199E+1	-7.0842E+1	-6.6644E+1	-6.8535E+1
6.5491E+1	-6.7058E-2	-1.7954E+2	2.3012E-1	-5.3201E+1	-7.0659E+1	-6.5593E+1	-6.8275E+1
7.0224E+1	-6.8901E-2	-1.7955E+2	2.2771E-1	-5.3353E+1	-7.0377E+1	-6.5699E+1	-6.6905E+1
7.5299E+1	-7.2770E-2	-1.7960E+2	2.3018E-1	-5.3195E+1	-7.0670E+1	-6.5523E+1	-6.8506E+1
8.0740E+1	-7.1645E-2	-1.7962E+2	2.2766E-1	-5.3267E+1	-7.2654E+1	-6.5615E+1	-6.8515E+1
8.6575E+1	-7.1129E-2	-1.7965E+2	2.3072E-1	-5.3142E+1	-6.9150E+1	-6.6157E+1	-6.9666E+1
9.2832E+1	-7.0862E-2	-1.7967E+2	2.3178E-1	-5.3125E+1	-7.1043E+1	-6.5302E+1	-6.8888E+1
9.9540E+1	-7.1183E-2	-1.7970E+2	2.2725E-1	-5.3285E+1	-7.0031E+1	-6.6304E+1	-6.8624E+1
1.0673E+2	-7.1267E-2	-1.7973E+2	2.2845E-1	-5.3227E+1	-7.0337E+1	-6.6613E+1	-6.8183E+1
1.1445E+2	-7.1107E-2	-1.7975E+2	2.2650E-1	-5.3292E+1	-6.8777E+1	-6.7723E+1	-6.8449E+1
1.2272E+2	-7.0720E-2	-1.7977E+2	2.3389E-1	-5.3051E+1	-6.9466E+1	-6.5788E+1	-6.8524E+1
1.3159E+2	-7.0614E-2	-1.7979E+2	2.3346E-1	-5.3061E+1	-7.0347E+1	-6.5582E+1	-6.8564E+1
1.4110E+2	-7.0452E-2	-1.7981E+2	2.2886E-1	-5.3237E+1	-6.9838E+1	-6.5878E+1	-6.8864E+1
1.5129E+2	-7.0526E-2	-1.7982E+2	2.3135E-1	-5.3103E+1	-7.3745E+1	-6.5847E+1	-6.8093E+1
1.6223E+2	-7.0439E-2	-1.7984E+2	2.3417E-1	-5.3013E+1	-7.1283E+1	-6.5632E+1	-6.8578E+1
1.7395E+2	-7.0617E-2	-1.7986E+2	2.2175E-1	-5.3528E+1	-7.0453E+1	-6.5854E+1	-6.8865E+1
1.8652E+2	-7.0637E-2	-1.7987E+2	2.2649E-1	-5.3316E+1	-7.0800E+1	-6.6263E+1	-6.8246E+1
2.0000E+2	-7.0789E-2	-1.7989E+2	2.2759E-1	-5.3289E+1	-7.0555E+1	-6.5830E+1	-6.8507E+1
2.1445E+2	-7.0628E-2	-1.7990E+2	2.4039E-1	-5.2740E+1	-7.1208E+1	-6.6143E+1	-6.8574E+1
