%	Date:	2010-12-15	Time:	14:53:37
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-4.9773E-2	-1.7843E+2	3.9120E-2	-8.5579E+1	-6.9237E+1	-7.9164E+1	-7.7223E+1
2.1445E+1	-4.8618E-2	-1.7853E+2	3.9066E-2	-8.3607E+1	-6.9336E+1	-7.9848E+1	-7.6700E+1
2.2995E+1	-4.7571E-2	-1.7863E+2	3.8926E-2	-8.5512E+1	-6.9340E+1	-7.9930E+1	-7.6549E+1
2.4657E+1	-4.6596E-2	-1.7872E+2	4.3133E-2	-7.3524E+1	-6.9470E+1	-8.0440E+1	-7.7075E+1
2.6439E+1	-4.5767E-2	-1.7881E+2	4.0486E-2	-7.7620E+1	-6.9410E+1	-8.0014E+1	-7.6556E+1
2.8349E+1	-4.5010E-2	-1.7889E+2	3.9664E-2	-7.9286E+1	-6.9414E+1	-8.0133E+1	-7.6694E+1
3.0398E+1	-4.4354E-2	-1.7896E+2	3.8821E-2	-8.4813E+1	-6.9404E+1	-8.0146E+1	-7.6378E+1
3.2595E+1	-4.3723E-2	-1.7903E+2	3.8600E-2	-8.5090E+1	-6.9428E+1	-8.0343E+1	-7.6461E+1
3.4951E+1	-4.3218E-2	-1.7910E+2	3.8814E-2	-8.4433E+1	-6.9380E+1	-8.0392E+1	-7.6465E+1
3.7476E+1	-4.2638E-2	-1.7916E+2	3.8707E-2	-8.4691E+1	-6.9426E+1	-7.9959E+1	-7.6537E+1
4.0185E+1	-4.2526E-2	-1.7922E+2	3.8478E-2	-8.4439E+1	-6.9459E+1	-8.0260E+1	-7.6619E+1
4.3089E+1	-4.2694E-2	-1.7927E+2	3.8826E-2	-8.4571E+1	-6.9382E+1	-8.0293E+1	-7.6456E+1
4.6203E+1	-4.2425E-2	-1.7932E+2	3.8471E-2	-8.4882E+1	-6.9461E+1	-8.0437E+1	-7.6479E+1
4.9542E+1	-4.0181E-2	-1.7937E+2	3.8167E-2	-8.4979E+1	-6.9563E+1	-8.0257E+1	-7.6481E+1
5.3122E+1	-4.2131E-2	-1.7941E+2	3.9542E-2	-8.4580E+1	-6.9206E+1	-8.0410E+1	-7.6248E+1
5.6961E+1	-4.1187E-2	-1.7944E+2	3.9713E-2	-8.4159E+1	-6.9193E+1	-8.0281E+1	-7.6182E+1
6.1077E+1	-4.1029E-2	-1.7949E+2	3.8926E-2	-8.4901E+1	-6.9323E+1	-8.0881E+1	-7.6337E+1
6.5491E+1	-3.9845E-2	-1.7952E+2	3.9422E-2	-8.4753E+1	-6.9263E+1	-8.0252E+1	-7.6175E+1
7.0224E+1	-3.9974E-2	-1.7956E+2	3.9506E-2	-8.5065E+1	-6.9255E+1	-8.0441E+1	-7.5986E+1
7.5299E+1	-3.9738E-2	-1.7959E+2	3.9510E-2	-8.4860E+1	-6.9239E+1	-8.0092E+1	-7.6219E+1
8.0740E+1	-3.9625E-2	-1.7962E+2	4.0162E-2	-8.4322E+1	-6.9055E+1	-8.0197E+1	-7.6244E+1
8.6575E+1	-3.9525E-2	-1.7965E+2	3.9358E-2	-8.4594E+1	-6.9229E+1	-8.0230E+1	-7.6475E+1
9.2832E+1	-3.9414E-2	-1.7967E+2	3.9448E-2	-8.5143E+1	-6.9152E+1	-8.0567E+1	-7.6536E+1
9.9540E+1	-3.9249E-2	-1.7970E+2	4.0136E-2	-8.4425E+1	-6.9105E+1	-8.0443E+1	-7.5926E+1
1.0673E+2	-3.9198E-2	-1.7972E+2	4.0302E-2	-8.4804E+1	-6.9065E+1	-8.0027E+1	-7.5992E+1
1.1445E+2	-3.9068E-2	-1.7975E+2	4.1282E-2	-8.4461E+1	-6.8854E+1	-7.9882E+1	-7.5789E+1
1.2272E+2	-3.8966E-2	-1.7977E+2	4.1042E-2	-8.4737E+1	-6.8887E+1	-8.0317E+1	-7.5755E+1
1.3159E+2	-3.8948E-2	-1.7979E+2	4.1030E-2	-8.4943E+1	-6.8867E+1	-8.0426E+1	-7.5805E+1
1.4110E+2	-3.8862E-2	-1.7981E+2	4.0582E-2	-8.4795E+1	-6.9031E+1	-8.0497E+1	-7.5612E+1
1.5129E+2	-3.8806E-2	-1.7982E+2	4.1772E-2	-8.4496E+1	-6.8748E+1	-8.0420E+1	-7.5461E+1
1.6223E+2	-3.8736E-2	-1.7984E+2	4.2033E-2	-8.3799E+1	-6.8721E+1	-8.0140E+1	-7.5442E+1
1.7395E+2	-3.8701E-2	-1.7986E+2	4.2321E-2	-8.4934E+1	-6.8597E+1	-8.0472E+1	-7.5409E+1
1.8652E+2	-3.8607E-2	-1.7987E+2	4.2630E-2	-8.4316E+1	-6.8549E+1	-8.0511E+1	-7.5308E+1
2.0000E+2	-3.8558E-2	-1.7989E+2	4.3471E-2	-8.4042E+1	-6.8384E+1	-8.0087E+1	-7.5207E+1
2.1445E+2	-3.8549E-2	-1.7990E+2	4.3780E-2	-8.6126E+1	-6.8281E+1	-8.0448E+1	-7.4998E+1
2.2995E+2	-3.8504E-2	-1.7992E+2	4.4351E-2	-8.3908E+1	-6.8219E+1	-8.0432E+1	-7.4831E+1
2.4657E+2	-3.8514E-2	-1.7993E+2	4.4875E-2	-8.4859E+1	-6.8119E+1	-7.9884E+1	-7.4733E+1
2.6439E+2	-3.8443E-2	-1.7994E+2	4.5750E-2	-8.5398E+1	-6.7940E+1	-7.9726E+1	-7.4551E+1
2.8349E+2	-3.8426E-2	-1.7996E+2	4.6257E-2	-8.5020E+1	-6.7823E+1	-7.9997E+1	-7.4469E+1
3.0398E+2	-3.8428E-2	-1.7997E+2	4.7099E-2	-8.4858E+1	-6.7690E+1	-8.0134E+1	-7.4128E+1
3.2595E+2	-3.8414E-2	-1.7998E+2	4.8005E-2	-8.4694E+1	-6.7548E+1	-8.0228E+1	-7.3801E+1
3.4951E+2	-3.8453E-2	-1.7999E+2	4.8529E-2	-8.6040E+1	-6.7400E+1	-7.9842E+1	-7.3909E+1
3.7476E+2	-3.8453E-2	1.7999E+2	5.0332E-2	-8.4829E+1	-6.7099E+1	-7.9852E+1	-7.3499E+1
4.0185E+2	-3.8474E-2	1.7998E+2	5.1403E-2	-8.5453E+1	-6.6913E+1	-7.9957E+1	-7.3214E+1
4.3089E+2	-3.8530E-2	1.7997E+2	5.2725E-2	-8.4978E+1	-6.6640E+1	-7.9252E+1	-7.3356E+1
4.6203E+2	-3.8343E-2	1.7995E+2	5.4630E-2	-8.5396E+1	-6.6307E+1	-7.9489E+1	-7.2987E+1
4.9542E+2	-3.8456E-2	1.7994E+2	5.6303E-2	-8.6100E+1	-6.6007E+1	-7.8853E+1	-7.2946E+1
5.3122E+2	-3.8456E-2	1.7993E+2	5.8116E-2	-8.4911E+1	-6.5747E+1	-7.9224E+1	-7.2493E+1
5.6961E+2	-3.8526E-2	1.7991E+2	5.9665E-2	-8.6293E+1	-6.5503E+1	-7.8779E+1	-7.2309E+1
6.1077E+2	-3.8513E-2	1.7990E+2	6.2115E-2	-8.5363E+1	-6.5182E+1	-7.8669E+1	-7.1800E+1
6.5491E+2	-3.8540E-2	1.7989E+2	6.4253E-2	-8.5418E+1	-6.4853E+1	-7.8944E+1	-7.1540E+1
7.0224E+2	-3.8572E-2	1.7987E+2	6.7122E-2	-8.5465E+1	-6.4467E+1	-7.8707E+1	-7.1154E+1
7.5299E+2	-3.8588E-2	1.7985E+2	6.9861E-2	-8.5590E+1	-6.4105E+1	-7.8573E+1	-7.0817E+1
8.0740E+2	-3.8633E-2	1.7984E+2	7.3262E-2	-8.5523E+1	-6.3675E+1	-7.8271E+1	-7.0456E+1
8.6575E+2	-3.8713E-2	1.7982E+2	7.6293E-2	-8.5743E+1	-6.3330E+1	-7.8201E+1	-7.0011E+1
9.2832E+2	-3.8700E-2	1.7980E+2	7.9803E-2	-8.5971E+1	-6.2929E+1	-7.7796E+1	-6.9657E+1
