%	Date:	2010-12-14	Time:	20:23:37
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-5.8089E+0	-1.7844E+2	1.9647E-3	-1.1327E+2	-9.7574E+1	-9.8605E+1	-1.0164E+2
2.1445E+1	-5.8079E+0	-1.7854E+2	2.3265E-3	-9.9966E+1	-9.6965E+1	-9.8904E+1	-9.9561E+1
2.2995E+1	-5.8070E+0	-1.7864E+2	5.5623E-3	-8.5824E+1	-9.7692E+1	-9.8662E+1	-9.7644E+1
2.4657E+1	-5.8063E+0	-1.7873E+2	8.5220E-3	-8.1773E+1	-9.6040E+1	-9.7615E+1	-9.7160E+1
2.6439E+1	-5.8055E+0	-1.7882E+2	7.3881E-3	-8.3181E+1	-9.5869E+1	-9.7140E+1	-9.7017E+1
2.8349E+1	-5.8049E+0	-1.7890E+2	4.1666E-3	-8.9750E+1	-9.6072E+1	-9.6198E+1	-9.7218E+1
3.0398E+1	-5.8043E+0	-1.7898E+2	2.5848E-3	-1.1265E+2	-9.4564E+1	-9.6745E+1	-9.9936E+1
3.2595E+1	-5.8037E+0	-1.7905E+2	3.3667E-3	-1.1279E+2	-9.2687E+1	-9.5133E+1	-9.5484E+1
3.4951E+1	-5.8032E+0	-1.7911E+2	3.4948E-3	-1.0550E+2	-9.2875E+1	-9.4884E+1	-9.4527E+1
3.7476E+1	-5.8028E+0	-1.7918E+2	3.8393E-3	-1.0838E+2	-9.3144E+1	-9.1817E+1	-9.4995E+1
4.0185E+1	-5.8025E+0	-1.7924E+2	3.8768E-3	-1.0598E+2	-9.2315E+1	-9.3684E+1	-9.3347E+1
4.3089E+1	-5.8024E+0	-1.7929E+2	3.8907E-3	-1.0574E+2	-9.1913E+1	-9.3836E+1	-9.3666E+1
4.6203E+1	-5.8022E+0	-1.7935E+2	4.0953E-3	-1.0194E+2	-9.2924E+1	-9.2480E+1	-9.2690E+1
4.9542E+1	-5.8009E+0	-1.7940E+2	4.2095E-3	-1.0403E+2	-9.2419E+1	-9.1965E+1	-9.2811E+1
5.3122E+1	-5.8016E+0	-1.7944E+2	5.5604E-3	-9.8833E+1	-8.8614E+1	-9.1297E+1	-9.0740E+1
5.6961E+1	-5.8008E+0	-1.7948E+2	5.1064E-3	-1.0489E+2	-9.0013E+1	-9.1070E+1	-9.0988E+1
6.1077E+1	-5.8009E+0	-1.7952E+2	5.4347E-3	-1.0004E+2	-8.8867E+1	-9.1547E+1	-9.0675E+1
6.5491E+1	-5.8001E+0	-1.7956E+2	6.2408E-3	-9.8665E+1	-8.8271E+1	-8.9855E+1	-8.9081E+1
7.0224E+1	-5.8000E+0	-1.7960E+2	7.1133E-3	-9.7723E+1	-8.7549E+1	-8.9188E+1	-8.7151E+1
7.5299E+1	-5.7999E+0	-1.7964E+2	6.9443E-3	-9.8035E+1	-8.7698E+1	-8.8264E+1	-8.8313E+1
8.0740E+1	-5.7997E+0	-1.7967E+2	7.3425E-3	-9.9672E+1	-8.6438E+1	-8.8544E+1	-8.7920E+1
8.6575E+1	-5.7996E+0	-1.7970E+2	7.2619E-3	-9.9191E+1	-8.6144E+1	-8.8577E+1	-8.8744E+1
9.2832E+1	-5.7995E+0	-1.7973E+2	8.6050E-3	-9.5316E+1	-8.5630E+1	-8.6200E+1	-8.7041E+1
9.9540E+1	-5.7994E+0	-1.7976E+2	8.8957E-3	-1.0288E+2	-8.4900E+1	-8.6131E+1	-8.6599E+1
1.0673E+2	-5.7993E+0	-1.7979E+2	9.1875E-3	-9.3699E+1	-8.5076E+1	-8.6036E+1	-8.6170E+1
1.1445E+2	-5.7992E+0	-1.7982E+2	9.3232E-3	-9.7734E+1	-8.5237E+1	-8.6020E+1	-8.5187E+1
1.2272E+2	-5.7991E+0	-1.7984E+2	1.0605E-2	-9.6081E+1	-8.3980E+1	-8.4698E+1	-8.4422E+1
1.3159E+2	-5.7989E+0	-1.7987E+2	1.2060E-2	-9.1953E+1	-8.2564E+1	-8.4061E+1	-8.3526E+1
1.4110E+2	-5.7989E+0	-1.7989E+2	1.2785E-2	-9.3031E+1	-8.2530E+1	-8.2682E+1	-8.3124E+1
1.5129E+2	-5.7989E+0	-1.7992E+2	1.3688E-2	-9.5095E+1	-8.0863E+1	-8.2509E+1	-8.3358E+1
1.6223E+2	-5.7988E+0	-1.7994E+2	1.4357E-2	-9.3990E+1	-8.1108E+1	-8.1922E+1	-8.2190E+1
1.7395E+2	-5.7987E+0	-1.7996E+2	1.5435E-2	-1.0561E+2	-8.0506E+1	-8.1128E+1	-8.1437E+1
1.8652E+2	-5.7987E+0	-1.7999E+2	1.6290E-2	-9.7405E+1	-8.0002E+1	-8.1444E+1	-8.0368E+1
2.0000E+2	-5.7986E+0	1.7999E+2	1.8006E-2	-9.4354E+1	-7.9146E+1	-8.0101E+1	-7.9952E+1
2.1445E+2	-5.7986E+0	1.7997E+2	1.9086E-2	-9.1694E+1	-7.9019E+1	-7.9472E+1	-7.9236E+1
2.2995E+2	-5.7985E+0	1.7994E+2	2.0668E-2	-8.9655E+1	-7.8042E+1	-7.8747E+1	-7.8999E+1
2.4657E+2	-5.7986E+0	1.7992E+2	2.1947E-2	-9.0677E+1	-7.7306E+1	-7.8432E+1	-7.8427E+1
2.6439E+2	-5.7985E+0	1.7989E+2	2.3848E-2	-9.1373E+1	-7.6561E+1	-7.7637E+1	-7.7736E+1
2.8349E+2	-5.7985E+0	1.7987E+2	2.5184E-2	-8.9540E+1	-7.6151E+1	-7.7260E+1	-7.7153E+1
3.0398E+2	-5.7985E+0	1.7984E+2	2.6408E-2	-8.9963E+1	-7.5748E+1	-7.6784E+1	-7.6749E+1
3.2595E+2	-5.7984E+0	1.7982E+2	2.9052E-2	-8.9471E+1	-7.4988E+1	-7.5993E+1	-7.5784E+1
3.4951E+2	-5.7985E+0	1.7979E+2	3.1690E-2	-8.7595E+1	-7.4139E+1	-7.5284E+1	-7.5156E+1
3.7476E+2	-5.7985E+0	1.7976E+2	3.3200E-2	-8.8042E+1	-7.3733E+1	-7.4761E+1	-7.4826E+1
