%	Date:	2010-12-14	Time:	20:26:01
%	Generator frequency		[Hz]:	1000.0
%	Actual sample rate		[Hz]:	12500
%	Max. number of harmonics:			5
%	Settle time		[s]:	0.10000
%	Settle cycles:			10
%	Integration time		[s]:	0.10000
%	Integration cycles:			20
% S. ampl.	Fund. ampl.	THD
% [V]	[V]	[%]
2.0000E-1	1.0222E-1	8.2726E-3
2.3051E-1	1.1782E-1	6.0320E-3
2.6102E-1	1.3341E-1	9.6889E-3
2.9153E-1	1.4900E-1	6.4233E-3
3.2203E-1	1.6459E-1	7.9616E-3
3.5254E-1	1.8018E-1	7.5154E-3
3.8305E-1	1.9578E-1	9.0852E-3
4.1356E-1	2.1137E-1	8.7731E-3
4.4407E-1	2.2697E-1	1.0087E-2
4.7458E-1	2.4256E-1	1.0141E-2
5.0508E-1	2.5815E-1	1.1738E-2
5.3559E-1	2.7375E-1	1.1865E-2
5.6610E-1	2.8934E-1	1.1627E-2
5.9661E-1	3.0494E-1	1.3144E-2
6.2712E-1	3.2053E-1	1.3721E-2
6.5763E-1	3.3612E-1	1.4149E-2
6.8814E-1	3.5172E-1	1.4662E-2
7.1864E-1	3.6732E-1	1.5742E-2
7.4915E-1	3.8292E-1	1.6891E-2
7.7966E-1	3.9851E-1	1.7046E-2
8.1017E-1	4.1410E-1	1.8091E-2
8.4068E-1	4.2969E-1	1.8843E-2
8.7119E-1	4.4529E-1	1.9789E-2
9.0169E-1	4.6088E-1	2.0633E-2
9.3220E-1	4.7648E-1	2.1413E-2
9.6271E-1	4.9207E-1	2.1881E-2
9.9322E-1	5.0766E-1	2.2109E-2
1.0237E+0	5.2325E-1	2.2864E-2
1.0542E+0	5.3884E-1	2.3736E-2
1.0847E+0	5.5443E-1	2.3913E-2
1.1153E+0	5.7002E-1	2.4865E-2
1.1458E+0	5.8561E-1	2.5615E-2
1.1763E+0	6.0121E-1	2.6859E-2
1.2068E+0	6.1680E-1	2.7396E-2
1.2373E+0	6.3240E-1	2.8394E-2
1.2678E+0	6.4799E-1	2.8689E-2
1.2983E+0	6.6359E-1	2.9898E-2
1.3288E+0	6.7918E-1	3.0252E-2
1.3593E+0	6.9478E-1	3.1088E-2
1.3898E+0	7.1036E-1	3.1427E-2
1.4203E+0	7.2596E-1	3.2361E-2
1.4508E+0	7.4155E-1	3.3178E-2
1.4814E+0	7.5715E-1	3.3654E-2
1.5119E+0	7.7274E-1	3.4267E-2
1.5424E+0	7.8833E-1	3.4990E-2
1.5729E+0	8.0392E-1	3.5305E-2
1.6034E+0	8.1951E-1	3.6182E-2
1.6339E+0	8.3511E-1	3.6748E-2
1.6644E+0	8.5070E-1	3.7907E-2
1.6949E+0	8.6629E-1	3.8143E-2
1.7254E+0	8.8189E-1	3.8509E-2
1.7559E+0	8.9748E-1	3.8651E-2
1.7864E+0	9.1308E-1	3.9870E-2
1.8169E+0	9.2868E-1	4.0124E-2
1.8475E+0	9.4429E-1	4.1998E-2
1.8780E+0	9.5987E-1	4.6988E-2
1.9085E+0	9.7547E-1	5.4813E-2
1.9390E+0	9.9105E-1	6.4449E-2
1.9695E+0	1.0066E+0	7.4933E-2
2.0000E+0	1.0222E+0	8.8348E-2
