%	Date:	2010-12-14	Time:	20:16:32
%	Generator frequency		[Hz]:	1000.0
%	Actual sample rate		[Hz]:	12500
%	Max. number of harmonics:			5
%	Settle time		[s]:	0.10000
%	Settle cycles:			10
%	Integration time		[s]:	0.10000
%	Integration cycles:			20
% S. ampl.	Fund. ampl.	THD
% [V]	[V]	[%]
2.0000E-1	1.9850E-1	8.0997E-3
2.3051E-1	2.2878E-1	4.8638E-3
2.6102E-1	2.5906E-1	9.1229E-3
2.9153E-1	2.8935E-1	5.2276E-3
3.2203E-1	3.1963E-1	9.2251E-3
3.5254E-1	3.4991E-1	7.9310E-3
3.8305E-1	3.8019E-1	8.5704E-3
4.1356E-1	4.1047E-1	9.1352E-3
4.4407E-1	4.4076E-1	1.0335E-2
4.7458E-1	4.7103E-1	9.9914E-3
5.0508E-1	5.0133E-1	1.0874E-2
5.3559E-1	5.3161E-1	1.0400E-2
5.6610E-1	5.6189E-1	1.1179E-2
5.9661E-1	5.9217E-1	1.3634E-2
6.2712E-1	6.2245E-1	1.3774E-2
6.5763E-1	6.5274E-1	1.4431E-2
6.8814E-1	6.8303E-1	1.5286E-2
7.1864E-1	7.1331E-1	1.5803E-2
7.4915E-1	7.4359E-1	1.6764E-2
7.7966E-1	7.7387E-1	1.8141E-2
8.1017E-1	8.0416E-1	1.8176E-2
8.4068E-1	8.3445E-1	1.8638E-2
8.7119E-1	8.6474E-1	1.9988E-2
9.0169E-1	8.9503E-1	2.0622E-2
9.3220E-1	9.2532E-1	2.1286E-2
9.6271E-1	9.5559E-1	2.1618E-2
9.9322E-1	9.8586E-1	2.2342E-2
1.0237E+0	1.0162E+0	2.2915E-2
1.0542E+0	1.0464E+0	2.3292E-2
1.0847E+0	1.0767E+0	2.3574E-2
1.1153E+0	1.1070E+0	2.5145E-2
1.1458E+0	1.1373E+0	2.5389E-2
1.1763E+0	1.1676E+0	2.6600E-2
1.2068E+0	1.1978E+0	2.6871E-2
1.2373E+0	1.2281E+0	2.7778E-2
1.2678E+0	1.2584E+0	2.7641E-2
1.2983E+0	1.2887E+0	2.9031E-2
1.3288E+0	1.3190E+0	2.9245E-2
1.3593E+0	1.3493E+0	2.9991E-2
1.3898E+0	1.3796E+0	3.1205E-2
1.4203E+0	1.4099E+0	3.1460E-2
1.4508E+0	1.4401E+0	3.2256E-2
1.4814E+0	1.4704E+0	3.2913E-2
1.5119E+0	1.5007E+0	3.2978E-2
1.5424E+0	1.5310E+0	3.4114E-2
1.5729E+0	1.5613E+0	3.4531E-2
1.6034E+0	1.5916E+0	3.5130E-2
1.6339E+0	1.6219E+0	3.5701E-2
1.6644E+0	1.6521E+0	3.6778E-2
1.6949E+0	1.6824E+0	3.6872E-2
1.7254E+0	1.7127E+0	3.7464E-2
1.7559E+0	1.7430E+0	3.7890E-2
1.7864E+0	1.7732E+0	3.8626E-2
1.8169E+0	1.8035E+0	3.9144E-2
1.8475E+0	1.8338E+0	4.1673E-2
1.8780E+0	1.8641E+0	4.8559E-2
1.9085E+0	1.8944E+0	5.9706E-2
1.9390E+0	1.9247E+0	7.2979E-2
1.9695E+0	1.9550E+0	8.8029E-2
2.0000E+0	1.9852E+0	1.0483E-1
