%	Date:	2010-12-14	Time:	20:28:32
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-5.8153E+0	-1.7843E+2	5.1520E-3	-9.2818E+1	-8.8354E+1	-9.2851E+1	-9.8180E+1
2.1445E+1	-5.8141E+0	-1.7853E+2	5.4040E-3	-9.2141E+1	-8.8307E+1	-9.1566E+1	-9.8685E+1
2.2995E+1	-5.8131E+0	-1.7863E+2	5.6621E-3	-9.2333E+1	-8.8156E+1	-9.0680E+1	-9.6241E+1
2.4657E+1	-5.8121E+0	-1.7872E+2	1.1199E-2	-8.0273E+1	-8.7162E+1	-9.0508E+1	-9.4704E+1
2.6439E+1	-5.8112E+0	-1.7881E+2	8.3606E-3	-8.5335E+1	-8.6589E+1	-8.8627E+1	-9.3033E+1
2.8349E+1	-5.8104E+0	-1.7889E+2	8.2043E-3	-8.6896E+1	-8.6242E+1	-8.8165E+1	-9.1048E+1
3.0398E+1	-5.8097E+0	-1.7897E+2	8.1058E-3	-9.1271E+1	-8.5726E+1	-8.7539E+1	-8.8582E+1
3.2595E+1	-5.8091E+0	-1.7904E+2	8.4857E-3	-9.0409E+1	-8.5352E+1	-8.6612E+1	-8.9235E+1
3.4951E+1	-5.8086E+0	-1.7911E+2	9.4607E-3	-9.0512E+1	-8.4584E+1	-8.5191E+1	-8.8082E+1
3.7476E+1	-5.8080E+0	-1.7917E+2	9.5145E-3	-8.9544E+1	-8.4145E+1	-8.6848E+1	-8.6935E+1
4.0185E+1	-5.8077E+0	-1.7923E+2	1.0527E-2	-8.9243E+1	-8.3320E+1	-8.5149E+1	-8.6615E+1
4.3089E+1	-5.8076E+0	-1.7929E+2	1.1581E-2	-8.8914E+1	-8.2858E+1	-8.3597E+1	-8.5883E+1
4.6203E+1	-5.8073E+0	-1.7934E+2	1.2651E-2	-8.9649E+1	-8.1906E+1	-8.2949E+1	-8.4682E+1
4.9542E+1	-5.8061E+0	-1.7939E+2	1.4655E-2	-8.7182E+1	-8.0513E+1	-8.2498E+1	-8.2966E+1
5.3122E+1	-5.8066E+0	-1.7943E+2	1.3978E-2	-8.7798E+1	-8.1506E+1	-8.2002E+1	-8.3465E+1
5.6961E+1	-5.8057E+0	-1.7948E+2	1.5179E-2	-8.7124E+1	-8.0821E+1	-8.1414E+1	-8.2515E+1
6.1077E+1	-5.8060E+0	-1.7952E+2	1.6452E-2	-8.7708E+1	-8.0323E+1	-8.0254E+1	-8.1767E+1
6.5491E+1	-5.8051E+0	-1.7956E+2	1.7563E-2	-8.6873E+1	-7.9605E+1	-8.0081E+1	-8.0956E+1
7.0224E+1	-5.8050E+0	-1.7960E+2	1.8579E-2	-8.5643E+1	-7.9043E+1	-7.9458E+1	-8.0970E+1
7.5299E+1	-5.8050E+0	-1.7964E+2	1.9974E-2	-8.7712E+1	-7.8450E+1	-7.8798E+1	-7.9695E+1
8.0740E+1	-5.8048E+0	-1.7967E+2	2.1358E-2	-8.5168E+1	-7.8227E+1	-7.8214E+1	-7.9049E+1
8.6575E+1	-5.8046E+0	-1.7970E+2	2.3453E-2	-8.4901E+1	-7.7075E+1	-7.7381E+1	-7.8576E+1
9.2832E+1	-5.8045E+0	-1.7973E+2	2.4180E-2	-8.4382E+1	-7.6928E+1	-7.7241E+1	-7.8052E+1
9.9540E+1	-5.8044E+0	-1.7976E+2	2.6635E-2	-8.3276E+1	-7.6245E+1	-7.6368E+1	-7.7117E+1
1.0673E+2	-5.8043E+0	-1.7979E+2	2.8490E-2	-8.3628E+1	-7.5558E+1	-7.5761E+1	-7.6482E+1
1.1445E+2	-5.8042E+0	-1.7982E+2	3.0940E-2	-8.2057E+1	-7.4738E+1	-7.5190E+1	-7.5910E+1
1.2272E+2	-5.8041E+0	-1.7984E+2	3.2966E-2	-8.1328E+1	-7.4193E+1	-7.4703E+1	-7.5321E+1
1.3159E+2	-5.8040E+0	-1.7987E+2	3.5259E-2	-8.1555E+1	-7.4028E+1	-7.3900E+1	-7.4313E+1
1.4110E+2	-5.8038E+0	-1.7989E+2	3.7038E-2	-8.1384E+1	-7.3321E+1	-7.3572E+1	-7.4042E+1
1.5129E+2	-5.8038E+0	-1.7992E+2	3.9531E-2	-7.9865E+1	-7.3053E+1	-7.2859E+1	-7.3500E+1
1.6223E+2	-5.8038E+0	-1.7994E+2	4.3413E-2	-7.9072E+1	-7.2237E+1	-7.2076E+1	-7.2649E+1
1.7395E+2	-5.8038E+0	-1.7997E+2	4.5842E-2	-7.9357E+1	-7.1625E+1	-7.1692E+1	-7.2073E+1
1.8652E+2	-5.8038E+0	-1.7999E+2	4.9419E-2	-7.8432E+1	-7.1057E+1	-7.1018E+1	-7.1404E+1
2.0000E+2	-5.8038E+0	1.7998E+2	5.2394E-2	-7.7972E+1	-7.0552E+1	-7.0551E+1	-7.0841E+1
2.1445E+2	-5.8037E+0	1.7996E+2	5.6805E-2	-7.7185E+1	-6.9841E+1	-6.9852E+1	-7.0161E+1
2.2995E+2	-5.8037E+0	1.7994E+2	5.9532E-2	-7.8061E+1	-6.9406E+1	-6.9311E+1	-6.9709E+1
2.4657E+2	-5.8037E+0	1.7991E+2	6.3634E-2	-7.7005E+1	-6.8827E+1	-6.8848E+1	-6.9079E+1
2.6439E+2	-5.8037E+0	1.7989E+2	6.8767E-2	-7.6680E+1	-6.8207E+1	-6.8135E+1	-6.8336E+1
2.8349E+2	-5.8036E+0	1.7986E+2	7.3782E-2	-7.5696E+1	-6.7596E+1	-6.7497E+1	-6.7812E+1
3.0398E+2	-5.8036E+0	1.7983E+2	7.8660E-2	-7.5117E+1	-6.7045E+1	-6.7028E+1	-6.7162E+1
3.2595E+2	-5.8036E+0	1.7981E+2	8.4400E-2	-7.4727E+1	-6.6446E+1	-6.6389E+1	-6.6530E+1
3.4951E+2	-5.8037E+0	1.7978E+2	8.9413E-2	-7.4564E+1	-6.6065E+1	-6.5800E+1	-6.5952E+1
3.7476E+2	-5.8037E+0	1.7975E+2	9.5890E-2	-7.3944E+1	-6.5372E+1	-6.5239E+1	-6.5382E+1
4.0185E+2	-5.8037E+0	1.7972E+2	1.0274E-1	-7.3187E+1	-6.4847E+1	-6.4620E+1	-6.4751E+1
4.3089E+2	-5.8036E+0	1.7969E+2	1.0961E-1	-7.2894E+1	-6.4240E+1	-6.4023E+1	-6.4232E+1
4.6203E+2	-5.8036E+0	1.7966E+2	1.1741E-1	-7.2182E+1	-6.3682E+1	-6.3459E+1	-6.3579E+1
4.9542E+2	-5.8037E+0	1.7962E+2	1.2558E-1	-7.1670E+1	-6.3133E+1	-6.2871E+1	-6.2954E+1
5.3122E+2	-5.8038E+0	1.7958E+2	1.3367E-1	-7.1220E+1	-6.2591E+1	-6.2355E+1	-6.2373E+1
5.6961E+2	-5.8037E+0	1.7955E+2	1.4339E-1	-7.0661E+1	-6.1989E+1	-6.1692E+1	-6.1803E+1
6.1077E+2	-5.8038E+0	1.7951E+2	1.5378E-1	-7.0220E+1	-6.1357E+1	-6.1118E+1	-6.1164E+1
6.5491E+2	-5.8038E+0	1.7946E+2	1.6298E-1	-6.9784E+1	-6.0896E+1	-6.0610E+1	-6.0612E+1
7.0224E+2	-5.8039E+0	1.7942E+2	1.7463E-1	-6.9319E+1	-6.0284E+1	-6.0023E+1	-5.9996E+1
7.5299E+2	-5.8039E+0	1.7937E+2	1.8706E-1	-6.8690E+1	-5.9685E+1	-5.9424E+1	-5.9405E+1
8.0740E+2	-5.8039E+0	1.7932E+2	1.9951E-1	-6.8196E+1	-5.9164E+1	-5.8843E+1	-5.8822E+1
8.6575E+2	-5.8040E+0	1.7926E+2	2.1303E-1	-6.7729E+1	-5.8570E+1	-5.8288E+1	-5.8249E+1
9.2832E+2	-5.8041E+0	1.7920E+2	2.2714E-1	-6.7233E+1	-5.8043E+1	-5.7736E+1	-5.7653E+1
9.9540E+2	-5.8042E+0	1.7914E+2	2.4226E-1	-6.6741E+1	-5.7492E+1	-5.7177E+1	-5.7077E+1
1.0673E+3	-5.8043E+0	1.7908E+2	2.5891E-1	-6.6205E+1	-5.6920E+1	-5.6603E+1	-5.6487E+1
1.1445E+3	-5.8044E+0	1.7901E+2	2.7582E-1	-6.5777E+1	-5.6354E+1	-5.6076E+1	-5.5919E+1
1.2272E+3	-5.8045E+0	1.7893E+2	2.9417E-1	-6.5224E+1	-5.5813E+1	-5.5507E+1	-5.5351E+1
1.3159E+3	-5.8046E+0	1.7885E+2	3.1406E-1	-6.4791E+1	-5.5244E+1	-5.4928E+1	-5.4779E+1
1.4110E+3	-5.8047E+0	1.7876E+2	3.3475E-1	-6.4215E+1	-5.4710E+1	-5.4364E+1	-5.4219E+1
1.5129E+3	-5.8048E+0	1.7867E+2	3.5714E-1	-6.3724E+1	-5.4129E+1	-5.3817E+1	-5.3652E+1
1.6223E+3	-5.8049E+0	1.7857E+2	3.8087E-1	-6.3288E+1	-5.3574E+1	-5.3267E+1	-5.3069E+1
1.7395E+3	-5.8051E+0	1.7847E+2	4.0568E-1	-6.2741E+1	-5.3030E+1	-5.2713E+1	-5.2523E+1
1.8652E+3	-5.8053E+0	1.7836E+2	4.3257E-1	-6.2273E+1	-5.2468E+1	-5.2163E+1	-5.1954E+1
2.0000E+3	-5.8055E+0	1.7823E+2	4.6021E-1	-6.1811E+1	-5.1922E+1	-5.1626E+1	-5.1414E+1
2.1445E+3	-5.8057E+0	1.7811E+2	4.9003E-1	-6.1343E+1	-5.1382E+1	-5.1071E+1	-5.0867E+1
2.2995E+3	-5.8059E+0	1.7797E+2	5.2152E-1	-6.0844E+1	-5.0833E+1	-5.0537E+1	-5.0323E+1
2.4657E+3	-5.8062E+0	1.7782E+2	5.5456E-1	-6.0401E+1	-5.0296E+1	-4.9993E+1	-4.9794E+1
2.6439E+3	-5.8065E+0	1.7766E+2	5.8907E-1	-5.9952E+1	-4.9753E+1	-4.9471E+1	-4.9279E+1
2.8349E+3	-5.8068E+0	1.7749E+2	6.2618E-1	-5.9488E+1	-4.9212E+1	-4.8949E+1	-4.8742E+1
3.0398E+3	-5.8072E+0	1.7731E+2	6.6425E-1	-5.9081E+1	-4.8696E+1	-4.8422E+1	-4.8238E+1
3.2595E+3	-5.8076E+0	1.7712E+2	7.0413E-1	-5.8622E+1	-4.8172E+1	-4.7925E+1	-4.7735E+1
3.4951E+3	-5.8080E+0	1.7691E+2	7.4577E-1	-5.8241E+1	-4.7648E+1	-4.7425E+1	-4.7249E+1
3.7476E+3	-5.8085E+0	1.7669E+2	7.8903E-1	-5.7785E+1	-4.7128E+1	-4.6930E+1	-4.6791E+1
4.0185E+3	-5.8090E+0	1.7645E+2	8.3136E-1	-5.7447E+1	-4.6639E+1	-4.6472E+1	-4.6363E+1
4.3089E+3	-5.8095E+0	1.7619E+2	8.5883E-1	-5.7550E+1	-4.6296E+1	-4.6187E+1	-4.6112E+1
4.6203E+3	-5.8101E+0	1.7592E+2	8.8395E-1	-5.7799E+1	-4.5983E+1	-4.5938E+1	-4.5888E+1
4.9542E+3	-5.8107E+0	1.7563E+2	9.0453E-1	-5.8250E+1	-4.5723E+1	-4.5730E+1	-4.5715E+1
5.3122E+3	-5.8113E+0	1.7532E+2	9.3062E-1	-5.8647E+1	-4.5432E+1	-4.5478E+1	-4.5484E+1
5.6961E+3	-5.8121E+0	1.7499E+2	9.6045E-1	-5.9115E+1	-4.5108E+1	-4.5202E+1	-4.5230E+1
6.1077E+3	-5.8129E+0	1.7463E+2	9.9224E-1	-5.9599E+1	-4.4786E+1	-4.4915E+1	-4.4964E+1
6.5491E+3	-5.8139E+0	1.7425E+2	1.0297E+0	-6.0081E+1	-4.4428E+1	-4.4586E+1	-4.4660E+1
7.0224E+3	-5.8150E+0	1.7383E+2	1.0693E+0	-6.0634E+1	-4.4063E+1	-4.4258E+1	-4.4349E+1
7.5299E+3	-5.8162E+0	1.7339E+2	1.1134E+0	-6.1034E+1	-4.3688E+1	-4.3907E+1	-4.4010E+1
8.0740E+3	-5.8175E+0	1.7292E+2	1.1606E+0	-6.1562E+1	-4.3303E+1	-4.3547E+1	-4.3659E+1
8.6575E+3	-5.8190E+0	1.7241E+2	1.2129E+0	-6.1831E+1	-4.2903E+1	-4.3158E+1	-4.3292E+1
9.2832E+3	-5.8208E+0	1.7187E+2	1.2698E+0	-6.1898E+1	-4.2490E+1	-4.2758E+1	-4.2903E+1
