%	Date:	2010-12-14	Time:	20:31:37
%	Generator frequency		[Hz]:	1000.0
%	Actual sample rate		[Hz]:	12500
%	Max. number of harmonics:			5
%	Settle time		[s]:	0.10000
%	Settle cycles:			10
%	Integration time		[s]:	0.10000
%	Integration cycles:			20
% S. ampl.	Fund. ampl.	THD
% [V]	[V]	[%]
2.0000E-1	1.0216E-1	9.5831E-3
2.3051E-1	1.1774E-1	6.9377E-3
2.6102E-1	1.3333E-1	1.1644E-2
2.9153E-1	1.4891E-1	8.1016E-3
3.2203E-1	1.6450E-1	1.1340E-2
3.5254E-1	1.8008E-1	9.6923E-3
3.8305E-1	1.9566E-1	1.1514E-2
4.1356E-1	2.1125E-1	1.1729E-2
4.4407E-1	2.2683E-1	1.3552E-2
4.7458E-1	2.4241E-1	1.3182E-2
5.0508E-1	2.5800E-1	1.4352E-2
5.3559E-1	2.7359E-1	1.4442E-2
5.6610E-1	2.8917E-1	1.4606E-2
5.9661E-1	3.0476E-1	1.6078E-2
6.2712E-1	3.2034E-1	1.7523E-2
6.5763E-1	3.3593E-1	1.8083E-2
6.8814E-1	3.5151E-1	1.8128E-2
7.1864E-1	3.6709E-1	1.9192E-2
7.4915E-1	3.8268E-1	2.0021E-2
7.7966E-1	3.9827E-1	2.0231E-2
8.1017E-1	4.1385E-1	2.0910E-2
8.4068E-1	4.2944E-1	2.1868E-2
8.7119E-1	4.4502E-1	2.2891E-2
9.0169E-1	4.6061E-1	2.3037E-2
9.3220E-1	4.7620E-1	2.3913E-2
9.6271E-1	4.9179E-1	2.4536E-2
9.9322E-1	5.0737E-1	2.5408E-2
1.0237E+0	5.2295E-1	2.6052E-2
1.0542E+0	5.3852E-1	2.6148E-2
1.0847E+0	5.5411E-1	2.6786E-2
1.1153E+0	5.6969E-1	2.7583E-2
1.1458E+0	5.8527E-1	2.8446E-2
1.1763E+0	6.0087E-1	3.0094E-2
1.2068E+0	6.1646E-1	2.9986E-2
1.2373E+0	6.3206E-1	3.1062E-2
1.2678E+0	6.4765E-1	3.1178E-2
1.2983E+0	6.6325E-1	3.2246E-2
1.3288E+0	6.7883E-1	3.2787E-2
1.3593E+0	6.9440E-1	3.3314E-2
1.3898E+0	7.0998E-1	3.3519E-2
1.4203E+0	7.2558E-1	3.4671E-2
1.4508E+0	7.4117E-1	3.5031E-2
1.4814E+0	7.5675E-1	3.5500E-2
1.5119E+0	7.7233E-1	3.6138E-2
1.5424E+0	7.8792E-1	3.6426E-2
1.5729E+0	8.0350E-1	3.6891E-2
1.6034E+0	8.1909E-1	3.7817E-2
1.6339E+0	8.3467E-1	3.9364E-2
1.6644E+0	8.5025E-1	4.3626E-2
1.6949E+0	8.6584E-1	4.9656E-2
1.7254E+0	8.8143E-1	5.7515E-2
1.7559E+0	8.9701E-1	6.6383E-2
1.7864E+0	9.1258E-1	7.6186E-2
1.8169E+0	9.2816E-1	8.6800E-2
1.8475E+0	9.4375E-1	1.0695E-1
1.8780E+0	9.5932E-1	2.1015E-1
1.9085E+0	9.7490E-1	2.4584E-1
1.9390E+0	9.9050E-1	2.6139E-1
1.9695E+0	1.0061E+0	2.6722E-1
2.0000E+0	1.0216E+0	2.6658E-1
