%	Date:	2010-12-14	Time:	20:30:33
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	0.20000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.0000E+1	-1.1340E+2	-5.3683E+1	1.1944E+3	-3.7962E+0	1.3489E+1	-1.6778E+1	2.0788E+1
2.1445E+1	-1.0587E+2	-1.6732E+1	8.2596E+1	-1.2504E+1	-4.5270E+0	-1.5674E+1	-6.0849E+0
2.2995E+1	-1.1642E+2	7.8402E+1	5.7024E+2	1.4234E+1	-8.4300E+0	6.8865E+0	-7.6224E-2
2.4657E+1	-1.0557E+2	-4.0635E+1	5.3259E+2	7.7689E+0	-2.4398E+0	1.3366E+1	-9.7988E+0
2.6439E+1	-1.1698E+2	-9.0979E+1	1.1558E+3	1.6198E+1	5.6682E+0	1.9345E+1	3.4539E+0
2.8349E+1	-1.1898E+2	-2.2499E+0	1.0892E+3	1.9950E+1	6.6620E+0	1.0832E+1	4.8190E+0
3.0398E+1	-1.1248E+2	-4.7792E+0	6.0758E+2	1.2414E+1	5.3862E+0	1.9243E+0	1.1604E+1
3.2595E+1	-1.3223E+2	6.7777E+0	9.1144E+3	2.5886E+1	3.8719E+1	8.4319E-1	2.6749E+1
3.4951E+1	-1.0998E+2	-6.6274E+0	5.7795E+2	-1.3484E+1	1.5028E+1	-8.8300E-1	-1.4420E+0
3.7476E+1	-1.1573E+2	-5.5412E+1	6.5742E+2	2.2716E+0	1.2762E+1	1.3129E+1	3.1998E+0
4.0185E+1	-1.2652E+2	-1.6992E+2	2.8626E+3	5.4253E+0	2.0878E+1	2.1576E+1	2.7402E+1
4.3089E+1	-1.0214E+2	1.0803E+2	5.7303E+1	-1.0508E+1	-9.1770E+0	-1.8387E+1	-9.8278E+0
4.6203E+1	-9.8238E+1	1.2531E+2	1.2986E+2	2.0737E+0	-1.2023E+1	-2.6667E+1	-2.0288E+1
4.9542E+1	-9.6605E+1	-1.1717E+2	1.9688E+2	3.9743E+0	-4.8501E+0	-1.8941E+0	-3.9230E+0
5.3122E+1	-9.5745E+1	3.7231E+1	1.4049E+2	2.6587E+0	-1.2140E+1	-1.6713E+1	-1.3289E+1
5.6961E+1	-1.0353E+2	1.2862E+2	1.8311E+2	3.3725E+0	-1.8258E+0	-2.4331E+1	-2.8522E+0
6.1077E+1	-9.6019E+1	1.3305E+2	5.2158E+1	-1.2016E+1	-2.3711E+1	-7.6634E+0	-1.4727E+1
6.5491E+1	-1.1546E+2	1.8187E+1	9.5886E+2	3.0242E+0	1.9085E+1	-5.7609E+0	9.3807E+0
7.0224E+1	-9.9589E+1	-9.6127E+0	1.2896E+2	8.4686E-1	-6.0074E+0	-1.2606E+1	-8.4752E+0
7.5299E+1	-1.0515E+2	2.6632E+0	2.8233E+2	7.7793E+0	-5.2362E-2	-5.8812E-1	-9.4839E+0
8.0740E+1	-1.0375E+2	-4.6177E+1	2.3537E+2	4.5930E+0	3.7718E+0	-8.7741E+0	-8.4035E+0
8.6575E+1	-9.7106E+1	-9.7158E+1	6.5589E+1	-1.3410E+1	-1.4731E+1	-4.7010E+0	-1.9139E+1
9.2832E+1	-9.1168E+1	-3.8005E+1	3.4564E+1	-1.4085E+1	-2.5796E+1	-1.8930E+1	-1.1870E+1
9.9540E+1	-9.0912E+1	3.5140E+1	5.6919E+1	-7.1122E+0	-1.5573E+1	-2.0623E+1	-1.0307E+1
1.0673E+2	-9.2669E+1	-1.4332E+2	5.1215E+1	-8.7657E+0	-1.1367E+1	-1.8850E+1	-1.3625E+1
1.1445E+2	-9.8300E+1	1.7470E+2	1.1091E+2	-2.6799E+0	-2.3186E+0	-1.0395E+1	-1.8876E+1
1.2272E+2	-9.4993E+1	-1.4150E+2	6.0352E+1	-1.0663E+1	-1.1495E+1	-7.8844E+0	-1.3492E+1
1.3159E+2	-9.6271E+1	-1.1690E+2	3.8816E+1	-1.1045E+1	-1.6637E+1	-1.7496E+1	-1.4873E+1
1.4110E+2	-9.7698E+1	-1.1626E+2	1.0170E+2	-6.2207E+0	-7.1066E+0	-5.5347E+0	-4.9313E+0
1.5129E+2	-9.7471E+1	-1.0309E+2	7.2384E+1	-1.2419E+1	-1.1638E+1	-7.5032E+0	-6.5682E+0
1.6223E+2	-9.5519E+1	-8.5549E+1	4.8301E+1	-9.2944E+0	-1.5937E+1	-1.1589E+1	-1.6817E+1
1.7395E+2	-9.5811E+1	-8.7966E+1	5.8466E+1	-8.4527E+0	-8.8996E+0	-1.3115E+1	-1.6699E+1
1.8652E+2	-9.4424E+1	1.0317E+2	6.6687E+1	-7.1985E+0	-2.5734E+1	-1.4323E+1	-6.6862E+0
2.0000E+2	-9.8251E+1	1.5665E+2	8.5399E+1	-1.3338E+1	-1.1579E+1	-5.7614E+0	-4.5838E+0
2.1445E+2	-9.5325E+1	7.1203E+1	6.1130E+1	-9.7505E+0	-8.9208E+0	-8.9162E+0	-1.9501E+1
2.2995E+2	-9.7985E+1	-9.4185E+1	8.3251E+1	-1.2502E+1	-3.0948E+1	-8.6154E+0	-3.0233E+0
2.4657E+2	-1.0242E+2	-5.2824E+1	1.6622E+2	-2.4951E-1	-2.1120E+0	-5.0758E-1	-5.0301E+0
2.6439E+2	-1.0156E+2	6.5554E+1	1.1492E+2	-3.0377E+0	-5.3991E+0	-4.7167E+0	-7.0374E+0
2.8349E+2	-1.0852E+2	-1.6807E+2	2.1497E+2	-2.9918E+0	1.7123E+0	-1.3225E+1	4.1297E+0
3.0398E+2	-1.0673E+2	-1.7058E+2	2.1404E+2	-1.2280E+1	-6.1771E-1	-6.6663E+0	5.3648E+0
3.2595E+2	-1.1449E+2	1.4359E+2	5.3772E+2	8.8686E+0	1.1680E+0	-3.7093E+0	1.2894E+1
3.4951E+2	-1.0417E+2	7.1471E+1	1.5338E+2	-4.5574E+0	-1.0261E+0	-9.3047E+0	3.9638E-1
3.7476E+2	-1.2211E+2	-4.7432E+1	1.2357E+3	1.7161E+1	8.8002E+0	1.7857E+1	1.5059E+1
4.0185E+2	-1.0152E+2	7.2959E+1	1.6568E+2	-3.6951E+0	2.0011E+0	-6.4363E+0	-2.9643E+0
4.3089E+2	-1.0018E+2	-7.3732E+1	7.3294E+1	-4.4570E+0	-1.7135E+1	-1.0133E+1	-1.2039E+1
4.6203E+2	-9.9829E+1	3.0074E+1	9.4711E+1	-6.0003E+0	-1.2315E+1	-2.9206E+0	-1.1150E+1
4.9542E+2	-1.0409E+2	-7.0701E+0	1.9660E+2	-1.1841E+0	-1.2337E+1	1.7905E+0	1.8620E+0
5.3122E+2	-1.1233E+2	-1.3747E+1	2.4629E+2	2.5529E+0	5.4709E+0	-5.1989E+0	-3.5743E+0
5.6961E+2	-9.9253E+1	-7.3305E+0	5.7877E+1	-1.0652E+1	-1.0989E+1	-1.0052E+1	-1.1520E+1
6.1077E+2	-1.0890E+2	-1.4079E+2	3.0433E+2	5.6525E+0	6.6163E+0	-1.0188E+0	-6.8224E+0
6.5491E+2	-1.0169E+2	-1.4449E+1	1.3201E+2	-1.1195E+1	-6.7192E+0	1.2553E+0	-9.2498E+0
7.0224E+2	-1.0399E+2	1.1249E+2	1.4214E+2	-1.0196E+1	-6.3350E-1	-1.4171E+0	-4.6998E+0
7.5299E+2	-1.0909E+2	1.2175E+2	3.3153E+2	3.9085E+0	8.5934E+0	-1.8316E+0	-1.9223E+0
8.0740E+2	-1.0349E+2	4.6143E+1	1.0319E+2	-2.1716E+1	-5.1830E+0	-1.7633E+0	-1.0528E+1
8.6575E+2	-1.0453E+2	1.0345E+2	1.9715E+2	2.0388E+0	-2.3914E+0	9.4951E-1	-3.3081E+0
9.2832E+2	-1.1320E+2	-1.5226E+2	6.3549E+2	6.4262E+0	1.3259E+1	8.2131E+0	9.1301E+0
9.9540E+2	-1.0893E+2	-3.5025E+1	2.0899E+2	3.6314E-1	3.1269E-1	2.4124E+0	-3.3429E+0
1.0673E+3	-1.0257E+2	1.3705E+0	1.3200E+2	-1.0452E-1	-5.8926E+0	-1.0323E+1	-3.8102E+0
1.1445E+3	-1.0708E+2	3.1592E+1	1.5354E+2	-7.5818E+0	-2.6060E+0	-1.1378E+1	1.9351E+0
1.2272E+3	-1.1543E+2	1.4253E+2	4.8617E+2	1.7726E+0	8.6401E+0	-8.6754E+0	1.1669E+1
1.3159E+3	-1.0502E+2	-2.3507E+1	2.0175E+2	-2.9417E+0	-8.8939E+0	4.3687E-1	3.6687E+0
