%	Date:	2010-12-17	Time:	18:41:53
%	Sampling frequency		[Hz]:	204800
%	Generator amplitude		[V]:	2.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	4.1908E-4	4.6092E-2	1.1238E-3	-1.0541E+2	-1.0054E+2	-1.2062E+2	-1.1080E+2
1.0822E+1	7.4999E-4	4.3180E-2	1.1342E-3	-1.0463E+2	-1.0064E+2	-1.1553E+2	-1.1284E+2
1.1712E+1	1.0021E-3	4.0374E-2	1.0888E-3	-1.0596E+2	-1.0068E+2	-1.1959E+2	-1.1187E+2
1.2676E+1	1.2439E-3	3.7695E-2	1.0587E-3	-1.0487E+2	-1.0125E+2	-1.1647E+2	-1.1653E+2
1.3718E+1	1.4645E-3	3.5122E-2	1.0708E-3	-1.0497E+2	-1.0108E+2	-1.2412E+2	-1.1358E+2
1.4846E+1	1.6695E-3	3.2662E-2	9.1189E-4	-1.0743E+2	-1.0213E+2	-1.1550E+2	-1.2011E+2
1.6067E+1	1.8045E-3	3.0345E-2	9.3175E-4	-1.0838E+2	-1.0193E+2	-1.1625E+2	-1.1241E+2
1.7388E+1	1.9352E-3	2.8175E-2	9.4427E-4	-1.0662E+2	-1.0222E+2	-1.1797E+2	-1.1230E+2
1.8818E+1	2.0393E-3	2.6106E-2	8.7362E-4	-1.0657E+2	-1.0345E+2	-1.1445E+2	-1.1260E+2
2.0366E+1	2.1103E-3	2.4166E-2	9.7807E-4	-1.0662E+2	-1.0176E+2	-1.1716E+2	-1.1272E+2
2.2041E+1	2.1888E-3	2.2358E-2	8.2081E-4	-1.0795E+2	-1.0363E+2	-1.1598E+2	-1.1262E+2
2.3853E+1	2.2818E-3	2.0652E-2	8.0237E-4	-1.0672E+2	-1.0399E+2	-1.1906E+2	-1.1700E+2
2.5815E+1	2.3410E-3	1.9069E-2	8.9863E-4	-1.0437E+2	-1.0429E+2	-1.1582E+2	-1.1366E+2
2.7938E+1	2.3840E-3	1.7564E-2	8.6938E-4	-1.0573E+2	-1.0383E+2	-1.1627E+2	-1.1294E+2
3.0235E+1	2.4336E-3	1.6177E-2	8.1718E-4	-1.0598E+2	-1.0427E+2	-1.2185E+2	-1.1463E+2
3.2722E+1	2.4895E-3	1.4872E-2	8.4530E-4	-1.0413E+2	-1.0561E+2	-1.1836E+2	-1.1406E+2
3.5413E+1	2.5290E-3	1.3659E-2	8.3224E-4	-1.0885E+2	-1.0324E+2	-1.2002E+2	-1.1106E+2
3.8325E+1	2.5582E-3	1.2511E-2	7.3277E-4	-1.0555E+2	-1.0751E+2	-1.1594E+2	-1.1252E+2
4.1477E+1	2.5859E-3	1.1449E-2	7.4112E-4	-1.0793E+2	-1.0496E+2	-1.1844E+2	-1.1259E+2
4.4888E+1	2.6014E-3	1.0471E-2	7.1557E-4	-1.0765E+2	-1.0533E+2	-1.1757E+2	-1.1526E+2
4.8579E+1	2.6378E-3	9.5283E-3	7.5493E-4	-1.0529E+2	-1.0673E+2	-1.1650E+2	-1.1406E+2
5.2575E+1	2.6589E-3	8.6351E-3	6.9692E-4	-1.0600E+2	-1.0698E+2	-1.1903E+2	-1.1667E+2
5.6898E+1	2.6453E-3	7.8213E-3	6.4062E-4	-1.0926E+2	-1.0579E+2	-1.1759E+2	-1.1965E+2
6.1577E+1	2.6787E-3	7.0540E-3	8.0489E-4	-1.0439E+2	-1.0669E+2	-1.1770E+2	-1.1283E+2
6.6641E+1	2.6767E-3	6.3252E-3	8.0991E-4	-1.0496E+2	-1.0551E+2	-1.1635E+2	-1.1490E+2
7.2122E+1	2.6709E-3	5.6230E-3	8.4119E-4	-1.0414E+2	-1.0558E+2	-1.2039E+2	-1.1441E+2
7.8053E+1	2.6749E-3	4.9466E-3	7.1912E-4	-1.0800E+2	-1.0575E+2	-1.1395E+2	-1.1281E+2
8.4472E+1	2.6877E-3	4.3182E-3	7.6187E-4	-1.0622E+2	-1.0562E+2	-1.1817E+2	-1.1282E+2
